Year,Month,Day,Hour,Minute,Second,batt_mV,Channel,Gape,Line_ID,Sensor_ID,Rep,Mussel_ID,Time_Machine,Beaker_ID,Group,File_name,P_Status,Status,Length(mm),Intensity,Note
2025,7,1,14,55,0,5503,Ch1,1618,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,14,55,0,5503,Ch3,1429,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,14,55,0,5503,Ch4,2242,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,14,55,0,5503,Ch7,2698,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,14,55,10,5503,Ch1,1618,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,14,55,10,5503,Ch3,1401,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,14,55,10,5503,Ch4,2239,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,14,55,10,5503,Ch7,2699,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,14,55,20,5503,Ch1,1617,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,14,55,20,5503,Ch3,1407,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,14,55,20,5503,Ch4,2209,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,14,55,20,5503,Ch7,2697,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,14,55,30,5503,Ch1,1647,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,14,55,30,5503,Ch3,1407,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,14,55,30,5503,Ch4,2053,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,14,55,30,5503,Ch7,2698,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,14,55,40,5503,Ch1,1647,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,14,55,40,5503,Ch3,1417,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,14,55,40,5503,Ch4,1925,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,14,55,40,5503,Ch7,2697,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,14,55,50,5503,Ch1,1650,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,14,55,50,5503,Ch3,1419,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,14,55,50,5503,Ch4,1907,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,14,55,50,5503,Ch7,2697,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,14,56,0,5503,Ch1,1648,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,14,56,0,5503,Ch3,1423,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,14,56,0,5503,Ch4,1891,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,14,56,0,5503,Ch7,2696,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,14,56,10,5503,Ch1,1647,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,14,56,10,5503,Ch3,1424,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,14,56,10,5503,Ch4,1893,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,14,56,10,5503,Ch7,2694,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,14,56,20,5503,Ch1,1625,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,14,56,20,5503,Ch3,1423,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,14,56,20,5503,Ch4,1892,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,14,56,20,5503,Ch7,2697,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,14,56,30,5503,Ch1,1591,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,14,56,30,5503,Ch3,1423,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,14,56,30,5503,Ch4,2256,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,14,56,30,5503,Ch7,2695,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,14,56,40,5503,Ch1,1555,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,14,56,40,5503,Ch3,1423,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,14,56,40,5503,Ch4,2258,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,14,56,40,5503,Ch7,2694,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,14,56,50,5503,Ch1,1551,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,14,56,50,5503,Ch3,1423,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,14,56,50,5503,Ch4,2248,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,14,56,50,5503,Ch7,2694,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,14,57,0,5503,Ch1,1525,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,14,57,0,5503,Ch3,1423,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,14,57,0,5503,Ch4,2256,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,14,57,0,5503,Ch7,2694,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,14,57,10,5503,Ch1,1508,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,14,57,10,5503,Ch3,1423,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,14,57,10,5503,Ch4,2253,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,14,57,10,5503,Ch7,2693,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,14,57,20,5503,Ch1,1499,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,14,57,20,5503,Ch3,1424,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,14,57,20,5503,Ch4,2247,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,14,57,20,5503,Ch7,2692,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
