"Rep","ArenaID","mean_net_mm","mean_gross_mm","mean_CI","sd_CI","n","Byssus","Start_Time","Aggregated","Type","Amax....","k","Time","Group","P_Status","Status","Notes","sum_intensity","n_infected"
1,"CM1",8.65684322824697,148.130310021642,0.12704691222323,0.125499674927129,7,4,23,"yes","transient",NA,NA,"15:18-17:18","CM","infected","infected","",119,7
1,"CM2",22.5549491885659,193.743983614407,0.179589085620862,0.151408369373425,7,8,1,"yes","sustained","80,57","36,29","15:18-17:18","CM","uninfected","uninfected","",0,0
1,"Control1",3.74074164086672,12.5712103544758,0.219340033149766,0.143846140843172,7,2,NA,"no",NA,NA,NA,"15:18-17:18","Control","infected","infected","",71,7
1,"Control2",4.30192467256329,19.6216083261069,0.204115858428403,0.116398412000098,7,8,NA,"no",NA,NA,NA,"15:18-17:18","Control","uninfected","uninfected","",0,0
1,"HS1",20.8831854807646,83.1436894013474,0.281754386538937,0.163172267889311,7,2,24,"yes","transient",NA,NA,"15:18-17:18","HS","infected","infected","",96,7
1,"HS2",21.9727354051455,187.585150965984,0.137506158830027,0.0778641026752692,7,5,16,"yes","sustained","80,95","30,15","15:18-17:18","HS","uninfected","uninfected","",0,0
1,"HT1",22.4563277775088,92.2104500388243,0.263696734810049,0.140958702054174,7,13,36,"yes","sustained","80,95","30,15","15:18-17:18","HT","infected","infected","",73,7
1,"HT2",11.8024244994771,98.3756181652349,0.264655601225487,0.168496481020743,7,9,10,"yes","sustained","31,28","5,23","15:18-17:18","HT","uninfected","uninfected","",0,0
2,"CM1",9.62862865509186,75.739335166113,0.242485121408084,0.226169661526316,7,6,13,"yes","sustained","33,57","11,26","11:35-13:35","CM","uninfected","uninfected","",0,0
2,"CM2",12.2007166753757,47.2866781264745,0.23843243315913,0.164236159533869,7,13,14,"yes","sustained","33,57","11,26","11:35-13:35","CM","infected","infected","",178,6
2,"Control1",9.41223346593325,31.1562023338841,0.291409575969277,0.063289459239064,7,4,33,"yes","transient",NA,NA,"11:35-13:35","Control","infected","infected","Died during dissection; parasite load could not be determined.",71,5
2,"Control2",10.6738444028245,50.3189976587787,0.212915682061456,0.0889669986878451,7,6,16,"yes","sustained","34,71","23,84","11:35-13:35","Control","uninfected","uninfected","",0,0
2,"HS1",3.73683453440712,13.5226523772822,0.190375585210783,0.172506374631126,7,3,NA,"no",NA,NA,NA,"11:35-13:35","HS","uninfected","uninfected","",0,0
2,"HS2",6.22731880596887,94.188254133626,0.111716038343738,0.0997507414833357,7,5,7,"yes","transient",NA,NA,"11:35-13:35","HS","infected","infected","",89,7
2,"HT1",21.0619276403643,64.6080077825389,0.361151962966093,0.186712925570554,7,10,31,"yes","sustained","57,14","54,15","11:35-13:35","HT","infected","infected"," ",57,6
2,"HT2",22.1842508885261,85.5186613057913,0.306887277050335,0.188761677985761,7,7,26,"yes","sustained","57,14","46,04","11:35-13:35","HT","uninfected","uninfected","",0,0
3,"CMA",7.51198470777199,33.8272022485634,0.217713240768092,0.107855745490629,7,6,NA,"no",NA,NA,NA,"11:39-13:39","CM","infected","infected","",182,7
3,"CMB",9.93240956520314,68.2405773018427,0.152539826748236,0.0682515897811432,7,7,8,"yes","sustained","32,98","13,57","11:39-13:39","CM","uninfected","uninfected","",0,0
