"","i","id","time","hz","n","sd","ci"
"1",1,"mussel_161",2025-06-27 09:25:00,0.275,5,0.122630746552404,0.240356263242712
"2",1,"mussel_162",2025-06-27 09:25:00,0.387,5,0.145432802352152,0.285048292610217
"3",1,"mussel_163",2025-06-27 09:25:00,0.315,5,0.258787171243089,0.507222855636455
"4",1,"mussel_164",2025-06-27 09:25:00,0.244,5,0.099196774141098,0.194425677316552
"5",1,"mussel_165",2025-06-27 09:25:00,0.427,5,0.130978242467976,0.256717355237234
"6",1,"mussel_166",2025-06-27 09:25:00,0.174,5,0.0296141857899217,0.0580438041482465
"7",1,"mussel_167",2025-06-27 09:25:00,0.508,5,0.0895572442630969,0.17553219875567
"8",1,"mussel_168",2025-06-27 09:25:00,0.449,5,0.153937324908548,0.301717156820755
"9",1,"mussel_169",2025-06-27 09:25:00,0.792,5,0.376470848805057,0.737882863657911
"10",1,"mussel_170",2025-06-27 09:25:00,0.869,5,0.170188718780065,0.333569888808927
"11",2,"mussel_161",2025-06-27 09:30:00,0.299,5,0.0800081245874442,0.156815924191391
"12",2,"mussel_162",2025-06-27 09:30:00,0.573,5,0.0331058907144937,0.0648875458004076
"13",2,"mussel_163",2025-06-27 09:30:00,0.481,5,0.101446044772578,0.198834247754254
"14",2,"mussel_164",2025-06-27 09:30:00,0.297,5,0.0793265403254169,0.155480019037817
"15",2,"mussel_165",2025-06-27 09:30:00,0.358,5,0.111361124275934,0.218267803580831
"16",2,"mussel_166",2025-06-27 09:30:00,0.251,5,0.526930925264403,1.03278461351823
"17",2,"mussel_167",2025-06-27 09:30:00,0.523,5,0.262417034508052,0.514337387635781
"18",2,"mussel_168",2025-06-27 09:30:00,0.465,5,0.0946271631192651,0.18546923971376
"19",2,"mussel_169",2025-06-27 09:30:00,0.977,5,0.370259098470247,0.725707833001684
"20",2,"mussel_170",2025-06-27 09:30:00,0.831,5,0.38304216478085,0.750762642970466
"21",3,"mussel_161",2025-06-27 09:35:00,0.325,5,0.115435263243084,0.226253115956444
"22",3,"mussel_162",2025-06-27 09:35:00,0.574,5,0.0143944433723572,0.0282131090098202
"23",3,"mussel_163",2025-06-27 09:35:00,0.432,5,0.111972318007622,0.219465743294939
"24",3,"mussel_164",2025-06-27 09:35:00,0.326,5,0.16591925747182,0.325201744644767
"25",3,"mussel_165",2025-06-27 09:35:00,0.27,5,0.198781789910444,0.389612308224471
"26",3,"mussel_166",2025-06-27 09:35:00,0.35,5,0.167988987734315,0.329258415959258
"27",3,"mussel_167",2025-06-27 09:35:00,0.813,5,0.242281447907181,0.474871637898075
"28",3,"mussel_168",2025-06-27 09:35:00,0.451,5,0.00694982014155763,0.0136216474774529
"29",3,"mussel_169",2025-06-27 09:35:00,0.523,5,0.332985435116913,0.65265145282915
"30",3,"mussel_170",2025-06-27 09:35:00,0.508,5,0.105734573342876,0.207239763752037
"31",4,"mussel_161",2025-06-27 09:40:00,0.451,5,0.0120498962651137,0.0236177966796228
"32",4,"mussel_162",2025-06-27 09:40:00,0.544,5,0.156389577657848,0.306523572209382
"33",4,"mussel_163",2025-06-27 09:40:00,0.448,5,0.0295177912452812,0.0578548708407512
"34",4,"mussel_164",2025-06-27 09:40:00,0.329,5,0.120227700635087,0.23564629324477
"35",4,"mussel_165",2025-06-27 09:40:00,0.285,5,0.0386225322836295,0.0757001632759138
