"","i","id","time","hz","n","sd","ci"
"1",1,"mussel_211",2025-06-27 12:00:00,0.3765,4,0.155629902867883,0.305034609621051
"2",1,"mussel_212",2025-06-27 12:00:00,0.4775,4,0.156314586651406,0.306376589836756
"3",1,"mussel_213",2025-06-27 12:00:00,0.3475,4,0.204480439162283,0.400781660758074
"4",1,"mussel_214",2025-06-27 12:00:00,0.517,4,0.0137840487520902,0.0270167355540969
"5",1,"mussel_215",2025-06-27 12:00:00,0.5155,4,0.0213911975666005,0.0419267472305369
"6",1,"mussel_216",2025-06-27 12:00:00,0.396,4,0.210953983923825,0.413469808490697
"7",1,"mussel_217",2025-06-27 12:00:00,0.552,4,0.0297811461610641,0.0583710464756857
"8",1,"mussel_218",2025-06-27 12:00:00,0.4805,4,0.122820668727485,0.240728510705871
"9",1,"mussel_219",2025-06-27 12:00:00,1.327,4,0.633807738987147,1.24226316841481
"10",1,"mussel_220",2025-06-27 12:00:00,1.1725,4,0.642463228519734,1.25922792789868
"11",2,"mussel_211",2025-06-27 12:05:00,0.656,5,0.0270868972014146,0.0530903185147726
"12",2,"mussel_212",2025-06-27 12:05:00,0.489,5,0.0679389431769438,0.13316032862681
"13",2,"mussel_213",2025-06-27 12:05:00,0.547,5,0.0355879192985485,0.069752321825155
"14",2,"mussel_214",2025-06-27 12:05:00,0.522,5,0.0182674574038097,0.0358042165114669
"15",2,"mussel_215",2025-06-27 12:05:00,0.482,5,0.124039106736545,0.243116649203628
"16",2,"mussel_216",2025-06-27 12:05:00,0.47,5,0.0553416660392511,0.108469665436932
"17",2,"mussel_217",2025-06-27 12:05:00,0.49,5,0.0242012396376715,0.0474344296898361
"18",2,"mussel_218",2025-06-27 12:05:00,0.464,5,0.00753657747256669,0.0147716918462307
"19",2,"mussel_219",2025-06-27 12:05:00,0.569,5,0.327845695411729,0.642577563006988
"20",2,"mussel_220",2025-06-27 12:05:00,0.445,5,0.552088942109874,1.08209432653535
"21",3,"mussel_211",2025-06-27 12:10:00,0.655,5,0.0233409511374322,0.0457482642293672
"22",3,"mussel_212",2025-06-27 12:10:00,0.467,5,0.116375684745569,0.228096342101315
"23",3,"mussel_213",2025-06-27 12:10:00,0.549,5,0.0304433900871765,0.059669044570866
"24",3,"mussel_214",2025-06-27 12:10:00,0.517,5,0.0165075740192192,0.0323548450776696
"25",3,"mussel_215",2025-06-27 12:10:00,0.477,5,0.010876580344943,0.0213180974760882
"26",3,"mussel_216",2025-06-27 12:10:00,0.509,5,0.120086219026165,0.235368989291283
"27",3,"mussel_217",2025-06-27 12:10:00,0.451,5,0.110003181772165,0.215606236273444
"28",3,"mussel_218",2025-06-27 12:10:00,0.449,5,0.139811301402998,0.274030150749876
"29",3,"mussel_219",2025-06-27 12:10:00,0.477,5,0.28000124999721,0.548802449994531
"30",3,"mussel_220",2025-06-27 12:10:00,0.897,5,0.324032868703161,0.635104422658196
"31",4,"mussel_211",2025-06-27 12:15:00,0.587,5,0.0343045186527956,0.0672368565594793
"32",4,"mussel_212",2025-06-27 12:15:00,0.444,5,0.0589872867658786,0.115615082061122
"33",4,"mussel_213",2025-06-27 12:15:00,0.511,5,0.087313801887216,0.171135051698943
"34",4,"mussel_214",2025-06-27 12:15:00,0.51,5,0.11737674386351,0.230058417972479
"35",4,"mussel_215",2025-06-27 12:15:00,0.449,5,0.0178269458965915,0.0349408139573193
"36",4,"mussel_216",2025-06-27 12:15:00,0.48,5,0.023054283766797,0.0451863961829221
"37",4,"mussel_217",2025-06-27 12:15:00,0.417,5,0.0512932744129286,0.10053481784934
"38",4,"mussel_218",2025-06-27 12:15:00,0.429,5,0.128962009909896,0.252765539423395
"39",4,"mussel_219",2025-06-27 12:15:00,0.912,5,0.336216150712603,0.658983655396703
"40",4,"mussel_220",2025-06-27 12:15:00,0.721,5,0.242333860613823,0.474974366803094
"41",5,"mussel_211",2025-06-27 12:20:00,0.565,5,0.0234904235806849,0.0460412302181425
"42",5,"mussel_212",2025-06-27 12:20:00,0.461,5,0.058243454567874,0.114157170953033
"43",5,"mussel_213",2025-06-27 12:20:00,0.523,5,0.276747177040706,0.542424466999784
"44",5,"mussel_214",2025-06-27 12:20:00,0.502,5,0.0161462069849237,0.0316465656904506
"45",5,"mussel_215",2025-06-27 12:20:00,0.418,5,0.0999474862115101,0.19589707297456
"46",5,"mussel_216",2025-06-27 12:20:00,0.446,5,0.026429150572805,0.0518011351226979
"47",5,"mussel_217",2025-06-27 12:20:00,0.435,5,0.19405798102629,0.380353642811529
"48",5,"mussel_218",2025-06-27 12:20:00,0.348,5,0.118972685940934,0.23318646444423
"49",5,"mussel_219",2025-06-27 12:20:00,0.771,5,0.35598216247447,0.697725038449961
"50",5,"mussel_220",2025-06-27 12:20:00,0.572,5,0.405471084049159,0.794723324736351
"51",6,"mussel_211",2025-06-27 12:25:00,0.535,5,0.0239123399105984,0.0468681862247729
"52",6,"mussel_212",2025-06-27 12:25:00,0.438,5,0.0658012157942389,0.128970382956708
"53",6,"mussel_213",2025-06-27 12:25:00,0.722,5,0.195682651249415,0.383537996448852
"54",6,"mussel_214",2025-06-27 12:25:00,0.488,5,0.170673665221088,0.334520383833332
"55",6,"mussel_215",2025-06-27 12:25:00,0.455,5,0.0341057179956675,0.0668472072715084
"56",6,"mussel_216",2025-06-27 12:25:00,0.436,5,0.106455154877535,0.208652103559969
"57",6,"mussel_217",2025-06-27 12:25:00,0.706,5,0.167017364366703,0.327354034158738
"58",6,"mussel_218",2025-06-27 12:25:00,0.337,5,0.172070334456582,0.337257855534901
"59",6,"mussel_219",2025-06-27 12:25:00,0.492,5,0.159670911565006,0.312954986667412
"60",6,"mussel_220",2025-06-27 12:25:00,0.628,5,0.201248105581146,0.394446286939046
"61",7,"mussel_211",2025-06-27 12:30:00,0.418,3,0.159615162187055,0.312845717886629
"62",7,"mussel_212",2025-06-27 12:30:00,0.457,3,0.0237135685491099,0.0464785943562554
"63",7,"mussel_213",2025-06-27 12:30:00,0.484,3,0.0274651294068194,0.053831653637366
"64",7,"mussel_214",2025-06-27 12:30:00,0.48,3,0.00945163125250519,0.0185251972549102
"65",7,"mussel_215",2025-06-27 12:30:00,0.462,3,0.144875808884713,0.283956585414038
"66",7,"mussel_216",2025-06-27 12:30:00,0.459,3,0.0406242948656753,0.0796236179367236
"67",7,"mussel_217",2025-06-27 12:30:00,0.635,3,0.280101767220416,0.548999463752015
"68",7,"mussel_218",2025-06-27 12:30:00,0.353,3,0.103838014875735,0.20352250915644
"69",7,"mussel_219",2025-06-27 12:30:00,0.863,3,0.199141490737951,0.390317321846383
"70",7,"mussel_220",2025-06-27 12:30:00,0.589,3,0.233778385085819,0.458205634768205
