i,id,time,hz,n,sd,ci,Mussel_ID,Rep,Length(mm),Time_Machine,Time_real,Sensor_ID,Line_ID,Beaker_ID,Group,P_Status,Status,Intensity,Note,bpm
1,Mussel_1,2025-06-24T08:45:00Z,0.215,4,0.0117756811551038,0.0230803350640034,G65,1,31.2,8:45-9:15,10:45-11:15,A,A1,1,CM,infected,infected,8,NA,12.9
1,Mussel_2,2025-06-24T08:45:00Z,0.512,4,0.295361924876357,0.578909372757659,P88,1,33.5,8:45-9:15,10:45-11:15,A,A2,2,CM,uninfected,uninfected,0,NA,30.72
1,Mussel_3,2025-06-24T08:45:00Z,0.403,4,0.199955620076056,0.39191301534907,G48,1,34.4,8:45-9:15,10:45-11:15,A,A3,3,HT,infected,infected,5,NA,24.18
1,Mussel_4,2025-06-24T08:45:00Z,0.221,4,0.0647784686450676,0.126965798544332,P41,1,28.9,8:45-9:15,10:45-11:15,A,A4,4,HT,uninfected,uninfected,0,NA,13.26
1,Mussel_5,2025-06-24T08:45:00Z,0.4175,4,0.159145635608814,0.311925445793275,G84,1,33.3,8:45-9:15,10:45-11:15,A,A5,5,HS,infected,infected,13,NA,25.049999999999997
1,Mussel_6,2025-06-24T08:45:00Z,0.478,4,0.056332347131407,0.110411400377558,P5,1,33.5,8:45-9:15,10:45-11:15,A,A6,6,HS,uninfected,uninfected,0,NA,28.68
1,Mussel_7,2025-06-24T08:45:00Z,0.2275,4,0.058767905072979,0.115185093943039,G51,1,34,8:45-9:15,10:45-11:15,A,A7,7,Control,infected,infected,16,NA,13.65
1,Mussel_8,2025-06-24T08:45:00Z,0.4335,4,0.129158816965781,0.25315128125293,P64,1,30.6,8:45-9:15,10:45-11:15,A,A8,8,Control,uninfected,uninfected,0,NA,26.009999999999998
2,Mussel_1,2025-06-24T08:50:00Z,0.481,5,0.189451313006799,0.371324573493325,G65,1,31.2,8:45-9:15,10:45-11:15,A,A1,1,CM,infected,infected,8,NA,28.86
2,Mussel_2,2025-06-24T08:50:00Z,0.51,5,0.278115982999899,0.545107326679802,P88,1,33.5,8:45-9:15,10:45-11:15,A,A2,2,CM,uninfected,uninfected,0,NA,30.6
2,Mussel_3,2025-06-24T08:50:00Z,0.619,5,0.0155402702679201,0.0304589297251233,G48,1,34.4,8:45-9:15,10:45-11:15,A,A3,3,HT,infected,infected,5,NA,37.14
2,Mussel_4,2025-06-24T08:50:00Z,0.715,5,0.0836570379585603,0.163967794398778,P41,1,28.9,8:45-9:15,10:45-11:15,A,A4,4,HT,uninfected,uninfected,0,NA,42.9
2,Mussel_5,2025-06-24T08:50:00Z,0.377,5,0.0755016556109864,0.147983244997533,G84,1,33.3,8:45-9:15,10:45-11:15,A,A5,5,HS,infected,infected,13,NA,22.62
2,Mussel_6,2025-06-24T08:50:00Z,0.26,5,0.149279268486954,0.292587366234429,P5,1,33.5,8:45-9:15,10:45-11:15,A,A6,6,HS,uninfected,uninfected,0,NA,15.600000000000001
2,Mussel_7,2025-06-24T08:50:00Z,0.279,5,0.145307604756255,0.28480290532226,G51,1,34,8:45-9:15,10:45-11:15,A,A7,7,Control,infected,infected,16,NA,16.740000000000002
2,Mussel_8,2025-06-24T08:50:00Z,0.539,5,0.197216125101372,0.386543605198689,P64,1,30.6,8:45-9:15,10:45-11:15,A,A8,8,Control,uninfected,uninfected,0,NA,32.34
3,Mussel_1,2025-06-24T08:55:00Z,0.621,5,0.0348381974275363,0.0682828669579712,G65,1,31.2,8:45-9:15,10:45-11:15,A,A1,1,CM,infected,infected,8,NA,37.26
3,Mussel_2,2025-06-24T08:55:00Z,0.461,5,0.0187829710109982,0.0368146231815565,P88,1,33.5,8:45-9:15,10:45-11:15,A,A2,2,CM,uninfected,uninfected,0,NA,27.66
3,Mussel_3,2025-06-24T08:55:00Z,0.577,5,0.0262392835268038,0.0514289957125355,G48,1,34.4,8:45-9:15,10:45-11:15,A,A3,3,HT,infected,infected,5,NA,34.62
3,Mussel_4,2025-06-24T08:55:00Z,0.691,5,0.0339308119560968,0.0665043914339497,P41,1,28.9,8:45-9:15,10:45-11:15,A,A4,4,HT,uninfected,uninfected,0,NA,41.459999999999994
3,Mussel_5,2025-06-24T08:55:00Z,0.4,5,0.0768784755311914,0.150681812041135,G84,1,33.3,8:45-9:15,10:45-11:15,A,A5,5,HS,infected,infected,13,NA,24
3,Mussel_6,2025-06-24T08:55:00Z,0.468,5,0.113228529973678,0.221927918748408,P5,1,33.5,8:45-9:15,10:45-11:15,A,A6,6,HS,uninfected,uninfected,0,NA,28.080000000000002
3,Mussel_7,2025-06-24T08:55:00Z,0.477,5,0.00933809402394299,0.0183026642869283,G51,1,34,8:45-9:15,10:45-11:15,A,A7,7,Control,infected,infected,16,NA,28.619999999999997
3,Mussel_8,2025-06-24T08:55:00Z,0.513,5,0.195471992878775,0.3831251060424,P64,1,30.6,8:45-9:15,10:45-11:15,A,A8,8,Control,uninfected,uninfected,0,NA,30.78
4,Mussel_1,2025-06-24T09:00:00Z,0.578,5,0.0337979289306312,0.0662439407040372,G65,1,31.2,8:45-9:15,10:45-11:15,A,A1,1,CM,infected,infected,8,NA,34.68
4,Mussel_2,2025-06-24T09:00:00Z,0.445,5,0.00987420882906576,0.0193534493049689,P88,1,33.5,8:45-9:15,10:45-11:15,A,A2,2,CM,uninfected,uninfected,0,NA,26.7
4,Mussel_3,2025-06-24T09:00:00Z,0.436,5,0.0921547611358198,0.180623331826207,G48,1,34.4,8:45-9:15,10:45-11:15,A,A3,3,HT,infected,infected,5,NA,26.16
4,Mussel_4,2025-06-24T09:00:00Z,0.601,5,0.0147071411225976,0.028825996600291202,P41,1,28.9,8:45-9:15,10:45-11:15,A,A4,4,HT,uninfected,uninfected,0,NA,36.06
4,Mussel_5,2025-06-24T09:00:00Z,0.257,5,0.0958331884056875,0.187833049275148,G84,1,33.3,8:45-9:15,10:45-11:15,A,A5,5,HS,infected,infected,13,NA,15.42
4,Mussel_6,2025-06-24T09:00:00Z,0.475,5,0.0101833196944808,0.0199593066011823,P5,1,33.5,8:45-9:15,10:45-11:15,A,A6,6,HS,uninfected,uninfected,0,NA,28.5
4,Mussel_7,2025-06-24T09:00:00Z,0.439,5,0.102155273970559,0.200224336982296,G51,1,34,8:45-9:15,10:45-11:15,A,A7,7,Control,infected,infected,16,NA,26.34
4,Mussel_8,2025-06-24T09:00:00Z,0.447,5,0.027700180504827,0.054292353789461,P64,1,30.6,8:45-9:15,10:45-11:15,A,A8,8,Control,uninfected,uninfected,0,NA,26.82
5,Mussel_1,2025-06-24T09:05:00Z,0.482,5,0.0113446022407134,0.0222354203917983,G65,1,31.2,8:45-9:15,10:45-11:15,A,A1,1,CM,infected,infected,8,NA,28.919999999999998
5,Mussel_2,2025-06-24T09:05:00Z,0.415,5,0.0998333611574808,0.195673387868662,P88,1,33.5,8:45-9:15,10:45-11:15,A,A2,2,CM,uninfected,uninfected,0,NA,24.9
5,Mussel_3,2025-06-24T09:05:00Z,0.425,5,0.0100598210719674,0.0197172493010562,G48,1,34.4,8:45-9:15,10:45-11:15,A,A3,3,HT,infected,infected,5,NA,25.5
5,Mussel_4,2025-06-24T09:05:00Z,0.558,5,0.0357728947668483,0.0701148737430226,P41,1,28.9,8:45-9:15,10:45-11:15,A,A4,4,HT,uninfected,uninfected,0,NA,33.480000000000004
5,Mussel_5,2025-06-24T09:05:00Z,0.354,5,0.0825693647789542,0.16183595496675,G84,1,33.3,8:45-9:15,10:45-11:15,A,A5,5,HS,infected,infected,13,NA,21.24
5,Mussel_6,2025-06-24T09:05:00Z,0.459,5,0.0101636607578175,0.0199207750853223,P5,1,33.5,8:45-9:15,10:45-11:15,A,A6,6,HS,uninfected,uninfected,0,NA,27.540000000000003
5,Mussel_7,2025-06-24T09:05:00Z,0.413,5,0.0970401978563523,0.19019878779845,G51,1,34,8:45-9:15,10:45-11:15,A,A7,7,Control,infected,infected,16,NA,24.779999999999998
5,Mussel_8,2025-06-24T09:05:00Z,0.454,5,0.0910565758196518,0.178470888606518,P64,1,30.6,8:45-9:15,10:45-11:15,A,A8,8,Control,uninfected,uninfected,0,NA,27.240000000000002
6,Mussel_1,2025-06-24T09:10:00Z,0.48,5,0.0172973986483517,0.0339029013507694,G65,1,31.2,8:45-9:15,10:45-11:15,A,A1,1,CM,infected,infected,8,NA,28.799999999999997
6,Mussel_2,2025-06-24T09:10:00Z,0.433,5,0.00820365772079748,0.0160791691327631,P88,1,33.5,8:45-9:15,10:45-11:15,A,A2,2,CM,uninfected,uninfected,0,NA,25.98
