"ArenaID","Rep","Group","Amax","mean_A","total_time_agg","mean_net_mm","mean_gross_mm","mean_CI","sd_CI","n","Byssus","Aggregated","Type","Amax....","k","Time","Status","sum_intensity","n_infected","Start_Time"
"CM1",1,"CM",57.14,11.9041666666667,30,8.65684322824697,148.130310021642,0.12704691222323,0.125499674927129,7,4,"yes","transient",NA,NA,"15:18-17:18","infected",119,7,23
"CM1",2,"CM",28.57,26.1891666666667,110,9.62862865509186,75.739335166113,0.242485121408084,0.226169661526316,7,6,"yes","sustained","33,57","11,26","11:35-13:35","uninfected",0,0,13
"CM1",4,"CM",28.57,17.85625,75,2.32229029712956,43.5476233184381,0.0545471392677883,0.0324496665335162,7,5,"yes","sustained","52,98","17,62","12:33-14:33","uninfected",0,0,6
"CM1",6,"CM",28.57,5.95208333333333,25,6.7036637994649,33.258040476385,0.211534944126565,0.115138240685017,7,6,"yes","transient",NA,NA,"16:05-18:05","infected",165,7,31
"CM2",1,"CM",71.43,46.4295833333333,105,22.5549491885659,193.743983614407,0.179589085620862,0.151408369373425,7,8,"yes","sustained","80,57","36,29","15:18-17:18","uninfected",0,0,1
"CM2",2,"CM",28.57,26.1891666666667,110,12.2007166753757,47.2866781264745,0.23843243315913,0.164236159533869,7,13,"yes","sustained","33,57","11,26","11:35-13:35","infected",178,6,14
"CM2",4,"CM",57.14,33.3316666666667,90,6.61647328939295,69.8993766408077,0.0955732195786671,0.0670879933248496,7,8,"yes","sustained","57,14","36,6","12:33-14:33","infected",114,7,32
"CM2",6,"CM",85.71,65.4766666666667,110,24.6396010302144,230.488573479335,0.114857044726846,0.0856568449853432,7,18,"yes","sustained","90,22","15,75","16:05-18:05","uninfected",0,0,13
"CMA",3,"CM",0,0,0,7.51198470777199,33.8272022485634,0.217713240768092,0.107855745490629,7,6,"no",NA,NA,NA,"11:39-13:39","infected",182,7,NA
"CMA",5,"CM",42.86,35.7158333333333,110,10.0458756407707,91.0735596178807,0.106509653513197,0.0877205325844413,7,11,"yes","sustained","56,3","26,21","15:28-17:28","uninfected",0,0,14
"CMB",3,"CM",28.57,24.99875,105,9.93240956520314,68.2405773018427,0.152539826748236,0.0682515897811432,7,7,"yes","sustained","32,98","13,57","11:39-13:39","uninfected",0,0,8
"CMB",5,"CM",57.14,20.2370833333333,80,11.6530565389378,51.2550302470689,0.19950740856675,0.152833639286942,7,0,"yes","sustained","74,1","141","15:28-17:28","infected",84,6,45
"Control1",1,"Control",0,0,0,3.74074164086672,12.5712103544758,0.219340033149766,0.143846140843172,7,2,"no",NA,NA,NA,"15:18-17:18","infected",71,7,NA
"Control1",2,"Control",28.57,1.19041666666667,5,9.41223346593325,31.1562023338841,0.291409575969277,0.063289459239064,7,4,"yes","transient",NA,NA,"11:35-13:35","infected",71,5,33
"Control1",4,"Control",28.57,20.2370833333333,85,12.3203487133991,44.4054188943356,0.274286690937797,0.0789752044291165,7,0,"yes","sustained","67,89","124,28","12:33-14:33","uninfected",0,0,40
"Control1",6,"Control",28.57,8.33291666666667,35,6.6186606792902,69.4418943200535,0.129303139429737,0.0723635615032889,7,5,"yes","transient",NA,NA,"16:05-18:05","infected",206,7,46
"Control2",1,"Control",0,0,0,4.30192467256329,19.6216083261069,0.204115858428403,0.116398412000098,7,8,"no",NA,NA,NA,"15:18-17:18","uninfected",0,0,NA
