"Rep","ArenaID","mean_net_mm","mean_gross_mm","mean_CI","sd_CI","n","Mussel_ID","Byssus","Byssus_Threads","Start_Time","Aggregated","Type","Amax....","k","Time","Cluster_Score","Group","Byssus_Threads.1","Length.mm.","P_Status","Status","Intensity","Notes","sum_intensity","n_infected"
1,"CM1",8.65684322824697,148.130310021642,0.12704691222323,0.125499674927129,7,"G25",4,4,23,"yes","transient",NA,NA,"15:18-17:18",NA,"CM",4,35.3,"infected","infected",6,"",119,7
1,"CM1",8.65684322824697,148.130310021642,0.12704691222323,0.125499674927129,7,"G31",4,0,23,"yes","transient",NA,NA,"15:18-17:18",NA,"CM",0,35,"infected","infected",26,"",119,7
1,"CM1",8.65684322824697,148.130310021642,0.12704691222323,0.125499674927129,7,"G38",4,0,23,"yes","transient",NA,NA,"15:18-17:18",NA,"CM",0,35.5,"infected","infected",30,"",119,7
1,"CM1",8.65684322824697,148.130310021642,0.12704691222323,0.125499674927129,7,"G67",4,0,23,"yes","transient",NA,NA,"15:18-17:18",NA,"CM",0,33.5,"infected","infected",8,"",119,7
1,"CM1",8.65684322824697,148.130310021642,0.12704691222323,0.125499674927129,7,"G95",4,0,23,"yes","transient",NA,NA,"15:18-17:18",NA,"CM",0,27.5,"infected","infected",23,"",119,7
1,"CM1",8.65684322824697,148.130310021642,0.12704691222323,0.125499674927129,7,"Y4",4,0,23,"yes","transient",NA,NA,"15:18-17:18",NA,"CM",0,29.3,"infected","infected",9,"",119,7
1,"CM1",8.65684322824697,148.130310021642,0.12704691222323,0.125499674927129,7,"Y42",4,0,23,"yes","transient",NA,NA,"15:18-17:18",NA,"CM",0,27.6,"infected","infected",17,"",119,7
1,"CM2",22.5549491885659,193.743983614407,0.179589085620862,0.151408369373425,7,"B25",8,4,1,"yes","sustained","80,57","36,29","15:18-17:18",NA,"CM",4,36.3,"uninfected","uninfected",0,"",0,0
1,"CM2",22.5549491885659,193.743983614407,0.179589085620862,0.151408369373425,7,"B36",8,0,1,"yes","sustained","80,57","36,29","15:18-17:18",NA,"CM",0,37.2,"uninfected","uninfected",0,"",0,0
1,"CM2",22.5549491885659,193.743983614407,0.179589085620862,0.151408369373425,7,"B87",8,2,1,"yes","sustained","80,57","36,29","15:18-17:18",NA,"CM",2,34.9,"uninfected","uninfected",0,"",0,0
1,"CM2",22.5549491885659,193.743983614407,0.179589085620862,0.151408369373425,7,"B94",8,1,1,"yes","sustained","80,57","36,29","15:18-17:18",NA,"CM",1,35.4,"uninfected","uninfected",0,"",0,0
1,"CM2",22.5549491885659,193.743983614407,0.179589085620862,0.151408369373425,7,"P57",8,0,1,"yes","sustained","80,57","36,29","15:18-17:18",NA,"CM",0,30,"uninfected","uninfected",0,"",0,0
1,"CM2",22.5549491885659,193.743983614407,0.179589085620862,0.151408369373425,7,"P59",8,0,1,"yes","sustained","80,57","36,29","15:18-17:18",NA,"CM",0,38.1,"uninfected","uninfected",0,"",0,0
1,"CM2",22.5549491885659,193.743983614407,0.179589085620862,0.151408369373425,7,"P93",8,1,1,"yes","sustained","80,57","36,29","15:18-17:18",NA,"CM",1,38.1,"uninfected","uninfected",0,"",0,0
1,"Control1",3.74074164086672,12.5712103544758,0.219340033149766,0.143846140843172,7,"G51",2,1,NA,"no",NA,NA,NA,"15:18-17:18",NA,"Control",1,34,"infected","infected",16,"",71,7
1,"Control1",3.74074164086672,12.5712103544758,0.219340033149766,0.143846140843172,7,"G62",2,0,NA,"no",NA,NA,NA,"15:18-17:18",NA,"Control",0,32.3,"infected","infected",7,"",71,7
1,"Control1",3.74074164086672,12.5712103544758,0.219340033149766,0.143846140843172,7,"G76",2,0,NA,"no",NA,NA,NA,"15:18-17:18",NA,"Control",0,33.3,"infected","infected",6,"",71,7
1,"Control1",3.74074164086672,12.5712103544758,0.219340033149766,0.143846140843172,7,"G81",2,0,NA,"no",NA,NA,NA,"15:18-17:18",NA,"Control",0,30,"infected","infected",18,"",71,7
1,"Control1",3.74074164086672,12.5712103544758,0.219340033149766,0.143846140843172,7,"Y14",2,0,NA,"no",NA,NA,NA,"15:18-17:18",NA,"Control",0,34.6,"infected","infected",4,"",71,7
1,"Control1",3.74074164086672,12.5712103544758,0.219340033149766,0.143846140843172,7,"Y49",2,1,NA,"no",NA,NA,NA,"15:18-17:18",NA,"Control",1,32.4,"infected","infected",2,"",71,7
1,"Control1",3.74074164086672,12.5712103544758,0.219340033149766,0.143846140843172,7,"Y91",2,0,NA,"no",NA,NA,NA,"15:18-17:18",NA,"Control",0,30.7,"infected","infected",18,"",71,7
1,"Control2",4.30192467256329,19.6216083261069,0.204115858428403,0.116398412000098,7,"B52",8,0,NA,"no",NA,NA,NA,"15:18-17:18",NA,"Control",0,35.7,"uninfected","uninfected",0,"",0,0
1,"Control2",4.30192467256329,19.6216083261069,0.204115858428403,0.116398412000098,7,"B61",8,0,NA,"no",NA,NA,NA,"15:18-17:18",NA,"Control",0,34.9,"uninfected","uninfected",0,"",0,0
1,"Control2",4.30192467256329,19.6216083261069,0.204115858428403,0.116398412000098,7,"B93",8,0,NA,"no",NA,NA,NA,"15:18-17:18",NA,"Control",0,34.9,"uninfected","uninfected",0,"",0,0
