Arena ID;Rep;Group;Time;Start_Time (min);Time;A(t);P_Status;Status;Notes
CM1;1;CM;15:18-17:18;23;5;0,00%;infected;infected;
CM1;1;CM;15:18-17:18;;10;0,00%;infected;infected;
CM1;1;CM;15:18-17:18;;15;0,00%;infected;infected;
CM1;1;CM;15:18-17:18;;20;0,00%;infected;infected;
CM1;1;CM;15:18-17:18;;25;57,14%;infected;infected;
CM1;1;CM;15:18-17:18;;30;57,14%;infected;infected;
CM1;1;CM;15:18-17:18;;35;57,14%;infected;infected;
CM1;1;CM;15:18-17:18;;40;57,14%;infected;infected;
CM1;1;CM;15:18-17:18;;45;28,57%;infected;infected;
CM1;1;CM;15:18-17:18;;50;0,00%;infected;infected;
CM1;1;CM;15:18-17:18;;55;28,57%;infected;infected;
CM1;1;CM;15:18-17:18;;60;0,00%;infected;infected;
CM1;1;CM;15:18-17:18;;65;0,00%;infected;infected;
CM1;1;CM;15:18-17:18;;70;0,00%;infected;infected;
CM1;1;CM;15:18-17:18;;75;0,00%;infected;infected;
CM1;1;CM;15:18-17:18;;80;0,00%;infected;infected;
CM1;1;CM;15:18-17:18;;85;0,00%;infected;infected;
CM1;1;CM;15:18-17:18;;90;0,00%;infected;infected;
CM1;1;CM;15:18-17:18;;95;0,00%;infected;infected;
CM1;1;CM;15:18-17:18;;100;0,00%;infected;infected;
CM1;1;CM;15:18-17:18;;105;0,00%;infected;infected;
CM1;1;CM;15:18-17:18;;110;0,00%;infected;infected;
CM1;1;CM;15:18-17:18;;115;0,00%;infected;infected;
CM1;1;CM;15:18-17:18;;120;0,00%;infected;infected;
CM2;1;CM;15:18-17:18;1;5;28,57%;uninfected;uninfected;
CM2;1;CM;15:18-17:18;;10;28,57%;uninfected;uninfected;
CM2;1;CM;15:18-17:18;;15;28,57%;uninfected;uninfected;
CM2;1;CM;15:18-17:18;;20;0,00%;uninfected;uninfected;
CM2;1;CM;15:18-17:18;;25;0,00%;uninfected;uninfected;
