Frame;Time;X_Arena0_1A_Control2_6;Y_Arena0_1A_Control2_6;X_Arena0_1A_Control2_1;Y_Arena0_1A_Control2_1;X_Arena0_1A_Control2_2;Y_Arena0_1A_Control2_2;X_Arena0_1A_Control2_4;Y_Arena0_1A_Control2_4;X_Arena0_1A_Control2_7;Y_Arena0_1A_Control2_7;X_Arena0_1A_Control2_5;Y_Arena0_1A_Control2_5;X_Arena0_1A_Control2_3;Y_Arena0_1A_Control2_3;X_Arena1_1A_CM2_3;Y_Arena1_1A_CM2_3;X_Arena1_1A_CM2_6;Y_Arena1_1A_CM2_6;X_Arena1_1A_CM2_7;Y_Arena1_1A_CM2_7;X_Arena1_1A_CM2_2;Y_Arena1_1A_CM2_2;X_Arena1_1A_CM2_5;Y_Arena1_1A_CM2_5;X_Arena1_1A_CM2_1;Y_Arena1_1A_CM2_1;X_Arena1_1A_CM2_4;Y_Arena1_1A_CM2_4;X_Arena2_1A_HT2_4;Y_Arena2_1A_HT2_4;X_Arena2_1A_HT2_7;Y_Arena2_1A_HT2_7;X_Arena2_1A_HT2_1;Y_Arena2_1A_HT2_1;X_Arena2_1A_HT2_3;Y_Arena2_1A_HT2_3;X_Arena2_1A_HT2_5;Y_Arena2_1A_HT2_5;X_Arena2_1A_HT2_6;Y_Arena2_1A_HT2_6;X_Arena2_1A_HT2_2;Y_Arena2_1A_HT2_2;X_Arena3_1A_HS2_5;Y_Arena3_1A_HS2_5;X_Arena3_1A_HS2_7;Y_Arena3_1A_HS2_7;X_Arena3_1A_HS2_6;Y_Arena3_1A_HS2_6;X_Arena3_1A_HS2_3;Y_Arena3_1A_HS2_3;X_Arena3_1A_HS2_2;Y_Arena3_1A_HS2_2;X_Arena3_1A_HS2_4;Y_Arena3_1A_HS2_4;X_Arena3_1A_HS2_1;Y_Arena3_1A_HS2_1;X_Arena4_1A_CM1_1;Y_Arena4_1A_CM1_1;X_Arena4_1A_CM1_6;Y_Arena4_1A_CM1_6;X_Arena4_1A_CM1_4;Y_Arena4_1A_CM1_4;X_Arena4_1A_CM1_7;Y_Arena4_1A_CM1_7;X_Arena4_1A_CM1_2;Y_Arena4_1A_CM1_2;X_Arena4_1A_CM1_5;Y_Arena4_1A_CM1_5;X_Arena4_1A_CM1_3;Y_Arena4_1A_CM1_3;X_Arena5_1A_HS1_4;Y_Arena5_1A_HS1_4;X_Arena5_1A_HS1_3;Y_Arena5_1A_HS1_3;X_Arena5_1A_HS1_1;Y_Arena5_1A_HS1_1;X_Arena5_1A_HS1_6;Y_Arena5_1A_HS1_6;X_Arena5_1A_HS1_2;Y_Arena5_1A_HS1_2;X_Arena5_1A_HS1_7;Y_Arena5_1A_HS1_7;X_Arena5_1A_HS1_5;Y_Arena5_1A_HS1_5;X_Arena6_1A_HT1_6;Y_Arena6_1A_HT1_6;X_Arena6_1A_HT1_4;Y_Arena6_1A_HT1_4;X_Arena6_1A_HT1_2;Y_Arena6_1A_HT1_2;X_Arena6_1A_HT1_7;Y_Arena6_1A_HT1_7;X_Arena6_1A_HT1_5;Y_Arena6_1A_HT1_5;X_Arena6_1A_HT1_1;Y_Arena6_1A_HT1_1;X_Arena6_1A_HT1_3;Y_Arena6_1A_HT1_3;X_Arena7_1A_Control1_5;Y_Arena7_1A_Control1_5;X_Arena7_1A_Control1_1;Y_Arena7_1A_Control1_1;X_Arena7_1A_Control1_4;Y_Arena7_1A_Control1_4;X_Arena7_1A_Control1_2;Y_Arena7_1A_Control1_2;X_Arena7_1A_Control1_3;Y_Arena7_1A_Control1_3;X_Arena7_1A_Control1_6;Y_Arena7_1A_Control1_6;X_Arena7_1A_Control1_7;Y_Arena7_1A_Control1_7
0;0.0;486.0956694155288;580.9104141318552;617.4911010129698;529.9116728202215;715.3523672883788;609.7667144906743;577.2406591099916;784.6689756507136;588.7047347532002;639.1322600480742;464.65997250612634;680.1197178889487;691.0025706940874;758.3753213367609;1164.8241627885754;759.2353316908477;1108.8033941722701;515.0568135034994;1143.6092544987146;618.4473007712082;1248.1080164815105;671.8664267459448;1015.105251736111;647.7122938368055;1205.5791896869243;533.0397099447514;1020.9562982005141;706.5501285347044;1553.0282776349613;730.7352185089974;1537.5848595848595;600.3497372193025;1607.8677506775066;495.99766937669375;1665.9881342062192;688.2444080741952;1424.5286565795507;633.91028580162;1478.3988300728806;502.6986958189489;1734.4164524421594;583.8971722365038;1870.8894601542415;715.1876606683804;1992.0154241645246;648.9241645244216;1824.8361593059938;577.1180993690851;2086.827763496144;606.3547557840617;2045.2946337641988;491.0183313748531;2029.8229140302033;716.6109001940437;1907.1670951156811;452.60668380462727;593.8245501285346;933.8473650385604;484.5845910349895;1011.3547001300095;672.0;1186.796915167095;568.8128210396549;1045.6665296897472;699.5233131313131;1008.5006060606061;476.7872606906423;1184.0849883700123;716.9151670951156;1090.056555269923;1121.8314699191712;1218.3941725957116;1240.7435263311027;1153.3757152555522;1092.5465123400083;975.6874885173618;986.6072475911186;1069.4667644183774;1207.997565243856;1024.7490679449136;1107.3812032371354;1102.1232249198351;997.9330692667072;1203.5938452163316;1458.1944708742994;985.6241674595623;1489.1390565615916;1222.2102615694164;1682.8387298934615;1064.8077431933707;1537.4807197943444;1098.694087403599;1412.717682663208;1085.7980977086036;1565.7408360630166;980.0635626267352;1627.311053984576;1205.7994858611826;1838.0270396270396;1109.3829577829576;1942.0327391155297;914.474631470689;1986.7893352901608;1198.0163884302574;2064.7185879841413;999.1932753888381;2073.3323357888275;1110.0709791282995;1853.6143958868895;1012.3187660668381;1937.129180759113;1060.6484404359262
1;0.03;486.24636123426933;581.0230193918222;617.5795481345218;530.488278854771;715.5051600323393;609.8617491796261;577.2314524555903;784.6732497387669;588.8266200621393;639.2089991122947;467.440643548891;679.2358637925648;690.6957418870755;766.3959232164071;1164.9259107281264;759.2447909542698;1108.4151580653877;515.523101864361;1146.5298543224073;613.2544086639831;1248.158769872296;671.8826166275736;1010.075;660.8125;1205.713526487228;533.1457797588433;1028.1278538812785;700.8721461187214;1562.8060625131109;738.8794315082861;1537.615339422101;600.2199967953853;1607.8880212569816;496.03156011062305;1666.0572190319933;688.1811594202898;1424.5731772626425;633.8970239461403;1478.4998556998557;502.76171236171234;1732.6170877093386;582.8733087330872;1883.486857633301;723.0622250831454;1954.8946015424165;607.2763496143959;1824.878400524418;577.1447394296952;2087.8504536724286;602.3516126895821;2045.3092079745556;491.0264525638042;2029.7827185447195;716.6298635674583;1914.822149344097;454.86242852337705;595.0700192849725;929.5896751223854;484.47579969854297;1011.7533076536594;673.6755110408246;1194.2783927839278;568.8571331567869;1045.98791335642;699.6002569661929;1008.5866056371958;476.83531903627215;1184.2727914570646;713.4688179052584;1085.7517383746197;1121.9100651701665;1218.4034274680182;1240.7298784018528;1153.2019397799652;1092.640155660951;975.8592970935181;988.4510717057734;1072.8716341274105;1208.1091666666666;1024.7714393939393;1107.4577228327228;1102.2207722832723;999.0547785547784;1204.5768171222717;1458.1230202578267;985.6549855301236;1489.581845721086;1222.9598074218327;1685.1737854377418;1065.6110278506305;1538.9292047953465;1110.210257501596;1412.778041244521;1085.8189983473449;1565.881324318023;980.0589881091164;1628.5366658617081;1209.017387104564;1838.1073936389919;1109.3919867823213;1942.0349081812496;914.4484621069986;1986.6297236834148;1198.2517080839227;2064.5517928286854;999.8009443706653;2072.868380390504;1109.7968113499085;1857.2493910925539;1009.6911099512873;1937.0331251696987;1061.0983799438861
2;0.07;486.24724684394306;580.9971796937954;617.6818739964106;530.3803721545291;715.486734064265;610.0578575157814;577.2040666980294;784.6974543933928;588.8442600276625;639.2553803596127;467.56247717431;679.321542234048;690.6236334913112;766.5778830963665;1164.9432740538075;759.2773369813041;1108.9736627749116;515.0317223278124;1146.523234645971;613.2686595765066;1248.158769872296;671.8826166275736;1010.2180685358255;661.2554517133956;1205.7046181984454;533.0529263831733;1028.1278538812785;700.8721461187214;1562.651053127947;739.2622340982919;1537.620345140781;600.2402628626382;1607.9008672086718;496.01794037940374;1666.0570004778483;688.2090927708376;1424.5658025541024;633.9319415768142;1478.4750891394428;502.77257396164595;1732.3831462886394;583.3374680055128;1883.081406156033;722.9349953529057;1955.771208226221;605.5231362467866;1824.869094488189;577.1330052493438;2087.849106727768;602.4466361160921;2045.3278917910447;491.0289956467661;2029.8737348178138;716.6166497975709;1914.7997474747474;454.856734006734;595.0863399478853;929.2738524754459;484.462262565137;1011.6972040118786;673.7431895241435;1194.1261545656494;568.7094576178795;1045.9265467429816;699.7574082972928;1008.5635912221687;476.7657466383581;1184.2024946921445;713.422007514761;1085.4668813741278;1121.8766971058608;1218.4181282311445;1240.7268297389878;1153.2241038259274;1092.6440389294403;975.8426399026763;988.413201320132;1072.7935793579356;1208.1062637279406;1024.782094978414;1107.4440378164074;1102.1903019213175;998.3263650546022;1204.642537701508;1458.1424132301047;985.6646126296939;1489.4062720800043;1222.751508234143;1684.5064884756923;1065.4973852411388;1538.8602743600622;1110.239004384104;1412.7439603106127;1085.8291630716135;1565.83018427805;980.0669465826919;1628.508886734529;1209.0132493132976;1838.1322587311427;1109.3962595577598;1942.0926812585499;914.4625512995896;1986.5414078674946;1198.1753744976252;2064.727123082678;999.4397306397307;2072.6402046783624;1109.9701754385965;1857.2192387904067;1009.6963851233924;1937.4381243063262;1060.8982611912688
3;0.1;486.2922141771699;581.0578796817734;617.798328848605;530.9254118868904;715.5359875318787;610.1625578539719;577.2044660092868;784.7116397975686;588.804864657113;639.4278811837698;467.74973212919025;679.5322210316853;691.38677968097;765.3690034728353;1164.9777656527076;759.2522166143773;1108.592841765339;515.2601811984213;1146.570574448749;613.2806237145453;1248.1603065373788;671.8892711917423;1027.3111111111111;660.8381481481481;1205.7455691888208;533.1062258577596;1028.1278538812785;700.8721461187214;1562.3545976104006;739.5478183062266;1537.5989043136;600.3630126057125;1607.8947482638887;496.0437282986111;1666.0775750119608;688.2246599685599;1424.5822262940908;633.8737211788059;1478.2010703363912;502.61783256880733;1732.6397230798016;582.9699691271401;1883.4460792153097;722.699184391492;1956.6478149100258;607.2763496143959;1824.8780967361383;577.1336348145235;2087.854870775348;602.3839628893306;2045.2926131973418;491.0857672693556;2029.8320687910975;716.6385938290339;1914.8216057166876;454.8747372845733;595.549527458493;928.5961685823755;484.45061210799935;1011.879534909721;673.4186609939136;1194.0960822549193;568.878370160146;1045.870666936955;699.7831575583252;1008.5866890380312;476.88112809699527;1184.1409242663854;713.4860124811706;1085.6318054658918;1121.887136449139;1218.429412048425;1240.7006547275175;1153.2589062199113;1092.6642419833909;975.9263502454992;988.4251457812685;1072.8891467333096;1208.1113381774144;1024.7889040266423;1107.4587141986592;1102.2047531992687;999.1007000538502;1204.7741518578352;1458.1234548419334;985.6563568460365;1489.5788461538461;1223.1123931623931;1685.2438583364508;1065.664359645841;1538.8369886123999;1110.3221566146492;1412.7678943212004;1085.8932443104313;1565.9203202736317;980.0819340796019;1628.5070014485755;1209.0638982778044;1838.1923255454124;1109.3656196812626;1942.070705346985;914.4633105802047;1986.5160977971434;1198.3887073347857;2064.6142404830275;999.6779324055666;2072.7374476987447;1110.3394700139468;1857.2151294076775;1009.7193850964044;1937.3410727141827;1061.3416126709863
4;0.13;486.2791912158543;581.1076593465452;617.8598738200275;531.0515155827522;715.660817058213;610.3515897726201;577.145774721267;784.8018651661977;588.8872053872053;639.567448680352;467.82534124930226;679.6424620693155;691.2056307911618;765.6566286528866;1164.9945854945854;759.2572117572117;1108.976473733458;515.7493205008243;1146.4833237767584;613.3777714067278;1248.147904940588;671.9224515322077;1056.0;666.0;1205.6479241210882;533.0436190151644;1028.1278538812785;700.8721461187214;1562.028544688816;739.7894764207351;1537.5855007712353;600.3783309398436;1607.875346260388;496.0298734452229;1666.0637657361794;688.2218801313629;1424.6140591643793;633.878011588899;1478.111302516987;502.55737391137905;1732.6755294337156;583.0418882358429;1883.4218307643914;722.3232672748243;1954.8946015424165;604.646529562982;1824.849253144654;577.18232442348;2087.839228934817;602.4617117117117;2045.3856433753338;491.01313478426874;2029.8427704752276;716.6420626895855;1914.7802743414961;454.9006143229824;595.1262741518333;929.0225670672954;484.39615062761504;1011.9235146443515;673.2821149751597;1193.9730896616986;568.6975958941113;1046.0584819016747;699.7449386258568;1008.5706998246452;476.73116018226426;1184.023045916579;713.4884635832003;1085.3992557150452;1121.861927513151;1218.4363206408957;1240.7096463332368;1153.244242073817;1092.6422379826633;975.9479905437353;988.4426180692037;1072.939134059913;1208.1113381774144;1024.7889040266423;1107.4447492760248;1102.1977594878829;999.1362799263351;1204.7210486404506;1458.1025277208469;985.6710284302906;1489.8960066991153;1223.7647459046423;1685.2156277217864;1065.6460744058727;1538.7145545796739;1110.3696500766764;1412.8233483644692;1085.8871233268912;1565.9122807017543;980.099518708275;1628.4767544919828;1209.075900410926;1838.3208404315728;1109.2599246296008;1942.085468625441;914.4666894431158;1986.230917874396;1198.496739130435;2064.53724538569;999.6514449591882;2072.8370431437206;1110.0216405605936;1857.1841922609751;1009.7259239979178;1937.5058929374718;1061.5178587494377
5;0.17;486.38784151178857;581.1086152337656;617.6941220869893;531.5920369846211;715.6200535135896;610.4620475989298;577.0561768665217;784.924562493528;588.9664454874036;639.9516642390894;468.12541303694803;680.660458596175;692.0436813030354;764.9473204624408;1165.0170137471077;759.2393720793067;1108.0742241980474;515.9008891213389;1146.5593721673583;613.4453985973952;1248.2143972517176;671.9501873828857;1032.1605335392005;690.1084234002401;1205.7126534306237;532.9923638214831;1028.1596244131454;700.7981220657276;1560.6413871574155;740.5640645097457;1537.6909119596087;600.7248343325971;1607.8711973055192;496.0547044763146;1666.0327319939865;688.2027470274703;1424.6990055416381;633.8361041524329;1477.8118747078072;502.2802244039271;1732.6776375937097;583.1428963247395;1883.5866624889027;722.574808083973;1961.9074550128535;613.4125964010283;1824.8428104575162;577.1816993464053;2087.8539102818577;602.4512372634642;2045.3794391098916;490.99817101051667;2029.8665318503538;716.6375126390293;1914.8447131939195;454.9234903838078;600.7113105713951;927.6413234776487;484.44743439745946;1011.9443423031923;673.0532332976063;1193.7993330951529;569.0528104575163;1046.0377124183005;699.7842247691817;1008.5923272843042;476.7528510490119;1183.9788456516062;713.5526315789474;1085.3592263792011;1121.9247420692313;1218.4330826342684;1240.71206431735;1153.2833140766415;1092.6690268700072;975.9621157104816;988.4400047568081;1072.947199429183;1208.1551880380607;1024.8002567587978;1107.4449527294905;1102.243824336688;999.3415908853349;1205.9012229539042;1458.1182185809566;985.6895121054566;1490.0808112003292;1224.277743463043;1685.4376811594202;1065.6472402096824;1538.5760764892007;1110.5145824735175;1412.8584993217676;1085.903262654387;1565.93789784195;980.0878745536406;1628.5375903614458;1209.0996787148592;1838.3809155981255;1109.2049539111179;1942.1653865847413;914.3811799510723;1986.0094015548725;1198.7027662267221;2064.616143891204;999.7135336696643;2072.844499246472;1110.2116043293602;1857.23329871928;1009.7873831775701;1937.7641763419147;1062.4994952044422
6;0.2;486.40162253722025;581.1021217794419;617.7220725192643;531.7874533163144;715.7048277809147;610.6094014680971;576.9574566831683;784.9567347359736;589.164265129683;640.2365780766357;469.2305886036318;681.3787309538718;690.0917186108637;766.249569605224;1165.1209150326797;759.1619008714597;1108.041448692153;515.9530963559132;1146.637824180015;613.4503241800152;1248.2747845946226;671.9679227654937;1033.992498124531;690.6137784446112;1205.615997288595;532.9062870699881;1027.0;700.0;1559.8265256855927;740.6011973735032;1537.8159957905812;600.6952907129703;1607.7186588921284;495.7110463232912;1666.0217838060007;688.1531716673517;1424.8077389065575;633.7984249583523;1477.7635669738434;502.08126221725774;1732.4863507714779;583.4386012964484;1884.1953096750863;721.9808874425331;1955.771208226221;608.1529562982005;1825.1232911715854;576.8824581576594;2087.8643395477984;602.4564326325532;2045.4442170683642;490.93951796271034;2029.889449772842;716.625694093892;1914.861733366893;454.9298598875744;605.6566553330814;926.4382949250723;484.4728397125188;1011.962393448103;673.3675133856307;1192.6249533059395;569.0690308254963;1046.0809169278996;699.7487876619763;1008.5728595277844;476.8327704165584;1183.9688230709276;713.5294549266247;1085.2117400419286;1121.9787234042553;1218.4211897524967;1240.7712758271925;1153.300293791841;1092.7388253795439;975.8839895965643;988.4565476190475;1072.9273214285715;1208.2051920609765;1024.7848464266847;1107.468244935124;1102.2585932164807;999.3019436648996;1206.1199459515642;1458.17383992853;985.6970939092962;1489.7412720448351;1224.260116201347;1685.5174322080798;1065.6480354178195;1538.0372223334;1110.7157627910078;1412.7465255274717;1085.922805501548;1565.989279888138;980.1013749708693;1628.5357660705654;1209.048251973578;1838.712819711413;1109.09621294994;1942.2204778156997;914.2736632536972;1986.1419786255894;1198.5067765239714;2064.660451853477;999.6844337208452;2072.7929030919277;1109.8645638790897;1857.2682737169519;1009.8107827890099;1938.7183040501525;1062.7705188484697
7;0.23;486.4817631883284;581.1089760697446;617.759222380275;531.7839734471313;715.7207538280329;610.6383510011779;576.9534775888717;784.9294178258629;590.6488775942397;640.4588854601561;476.53942691331156;684.7268770402611;689.80380342685;766.2462185401367;1165.1670051907017;759.1391108102008;1107.6974728914295;516.0849779955537;1146.647162613257;613.4517405817834;1248.3086111976731;671.9273917108134;1039.2557082945013;690.2824246660454;1205.641694725028;532.7613355780022;1016.5714285714286;673.063492063492;1560.6190901423822;740.9426998065188;1537.9222748815166;600.718009478673;1607.6661288587716;495.68554372378185;1665.9674128842335;688.0455945779421;1425.036248300861;633.6983839299199;1477.801559454191;501.170857699805;1732.481280029009;583.5450095186293;1883.699009410599;723.7472015849429;1954.8946015424165;607.2763496143959;1825.124497991968;576.9279020845286;2087.862539556962;602.4492352320674;2045.4555278470489;490.9334995843724;2029.900505050505;716.6272727272727;1914.8620979255898;454.92071890484584;613.7826957295374;921.5877817319098;484.3898586866168;1012.055417013023;675.1478413147437;1189.2472553377786;569.2905799922148;1045.8679771636173;699.8146298938025;1008.5138690759233;476.8280096170359;1183.9028851107676;713.590288631864;1085.0984682713347;1121.9650238473769;1218.4353230235583;1240.7719323601677;1153.2841932841932;1092.720375416288;975.9247350893127;988.4842486923442;1072.9572039942939;1208.1786684782608;1024.8055555555554;1107.4467729688686;1102.28754745634;999.3668699186991;1206.9947154471545;1458.1571068389537;985.7070595650804;1489.773355783458;1224.6133986427878;1683.2312405342143;1065.5711827068703;1536.4477480868147;1110.8737924978045;1412.7594991364422;1086.1271588946458;1565.928089364673;980.0961135676054;1628.561686746988;1209.1020080321284;1839.4673854736614;1108.7244394378286;1942.2829781187836;914.1815856777494;1986.173876472002;1198.6286349435231;2065.236830154405;999.0082500756887;2072.8396677050882;1109.8951886465904;1857.2845928226361;1009.8369565217391;1939.242035187827;1063.532968774766
8;0.27;486.4784444444444;581.393511111111;617.6427996401003;531.9581853482975;715.6847457627118;610.7503766478342;576.8178921946457;784.9758491341657;591.1657481118596;640.566101925563;477.02802491103205;685.8336298932385;686.4033992369059;767.2083246618106;1165.2400252184093;759.1414932901017;1108.4853945647435;515.8696894831177;1146.6400724430464;613.4699266037555;1248.3397615344738;671.9626749611198;1041.4458637469586;690.1462135036496;1205.6430327410883;532.6500167616493;1031.0;701.0;1560.5680348819726;741.2856713276199;1538.1221158373883;600.8141055825878;1607.5183156085507;495.7342893973574;1665.936488424503;687.8744792733729;1425.3156514572563;633.7143178242302;1477.8427938808372;500.98369565217394;1732.49359146724;583.3824504795195;1886.0169603078168;722.6109254759011;1954.017994858612;606.3997429305913;1825.1403441925445;576.8720391185622;2087.871293001186;602.3907341505205;2045.54482861847;490.9259841341116;2029.887878787879;716.6348484848485;1914.883186582809;454.90775681341717;625.4122151489989;913.1647753482792;484.3941715237302;1012.1003053011378;679.7601888667992;1181.6617793240557;569.303489350683;1045.846054250016;699.8698039215686;1008.5200784313724;476.82312049433574;1183.9183831101957;713.6804356761199;1084.792231812577;1121.976159514521;1218.4357751769976;1240.773941932688;1153.2671288940246;1092.7390199637023;975.9098608590441;988.446006882639;1072.9474902100392;1208.1823742637064;1024.7930070986256;1107.4841450462752;1102.2800030344408;999.5144532039619;1207.0996563573883;1458.1436672967864;985.7181789540012;1489.6981410746114;1224.7564553093964;1682.0;1067.0;1536.2187519717331;1110.8315351126255;1410.5978372811535;1090.6541366289048;1565.9455687369157;980.0537334263782;1628.5902811244978;1209.098393574297;1843.6712123731913;1109.1313820056544;1942.1973183341854;914.1428327935913;1986.2973556395036;1198.530850872459;2065.7293645278355;998.6665122384371;2073.0823513476903;1109.958417987268;1857.3147764543412;1009.8360952874159;1940.7790395079253;1063.3204005993218
9;0.3;486.5480594366822;581.7100465735197;617.7805155960689;531.8682049090822;715.7147503889124;610.782491868194;576.804528650647;784.973505853358;591.2445125063808;639.91917645057;477.065260344026;693.4076592282659;685.3122441384444;766.2432700657486;1161.982005141388;776.1182519280205;1108.584670494136;516.0122184601796;1146.6738156515107;613.4833666952625;1248.439250401201;671.9447636796604;1045.6576402321084;686.5387016865179;1205.7941830719608;532.5081748415082;1031.0;700.5;1560.909260349225;738.7740827938002;1538.5243713132568;600.8350926213391;1607.4072475353048;495.70572875033304;1665.8777709569606;687.7816656435441;1425.5939179736395;633.5727855091673;1477.64998331665;501.957735513291;1732.4393565487615;582.8466319349236;1891.4581245526128;721.5495108565974;1958.4010282776349;603.7699228791773;1825.2318483412323;576.8582622432859;2087.8803317535544;602.4976961558715;2045.558865568344;490.96426690739486;2029.9070237493684;716.6505811015664;1914.8949576306736;454.91073076600384;629.4171465131158;907.7173704414587;484.43436529072346;1012.097148246782;675.8602289911428;1180.8001008137105;569.3996519721578;1045.7858984274296;699.8144838937221;1008.4006583588056;477.4000873743993;1183.9114023591087;713.3404150683584;1084.4260843906757;1121.993640699523;1218.435612082671;1240.7890478254587;1153.265472234263;1092.7380131809662;975.9079750891831;988.4805649516348;1072.93383182007;1208.292363307727;1024.7454435909021;1107.4865048763893;1102.2771603538217;999.6498070282348;1207.1872841763152;1458.2428436615287;985.7703156128761;1489.6483774007843;1224.929390187987;1686.119767797128;1083.8718301252673;1536.3965560583208;1111.0844017094016;1411.030914665304;1092.3398909896098;1565.9739837398374;979.998606271777;1628.5921200449366;1209.1117798106243;1845.2691981691812;1109.0485393004465;1942.3425815602836;914.0134468085106;1986.3673518451735;1198.5140040870297;2063.4139769025765;1000.2421281216069;2073.105305956495;1109.994646608389;1857.3140660100223;1009.853032659409;1941.2288942695723;1063.3217917675545
