Frame;Time;X_Arena0_2A_Control2_5;Y_Arena0_2A_Control2_5;X_Arena0_2A_Control2_6;Y_Arena0_2A_Control2_6;X_Arena0_2A_Control2_3;Y_Arena0_2A_Control2_3;X_Arena0_2A_Control2_4;Y_Arena0_2A_Control2_4;X_Arena0_2A_Control2_7;Y_Arena0_2A_Control2_7;X_Arena0_2A_Control2_2;Y_Arena0_2A_Control2_2;X_Arena0_2A_Control2_1;Y_Arena0_2A_Control2_1;X_Arena1_2A_CM1_7;Y_Arena1_2A_CM1_7;X_Arena1_2A_CM1_3;Y_Arena1_2A_CM1_3;X_Arena1_2A_CM1_5;Y_Arena1_2A_CM1_5;X_Arena1_2A_CM1_1;Y_Arena1_2A_CM1_1;X_Arena1_2A_CM1_6;Y_Arena1_2A_CM1_6;X_Arena1_2A_CM1_2;Y_Arena1_2A_CM1_2;X_Arena1_2A_CM1_4;Y_Arena1_2A_CM1_4;X_Arena2_2A_HT2_4;Y_Arena2_2A_HT2_4;X_Arena2_2A_HT2_7;Y_Arena2_2A_HT2_7;X_Arena2_2A_HT2_5;Y_Arena2_2A_HT2_5;X_Arena2_2A_HT2_3;Y_Arena2_2A_HT2_3;X_Arena2_2A_HT2_2;Y_Arena2_2A_HT2_2;X_Arena2_2A_HT2_1;Y_Arena2_2A_HT2_1;X_Arena2_2A_HT2_6;Y_Arena2_2A_HT2_6;X_Arena3_2A_CM2_6;Y_Arena3_2A_CM2_6;X_Arena3_2A_CM2_4;Y_Arena3_2A_CM2_4;X_Arena3_2A_CM2_1;Y_Arena3_2A_CM2_1;X_Arena3_2A_CM2_2;Y_Arena3_2A_CM2_2;X_Arena3_2A_CM2_7;Y_Arena3_2A_CM2_7;X_Arena3_2A_CM2_5;Y_Arena3_2A_CM2_5;X_Arena3_2A_CM2_3;Y_Arena3_2A_CM2_3;X_Arena4_2A_HT1_4;Y_Arena4_2A_HT1_4;X_Arena4_2A_HT1_3;Y_Arena4_2A_HT1_3;X_Arena4_2A_HT1_6;Y_Arena4_2A_HT1_6;X_Arena4_2A_HT1_5;Y_Arena4_2A_HT1_5;X_Arena4_2A_HT1_2;Y_Arena4_2A_HT1_2;X_Arena4_2A_HT1_1;Y_Arena4_2A_HT1_1;X_Arena4_2A_HT1_7;Y_Arena4_2A_HT1_7;X_Arena5_2A_HS1_1;Y_Arena5_2A_HS1_1;X_Arena5_2A_HS1_5;Y_Arena5_2A_HS1_5;X_Arena5_2A_HS1_7;Y_Arena5_2A_HS1_7;X_Arena5_2A_HS1_6;Y_Arena5_2A_HS1_6;X_Arena5_2A_HS1_2;Y_Arena5_2A_HS1_2;X_Arena5_2A_HS1_4;Y_Arena5_2A_HS1_4;X_Arena5_2A_HS1_3;Y_Arena5_2A_HS1_3;X_Arena6_2A_Control1_4;Y_Arena6_2A_Control1_4;X_Arena6_2A_Control1_7;Y_Arena6_2A_Control1_7;X_Arena6_2A_Control1_2;Y_Arena6_2A_Control1_2;X_Arena6_2A_Control1_1;Y_Arena6_2A_Control1_1;X_Arena6_2A_Control1_3;Y_Arena6_2A_Control1_3;X_Arena6_2A_Control1_6;Y_Arena6_2A_Control1_6;X_Arena6_2A_Control1_5;Y_Arena6_2A_Control1_5;X_Arena7_2A_HS2_3;Y_Arena7_2A_HS2_3;X_Arena7_2A_HS2_1;Y_Arena7_2A_HS2_1;X_Arena7_2A_HS2_6;Y_Arena7_2A_HS2_6;X_Arena7_2A_HS2_5;Y_Arena7_2A_HS2_5;X_Arena7_2A_HS2_2;Y_Arena7_2A_HS2_2;X_Arena7_2A_HS2_7;Y_Arena7_2A_HS2_7;X_Arena7_2A_HS2_4;Y_Arena7_2A_HS2_4
0;0.0;647.4700031328321;801.4496397243107;547.4952615863949;683.9384222597256;830.3485915492957;670.769822639541;785.6584725005566;785.9639723892228;707.4680064308682;657.259807073955;748.6236854877851;545.8994229628431;641.474293059126;549.4980719794344;1159.575364810651;692.3109817925318;1278.694200973882;724.7164674634794;1030.7323084090378;769.5867225716282;1109.8489311163896;562.9347057271048;991.8129442573886;661.8164715942494;1234.9155608371293;569.9000462137716;1161.8498064759747;804.2577173605212;1493.1407568744896;772.6826390779562;1569.9935563816605;641.1582156133829;1419.0151758901757;701.3295795795794;1672.8902834246653;781.9295857639502;1713.2001110699741;581.6817228187091;1572.030848329049;483.70179948586116;1463.2583547557842;563.8030205655527;1879.9882055602359;567.2757090704857;2008.0372750642673;768.5925449871465;1978.4364163671896;565.4834499716285;2098.2339007092196;571.8827659574468;1992.555912596401;658.3007712082263;1870.7348001466812;741.9877521085441;2133.607279693487;699.2361643252448;767.5570204350693;1252.5918479455065;859.6446015424165;1135.142994858612;569.4013922555783;1136.4939399589782;650.4848140430637;1278.6977331565322;797.7956298200514;1025.375;663.5102827763496;990.2178663239074;719.736746550472;1132.7466715081093;1197.1901930246825;1016.549955165416;1082.9653517324134;1243.7522123893805;1164.888851502916;1182.263458950202;1074.4593783115506;1085.4117508536442;1292.4110720791048;1120.1483216237314;1214.609020682781;1303.1481020018273;1316.6232334652345;1237.1319012624833;1504.1135637525415;1263.47081033982;1580.3348458770145;1153.0159599436709;1712.8260092890318;1164.1744075264976;1666.236412556054;1045.7087593423018;1653.102259607455;1268.6979218208808;1502.9990686411472;1049.6841762130948;1447.1215463809222;1150.6162412018068;2126.3174807197943;1172.340938303342;1993.1775705857563;1015.5959755583649;1881.9752637322663;1136.1609676245907;1939.6780659257147;1234.478863873848;2096.9768637532134;1037.5138174807198;2029.2140102827764;1129.7271850899742;2045.9800771208227;1277.827442159383
1;0.03;643.7521010492814;805.0575861554528;546.85280228103;683.4796845763165;830.1954297861033;670.4527257428811;785.648442409552;785.7937875931411;706.5588790083534;657.1956884936674;742.5;543.0;642.4966747467213;553.978991857791;1159.5537517053206;692.969031377899;1275.6143958868893;724.9338046272494;1030.3428367783322;769.3598954621049;1109.580456976179;562.7890671420083;991.7381590705987;661.9009159964254;1244.9150743099788;567.0084925690021;1161.5775853775854;804.1888407888407;1493.0451031517314;772.6792004025433;1589.0029905682077;651.4503105590062;1419.5625356613032;700.5898664840807;1672.7041238969925;781.8468095323849;1722.0;568.0;1572.1241413150146;482.61416421328096;1460.870646766169;562.5557036247335;1880.0464356156663;567.2808678500986;2009.6151817452126;771.2660245384702;1978.502286585366;565.5181656504064;2098.1803066292377;571.9183041819621;1991.5385269340752;662.6694489527783;1870.702607158639;741.9893946089262;2133.50833867864;699.1695531323497;767.4615037763499;1252.441945665652;859.6899393939393;1134.3938787878787;569.4369327653269;1135.8110143853798;650.078094870806;1278.5920426790076;797.9978452314033;1026.9891324714258;669.3345428888216;995.1887914524744;719.4966459324307;1132.8149774362726;1197.0391821207797;1016.4278649548264;1082.918142821095;1243.6508200857934;1164.8131663564054;1182.2216393072713;1074.297149318574;1085.3825507349877;1292.1993045988322;1120.0571409827462;1214.2967736500716;1303.057029736332;1316.518011457423;1236.859792212836;1504.0342029830442;1263.4867609192052;1580.3263495064061;1153.0069838269271;1712.7737410071943;1164.1291366906476;1664.6666666666665;1048.3333333333333;1653.161263713602;1268.855728780005;1503.2031441212462;1049.4670996893533;1447.0161392405064;1150.7473628691982;2128.0;1193.0;1993.7433701202438;1014.704441882172;1874.1278920308482;1132.521529562982;1938.713440077632;1234.4535662299854;2094.0;1046.5;2022.926735218509;1127.6314267352186;2052.26735218509;1280.6217866323907
2;0.07;644.4248888888889;804.8815802469135;547.0211900022118;683.4296394602964;830.3170806906271;670.4560429880197;785.7576369263894;785.7904274884492;706.9035812672176;657.1655053205855;738.5683175272217;540.9874721929516;642.5737958325603;553.9096642552402;1159.5731294818022;692.7320615162585;1278.1002145824773;725.251289777656;1030.4669791222839;769.3318657387681;1109.700364298725;562.8441551483982;991.8306966416874;661.8555648071051;1249.3333333333333;569.6666666666666;1161.707247207104;804.2213310417263;1493.204636728733;772.6953723986857;1588.7983511586451;650.839683600713;1419.6944207473127;700.5575271569129;1672.8378056052472;781.8725700655932;1722.0;568.0;1572.1745150124766;482.5387587539242;1461.6478502210932;562.642299369649;1880.078066914498;567.2866396305058;2009.6793683487813;771.2900217416179;1978.5738589475018;565.5428807211324;2098.450570751669;571.9035106612105;1990.773062452972;662.2539503386005;1870.740797997644;741.9964664310954;2133.6007033248084;699.3141517476555;767.570042620009;1252.4743719156572;859.7775963225065;1134.3707736043066;569.2568140137861;1136.5126794409662;650.2053691275167;1278.5982742090125;798.0698759212613;1027.0956245918462;669.4455455455455;995.131031031031;720.2625885863483;1132.5674499564839;1197.1781412991938;1016.4488383119962;1083.0105157232704;1243.648402515723;1164.8956609826103;1182.249591986043;1074.4088991861224;1085.3649379195626;1292.3639869281046;1120.0645098039215;1214.3741308536482;1303.0920666834213;1316.563924963925;1236.9617123617122;1504.1090424242423;1263.5200969696969;1580.386182694322;1153.0089566310496;1712.8529640951865;1164.1330096505424;1667.5;1054.0;1653.2215346534654;1268.8444719471945;1503.2913726597044;1049.5520745131246;1446.6074309978767;1150.496390658174;2128.0;1193.0;1993.38259872194;1014.8898902179257;1873.933641225085;1130.8467023172905;1938.7619047619046;1234.4885325558794;2096.0;1048.0;2024.3239074550129;1131.1243573264783;2051.568766066838;1273.6359254498716
3;0.1;641.4011894726982;805.2502575629858;546.6423354393511;683.0725904019357;830.1408126190793;670.3419735034781;785.5777357300535;785.7339730594224;706.4493982030853;658.5872746793241;738.8641975308642;541.3086419753085;642.432610861983;553.9639387144992;1159.5640358088972;693.0328857221157;1278.3747344568758;725.3270547136855;1030.2774202774203;769.2616425949758;1109.5312432315357;562.7085769980507;991.6461572758178;661.7080198406063;1251.7948717948716;565.3076923076923;1161.408999713385;804.2349288239228;1492.9884536082475;772.6540664375716;1588.9328246040004;651.4580876401895;1419.481309216193;700.4740166523112;1672.6088318573406;781.7951081390445;1722.0;568.0;1572.1778048780488;482.4826016260162;1460.701277650648;562.3803394355454;1880.0268335306387;567.2307909126782;2009.5104950946838;771.322553045859;1978.4616898368563;565.4919063035612;2098.2544733044733;571.8036075036075;1991.9981264637001;663.4416081186573;1870.6445672191528;741.9603683241252;2133.4959244959246;699.1610896610896;767.3675358392594;1252.4016819054068;859.6091828035561;1134.3056874923882;569.0388044384581;1136.4653967032261;649.9978091371867;1278.5476512661899;797.489118972294;1027.1978717285015;669.247324853624;995.1428427215828;719.4770978380359;1132.7613289361182;1196.9707158868698;1016.4117422616491;1082.8369279060348;1243.5372620494127;1164.6495464852608;1182.1469954648526;1074.2431189921786;1085.3523195414652;1292.11582757486;1120.0179006252056;1214.215302491103;1302.9674631418404;1316.4611338398597;1236.845704266511;1503.910792629424;1263.4602222872186;1580.2362117869525;1152.9685891375143;1712.64094705847;1164.0469322757044;1674.5;1046.5;1652.9711474867722;1268.9675925925926;1503.2245396467492;1049.4531191281474;1446.3181818181818;1150.3970556630131;2128.0;1193.0;1993.7232934397161;1014.4841533687942;1873.777506311589;1130.717973776366;1938.5507456904897;1234.4217509200075;2094.0;1046.5;2025.7210796915167;1129.0285989717224;2045.2814910025709;1269.44440874036
4;0.13;642.1985795588166;805.3245849207468;546.8295352993744;683.0381590705987;830.3560003534817;670.412292329445;785.8213184620964;786.0112441059122;705.9328465331085;660.1298758035324;737.2570018865187;540.8149760557249;642.5516405667412;553.9852721849367;1159.6785012565683;693.0916609549919;1278.0328981972934;725.3937263902835;1030.4467368620753;769.2650350977043;1109.5877775976658;562.7122710325823;991.6352544992823;661.8426631334879;1250.8666666666666;564.1333333333333;1161.532098765432;804.3083570750237;1493.1557538320749;772.6822695035461;1589.021349862259;651.4494949494949;1419.691027620518;700.491965460056;1672.8058897468127;781.8980666786376;1722.0;568.0;1572.4145040019403;482.46948015199285;1462.5063538611923;563.1864125122189;1880.1676538613413;567.280701754386;2009.5292382734954;771.4312290851341;1978.5903254513094;565.5673785914059;2098.517385057471;571.8413074712644;1992.2513931402557;663.5370850011773;1870.728550404709;741.9966887417219;2133.623137128766;699.2521711161145;767.5056268287193;1252.4484582489308;859.7942836337156;1134.3868559985435;569.4455926677739;1135.714215414898;650.1242132305716;1278.5741168914578;797.1052426806731;1027.444898356191;669.2853839967831;995.175211097708;719.0808717342785;1132.3744256268872;1197.17816091954;1016.4658497197681;1083.0049427548292;1243.604125687194;1164.861703327693;1182.2585448392556;1074.3339292098676;1085.3686092241687;1292.2958875312047;1120.069438969912;1214.3534613441132;1303.022233451238;1316.6033226464588;1236.7969493830758;1503.9981077147015;1263.5502668607471;1580.4009843962717;1152.9988480469158;1712.8382203034118;1164.137674641722;1681.6666666666665;1042.6666666666665;1653.1149681791883;1269.0115712042316;1503.2908920187792;1049.494835680751;1446.661552145875;1150.126751167445;2128.0;1193.0;1993.873683627092;1014.5123046225474;1873.9079396005845;1130.8193700276017;1938.760434867016;1234.4739856338574;2096.0;1048.0;2030.6111825192802;1129.7271850899742;2048.0758354755785;1272.9373393316196
5;0.17;638.5614797261717;805.1777251184834;546.6762135269598;682.8912195777867;830.3397869424921;670.3506608318967;785.7008092380432;786.0913347881432;705.9229965585054;660.878871681416;738.8641975308642;541.3086419753085;642.4699433127764;553.9640565626362;1159.662271062271;693.1280219780219;1278.1361598440544;725.3750487329435;1030.3952441854956;769.1971484060442;1109.535654248685;562.6586952985195;991.5201680672269;661.921400560224;1244.5;555.0;1161.4058879392212;804.3063627730294;1493.057871325721;772.6713899206676;1588.9698544698545;651.4807114807114;1419.6118564384817;700.4955280357757;1672.6924789410348;781.8404332129963;1722.0;568.0;1571.818220738077;482.108742186831;1462.4715614292704;563.0855604503181;1880.0614629190654;567.2126650863529;2009.4039667740294;771.4637509182346;1978.56434699714;565.5471877979028;2100.3044947351877;572.512887002986;1992.0356187418786;663.140029045326;1870.6833222787234;741.9672046576756;2133.598042379262;699.1478971711304;767.3838554896979;1252.4167090036692;859.6532213907648;1134.327066983026;569.3166295471418;1135.6674090571641;650.0435649935649;1278.5560489060488;795.2866053841103;1027.615123659444;669.215024605805;995.1698302701617;713.4305351006382;1135.4668630338733;1196.9946090358285;1016.4055627117026;1082.9160448708187;1243.534490634993;1164.6844074137052;1182.174800204047;1074.2745625037328;1085.3627784745863;1292.1983247592666;1120.0381216198389;1214.1806402439024;1302.967225609756;1316.513669205233;1236.718804920914;1503.8038672691055;1263.451051838896;1580.3231927238514;1152.908734514662;1712.7733957620505;1164.0812773875982;1681.6666666666665;1042.6666666666665;1653.0411308935047;1268.9957138147047;1503.241980866629;1049.4536672294128;1446.3739101274311;1150.084954169461;2127.4812335958004;1172.7904855643044;1994.0686029043566;1014.2864852834807;1873.8276450511946;1130.7318381277425;1938.6467401818531;1234.4511510930545;2097.0;1052.0;2027.1182519280205;1125.5356683804628;2043.8843187660668;1265.9514781491002
6;0.2;638.5346673687906;805.1627611023346;546.7258592104673;682.8153425639647;830.4721852541921;670.2651494987135;785.5575874238049;786.5034144552912;705.9412761151891;661.6562519605998;739.0;541.5;642.5177172696755;553.9602760164117;1159.6911865805032;693.1517026444841;1277.9096274794385;725.2894533139815;1030.4730235422292;769.2097958410307;1109.5592731625047;562.5945813611881;991.1066757261764;662.3889926957703;1209.5;553.5;1161.3366336633662;804.3643564356436;1493.1103160405485;772.6352460896288;1588.990990990991;651.519173019173;1419.638177128117;700.4646030381198;1672.7154105060704;781.8586368553913;1722.0;568.0;1569.5132331902716;481.3670422031473;1462.2149827784156;563.5435323383084;1880.1235656548527;567.2110677745746;2009.3572793704327;771.5763912310287;1978.613147511773;565.5577192312587;2100.004447511694;572.3407714132351;1992.035401570048;663.2365640096618;1870.6962668433841;741.9791620646491;2133.6672055178356;699.1590688651794;767.4474754320569;1252.396362814865;859.6916621054552;1134.3256704980843;569.0862519936204;1136.5032854864432;650.0732381687243;1278.5633359053497;796.7296834901625;1028.6042201311661;669.1864015265642;995.1641056543135;712.2151675485009;1134.3524817334342;1197.0401066971515;1016.3974468895875;1082.941896490426;1243.5296358372696;1164.7107559786919;1182.1653065850617;1074.2844611528822;1085.3560687432869;1292.2204162537166;1120.0190287413282;1214.304510003391;1302.8555442522888;1316.5271590465024;1236.71101992966;1503.7408378234065;1263.471190718897;1580.4042253521127;1152.868492436098;1712.7888068215937;1164.085810364499;1681.6666666666665;1042.6666666666665;1652.1193810511757;1269.2299446749653;1503.2429362620855;1049.4327419506242;1446.4581099195711;1150.164544235925;2127.4449818621524;1173.738680639527;1994.1328186192231;1014.1973816717019;1873.8228074453384;1130.7197431520765;1938.7102713178294;1234.4490310077517;2097.0;1052.0;2030.6111825192802;1123.439910025707;2050.870179948586;1275.7316838046272
7;0.23;638.070729673994;805.2515905401254;546.6786115227446;682.7402218330413;830.5444044604379;670.237060731263;785.4614814814814;786.8324537037037;707.3364178490643;665.0257728425526;739.0;541.5;642.4949570414643;553.9934628315278;1159.6907055693182;693.1713459950454;1277.607775543426;725.2542851670976;1030.593329543301;769.2655865074852;1109.547054656422;562.5551741049534;991.4075287356321;662.225;1209.4666666666667;552.7333333333333;1161.4426166426165;804.302934102934;1493.1047029135123;772.6351456756137;1588.97766263673;651.539896373057;1419.6284453612973;700.4685691364391;1672.708611662755;781.8488295119455;1722.0;568.0;1568.6715614292705;481.70494371023005;1462.1682358535425;563.4788397527342;1880.127931287789;567.2108266937898;2009.2618527847744;771.6291071928351;1978.622837150127;565.571437659033;2100.500040054474;572.4178482736521;1992.3226120857696;663.7226720647774;1863.0944730077122;739.5584832904884;2133.7144870960747;699.1853177184992;767.3497852880486;1252.5889242094697;859.6684911512498;1134.3280423280423;569.0401737242128;1136.4207063933063;650.0504953042583;1278.5521677601955;795.7038647342995;1028.2454106280193;669.1862124409606;995.2305295950156;710.7582762557078;1134.6192922374428;1197.0398929817018;1016.3498160622999;1082.9350583460173;1243.4973110096398;1164.7013369589847;1182.176977113075;1074.2596182612338;1085.380482259319;1292.2764760391844;1120.0642043950224;1214.3771728991774;1302.748325277707;1316.550166568685;1236.6848912404469;1503.582776971456;1263.4694242864052;1580.4197627224478;1152.8266729108127;1712.7888068215937;1164.085810364499;1681.6666666666665;1042.6666666666665;1610.546915167095;1287.7741002570694;1503.2571375081905;1049.4105588317889;1445.703188405797;1149.9855072463768;2127.75761394665;1174.8672547784079;2008.9036815920397;1020.198407960199;1873.822992997883;1130.7225207620909;1938.6889276035615;1234.4400890437473;2102.414364640884;1054.7016574585634;2028.5154241645246;1126.9328406169666;2044.5829048843189;1275.7316838046272
8;0.27;637.817761942465;805.2187912377937;546.689991461058;682.670981079502;830.5990105629095;670.0754557204617;785.4706128133705;787.0137418755802;708.1521924718664;670.585487000388;737.3372446762278;541.0062291757207;642.511758118701;553.9762971257932;1159.7444505595304;693.1678591084204;1277.343170639425;725.2238460083238;1030.6720041566293;769.2946011052856;1109.5529000927593;562.5300376493698;990.5004516711833;663.7945541360175;1209.5;553.0;1161.02715225651;804.5677879714576;1493.1274118887206;772.6443466703331;1588.9770035644474;651.5936529837875;1419.6553740326742;700.4312410432789;1672.787610619469;781.8319788092227;1722.0;568.0;1567.6614758269718;481.2066157760814;1461.50860456416;563.9409839132061;1880.1644918940292;567.2092300739987;2009.2726106836176;771.7151778744284;1978.6521849593494;565.6092479674796;2099.9222196424425;572.0551040941103;1992.8237677245104;664.2231975392002;1870.7411418047882;742.0151749539594;2133.7089004104555;699.2111687189457;767.326050700467;1252.6037914165;859.8180714849201;1134.2998968384004;569.0457990954837;1136.3862029428626;650.0892489711933;1278.5662937242796;795.3663741180519;1028.080709000172;669.2778111846061;995.2530567247945;710.3170163170163;1134.3272144522143;1197.20470362371;1016.2791456683465;1083.3228701851567;1243.1858747499616;1164.7698924731183;1182.2051499717033;1074.2826022082959;1085.354998507908;1292.3170957095708;1120.1044224422442;1214.4109949868298;1302.6879089132465;1316.5997255709103;1236.647554640792;1503.4778551397349;1263.4728749637366;1580.4553756745536;1152.7763594852636;1712.7776782515227;1164.190791830885;1681.6666666666665;1042.6666666666665;1605.6568123393317;1299.6500642673523;1503.2324685091182;1049.4022372626432;1445.4606230311515;1150.0080504025202;2127.774635100216;1175.184719603324;2014.987020919224;1024.2626355168727;1873.8634587200781;1130.7293600390815;1938.711266240062;1234.465871630793;2102.4456721915285;1054.9060773480662;2026.4196658097687;1125.5356683804628;2045.2814910025709;1270.8415809768637
9;0.3;637.9029949642195;805.1802721088435;546.6820941843206;682.6164260333737;830.660179841632;670.0497472375072;785.5004913659975;787.1522298656932;708.9283243080625;672.3264891696751;739.0;541.5;642.5125950866691;553.9964459408903;1159.7385377942999;693.1734361375005;1278.1336911592325;724.4793016225553;1030.37830991301;769.1372717713411;1109.5293601141477;562.4244320052684;990.5436762493069;664.7454660647818;1221.8727506426735;559.521208226221;1160.8745519713261;804.6377171215881;1493.1061293723926;772.6692797872828;1588.959270797277;651.5043267566632;1419.6578176176522;700.3919439177154;1672.7645889792232;781.8301114122252;1722.0;568.0;1567.7341233667578;481.39785272966674;1460.811774237105;564.3733009271762;1880.2494769578739;567.155668645745;2009.436874648679;771.5676222596965;1978.585523809524;565.6032380952381;2099.8294874908916;571.4883815075702;1993.1904233274126;664.9533007696862;1870.807712158077;741.9492737594927;2133.848108167048;699.1697742885182;767.4202016787787;1252.441777928004;859.7911127299217;1134.2312875614641;569.3000369276218;1135.501292466765;650.0221581812359;1278.4712776176752;795.3889175701256;1027.8273963173292;669.2936675727373;995.1846370683579;703.3254203758654;1132.0435212660732;1197.304570242749;1016.1059311809274;1083.2874377534781;1243.1958519431182;1164.767527466304;1182.1986634952996;1074.281821441377;1085.3675152384367;1292.332342056569;1120.095030399154;1214.33460949464;1302.5902671431002;1316.6048947626039;1236.592755751346;1503.378814213982;1263.397933565083;1580.5180361757104;1152.7299741602067;1712.8376068376067;1164.234415157492;1683.5555555555554;1048.0;1611.944087403599;1296.1571336760926;1503.222972972973;1049.3928303303303;1445.3996012197981;1150.1376964578933;2127.486023671619;1177.2085956518088;2015.3325862841775;1024.505005229344;1873.8807376716222;1130.7240230725483;1938.7668022467556;1234.4368584156496;2102.219251336898;1054.8770053475937;2027.1182519280205;1124.138496143959;2044.5829048843189;1265.9514781491002
