Frame;Time;X_Arena0_3A_HSB_5;Y_Arena0_3A_HSB_5;X_Arena0_3A_HSB_6;Y_Arena0_3A_HSB_6;X_Arena0_3A_HSB_7;Y_Arena0_3A_HSB_7;X_Arena0_3A_HSB_2;Y_Arena0_3A_HSB_2;X_Arena0_3A_HSB_4;Y_Arena0_3A_HSB_4;X_Arena0_3A_HSB_1;Y_Arena0_3A_HSB_1;X_Arena0_3A_HSB_3;Y_Arena0_3A_HSB_3;X_Arena1_3A_HTA_7;Y_Arena1_3A_HTA_7;X_Arena1_3A_HTA_3;Y_Arena1_3A_HTA_3;X_Arena1_3A_HTA_1;Y_Arena1_3A_HTA_1;X_Arena1_3A_HTA_6;Y_Arena1_3A_HTA_6;X_Arena1_3A_HTA_4;Y_Arena1_3A_HTA_4;X_Arena1_3A_HTA_2;Y_Arena1_3A_HTA_2;X_Arena1_3A_HTA_5;Y_Arena1_3A_HTA_5;X_Arena2_3A_ControlA_1;Y_Arena2_3A_ControlA_1;X_Arena2_3A_ControlA_4;Y_Arena2_3A_ControlA_4;X_Arena2_3A_ControlA_3;Y_Arena2_3A_ControlA_3;X_Arena2_3A_ControlA_6;Y_Arena2_3A_ControlA_6;X_Arena2_3A_ControlA_2;Y_Arena2_3A_ControlA_2;X_Arena2_3A_ControlA_7;Y_Arena2_3A_ControlA_7;X_Arena2_3A_ControlA_5;Y_Arena2_3A_ControlA_5;X_Arena3_3A_CMB_1;Y_Arena3_3A_CMB_1;X_Arena3_3A_CMB_4;Y_Arena3_3A_CMB_4;X_Arena3_3A_CMB_5;Y_Arena3_3A_CMB_5;X_Arena3_3A_CMB_3;Y_Arena3_3A_CMB_3;X_Arena3_3A_CMB_2;Y_Arena3_3A_CMB_2;X_Arena3_3A_CMB_7;Y_Arena3_3A_CMB_7;X_Arena3_3A_CMB_6;Y_Arena3_3A_CMB_6;X_Arena4_3A_CMA_1;Y_Arena4_3A_CMA_1;X_Arena4_3A_CMA_2;Y_Arena4_3A_CMA_2;X_Arena4_3A_CMA_6;Y_Arena4_3A_CMA_6;X_Arena4_3A_CMA_3;Y_Arena4_3A_CMA_3;X_Arena4_3A_CMA_5;Y_Arena4_3A_CMA_5;X_Arena4_3A_CMA_4;Y_Arena4_3A_CMA_4;X_Arena4_3A_CMA_7;Y_Arena4_3A_CMA_7;X_Arena5_3A_ControlB_2;Y_Arena5_3A_ControlB_2;X_Arena5_3A_ControlB_6;Y_Arena5_3A_ControlB_6;X_Arena5_3A_ControlB_3;Y_Arena5_3A_ControlB_3;X_Arena5_3A_ControlB_4;Y_Arena5_3A_ControlB_4;X_Arena5_3A_ControlB_5;Y_Arena5_3A_ControlB_5;X_Arena5_3A_ControlB_7;Y_Arena5_3A_ControlB_7;X_Arena5_3A_ControlB_1;Y_Arena5_3A_ControlB_1;X_Arena6_3A_HTB_6;Y_Arena6_3A_HTB_6;X_Arena6_3A_HTB_7;Y_Arena6_3A_HTB_7;X_Arena6_3A_HTB_3;Y_Arena6_3A_HTB_3;X_Arena6_3A_HTB_4;Y_Arena6_3A_HTB_4;X_Arena6_3A_HTB_1;Y_Arena6_3A_HTB_1;X_Arena6_3A_HTB_2;Y_Arena6_3A_HTB_2;X_Arena6_3A_HTB_5;Y_Arena6_3A_HTB_5;X_Arena7_3A_HSA_6;Y_Arena7_3A_HSA_6;X_Arena7_3A_HSA_4;Y_Arena7_3A_HSA_4;X_Arena7_3A_HSA_5;Y_Arena7_3A_HSA_5;X_Arena7_3A_HSA_2;Y_Arena7_3A_HSA_2;X_Arena7_3A_HSA_1;Y_Arena7_3A_HSA_1;X_Arena7_3A_HSA_7;Y_Arena7_3A_HSA_7;X_Arena7_3A_HSA_3;Y_Arena7_3A_HSA_3
0;0.0;678.8277634961439;792.3753213367609;659.3885804916732;634.6189091549916;764.0914065966573;693.2577527979095;854.8010710757551;593.7950917693547;818.0072984923552;822.4952852804859;743.0417737789203;574.4244858611826;867.7457868020305;711.8226057529611;1146.9280205655527;675.6992287917737;1288.3379099923723;668.1203068056615;1069.9393307516632;603.4739350610664;1020.737908797789;724.0308613542146;1247.9891835502112;792.787294789436;1228.5772545992538;597.0942364595394;1103.2317783182252;832.5485297369003;1519.2525706940874;593.7734575835475;1622.168097769297;852.9276270955431;1696.04912907548;750.5124807701851;1443.099963074326;672.7674210054333;1655.6034182071853;631.0749912800837;1575.149382497193;744.9586361756188;1456.8998197448695;792.7887548530226;2024.8487788696768;568.434050669652;2008.8305697919807;829.0983820721534;1888.757712082262;714.0767994858612;2123.4594001463056;779.072055596196;2118.3155526992286;625.383997429306;2029.7409792085848;705.6291079812206;1932.1642822586216;633.8978505770958;709.7802211770688;1018.7904326087877;828.7178663239074;1043.2053341902313;648.5490481869175;1109.7536769577316;878.1120293847565;1164.896331738437;682.808952468851;1233.896246731272;786.4595409227916;1282.5986552283794;767.012853470437;1129.789203084833;1286.1447854870603;1154.7868197059581;1074.3446319534592;1052.788355209385;1226.295081967213;1273.158469945355;1117.4003856041131;1302.844794344473;1042.7358611825193;1198.0915809768637;1168.6625964010282;1154.6301413881747;1203.3959779746228;1048.7804644481685;1476.6503856041131;1093.1783419023136;1546.435089974293;1179.4476221079692;1639.3414135054304;1267.2619759693582;1544.237146529563;1298.1365681233933;1603.1890304847575;1079.5795227386307;1666.3757270259791;1136.9404808065142;1423.9113275613274;1232.92316017316;1894.1953727506427;1122.0318123393317;2029.187227933685;1310.5700657590069;1937.1213024752708;1259.2222064461166;2074.7352185089976;1093.5115681233933;1987.2772065846395;1057.375358166189;1988.504498714653;1174.4257712082263;2121.029205676264;1197.782723900371
1;0.02;681.5464015151515;794.6441648629147;658.9408573222132;634.9775356470271;764.254549090182;693.2927914417116;854.5898692810457;593.8281678262703;817.6944625054182;822.4741005635022;748.0741141791493;576.3957167779582;867.583713220058;712.4608371322006;1146.5146749172789;683.0204976150574;1288.4429716265972;668.545159194282;1065.3822446210506;600.1750339213025;1020.2287002487562;723.9728959369817;1248.003096179183;792.8756916996048;1228.2982525552256;596.963930102209;1102.7420316441182;832.3471680807154;1520.6054628224583;595.7400101163379;1622.2667227597813;853.6927967092039;1696.222105578884;750.5155468906217;1443.462796183124;672.3747185590222;1655.4923306475678;631.0512682781259;1575.135780256687;745.0464795489984;1456.9343563512361;793.0650042625746;2024.970604337755;568.4941671930933;2009.1441108545034;829.3432897100332;1892.1123391713427;715.8625517202289;2123.8397745571656;779.2479871175523;2118.470205020119;627.7417768410295;2029.6894563426688;705.8536518396485;1932.4356884057968;634.1613712374582;709.955945620375;1018.1923507141628;829.2057948179271;1043.0864845938374;648.5756285752295;1109.9005365615715;878.1980718667835;1164.9980037004577;682.7514111188432;1233.9140184025362;786.2720151910753;1282.930453358652;769.0938427879355;1131.703313017659;1286.0455632363808;1154.7730533455067;1074.149881866509;1052.5064973419965;1226.2203305455994;1273.190760653126;1117.7498105773602;1299.223367176845;1044.8486088865159;1198.3352316545054;1168.7744631527573;1157.1307345046364;1203.348721647832;1048.8772942213673;1478.3883765370554;1093.078431372549;1544.288699360341;1181.1644633972992;1639.3886497688507;1267.2585684680375;1544.878155589902;1299.1261591962905;1603.3335886144616;1079.9727487395494;1666.3941043083898;1137.0708778749595;1423.93481095176;1233.1559466898448;1890.519385930481;1125.935714597235;2029.8719051715896;1310.134881942453;1937.3127850592923;1259.2463872485475;2076.25339415662;1091.804550885196;1987.5299850934523;1057.4244352711844;1990.8363766559255;1174.3186537773004;2121.374093388479;1197.796799136846
2;0.03;682.0799086757991;794.9922286617492;658.8991686779298;634.9392598551891;764.0883305916952;693.3294451921639;854.6507164522538;593.883118920615;817.8028569894205;822.5321411309811;748.1096681096681;576.3829365079365;867.6156286640457;712.3245051382853;1146.691750777224;683.0774243004983;1288.3832448988394;668.4418273586126;1065.6622001020928;600.13252935171;1020.2243470149253;723.862821310116;1248.618793625708;792.9469906492822;1228.4486299130206;596.9253809430384;1102.6430175123485;832.5107768298159;1521.966993108451;596.624274573812;1622.2463828992811;853.7287874544945;1696.149301932727;750.5412132955731;1443.4191732346792;672.3236823762801;1655.7307008182142;630.929740305941;1575.1678020795985;745.0151189195649;1456.846240893981;792.9604639649197;2024.0687151562297;568.5470850079951;2009.0259700580507;829.1797535390568;1892.1225076039202;715.7574067815704;2123.7845105328374;779.2527261462205;2118.7100348211457;627.8408990186767;2029.5657354149548;705.7887565050671;1933.365163964764;634.1384262343622;710.0124887343891;1018.3308012531651;829.2342046499409;1043.1315294014623;648.5746774837079;1109.8895243161767;878.145150273224;1165.0086358313818;682.5714620431115;1233.6075445173383;786.5879975124377;1282.5994247512438;769.1063730084348;1131.6072321149638;1285.6927949326998;1154.9899269816133;1074.0061334144364;1052.1707725060828;1226.2404804625198;1273.167962519936;1117.8292948120534;1298.6012219115667;1043.456611439091;1197.99815908081;1168.7465055240186;1157.0996154550448;1203.9743967280162;1048.5014314928424;1478.3069517379345;1093.086271567892;1544.264193685403;1181.0987304733587;1639.716495397131;1267.0494005566259;1544.9688601645123;1298.9897506201853;1603.3594423320658;1079.842332065906;1666.3805912096461;1137.0755218462336;1423.8959239918768;1233.1221351900203;1890.5149377231946;1125.9562755857503;2029.69851104707;1310.1648895292985;1937.1441299037217;1259.1904009196724;2075.995496944355;1091.86710625067;1987.5067397761022;1057.5811628969614;1991.1388171646379;1174.9467601131194;2121.24302693663;1197.8043958669293
3;0.05;686.2191345772131;795.2913854704248;658.9209441906297;634.940562572785;764.2654969006198;693.3238352329533;854.6614893839557;593.832392009204;817.6331717824447;822.6252019386106;748.076017066282;576.380866534463;867.6011325184725;712.4648159657482;1146.6420245135853;683.1172109368302;1286.1199138972015;670.3836299679739;1065.1588456872885;600.7231054076485;1020.0927800829876;723.4986998616873;1248.5955926146517;793.2410826550195;1228.5141607935263;596.9296528321587;1102.8264494416399;832.605705981337;1521.034510869565;596.3254528985507;1622.0888670043144;853.9266554117426;1698.456824351643;751.6366314330272;1443.4619232010325;672.1305259761214;1655.854486950304;630.8468001430103;1575.1344462394543;745.0463112547119;1456.710372096307;793.0649579891266;2024.2037518412615;568.2676977731564;2009.4362260654725;829.4631974469836;1892.1290657439447;715.371049596309;2123.9291070211316;779.2674598748218;2119.3829662833755;627.9970116286623;2029.599573795284;705.8733072111088;1933.6139292364987;634.2585474860335;709.9999567436629;1018.0542001903278;829.1799234929429;1042.8507672690498;648.5859136212624;1109.9139313399778;878.2362078977933;1165.227303523035;682.4727116122464;1233.5906350324954;786.7096976835493;1282.5038084020414;769.1070257611241;1131.6625292740048;1285.6142529950669;1154.9814570119802;1074.7641519703895;1051.550620509471;1226.1288340518308;1273.1496457063574;1117.8668007425742;1298.426412953795;1043.400991987791;1198.1592903471958;1168.835893684467;1157.1355766886124;1203.4837800853256;1048.6531433631167;1478.3469880521209;1092.9733566462678;1544.3195193490394;1181.1815687387643;1639.8656221097872;1266.7983243566725;1545.0219034696647;1299.1524197195838;1603.259989883662;1079.8721547799696;1666.3258711310102;1137.080397118941;1423.9665871121717;1233.1659796051204;1890.4988247584226;1126.000783494385;2029.747242206235;1310.097601918465;1937.1193680794195;1259.3456471935854;2076.1492399565686;1091.8176438653636;1987.5473406694175;1057.444062356717;1990.9296436968712;1174.3153674564417;2121.3662343900096;1197.7913664745436
4;0.07;687.3927291346646;793.6071001877452;658.925100671141;634.9000894854586;764.1720510148378;693.403305046896;854.6588198367859;593.8811466834065;817.6111827956988;822.625376344086;748.0582716940285;576.3571471525647;867.67650498796;712.4488476092191;1146.7005171603196;683.1479676881652;1288.1922310220355;666.0657830935833;1064.7955587738354;605.0703998712688;1019.9227824929272;723.3109779774782;1248.073928430987;793.1353388386419;1228.314993122421;596.675116263837;1102.7799057607538;832.5674114607083;1521.330414639796;596.8992355802641;1622.0410444256597;853.9944115713346;1698.7635337682948;751.3911126785399;1443.4677889284558;671.9483651667206;1656.051061799093;630.6740038177046;1575.14473762939;745.0354813618142;1452.051413881748;792.7352185089974;2021.9735404493847;568.0340126359793;2009.5217480614183;829.4396857186874;1891.9373726477286;715.0985257101762;2123.9287881602577;779.26726113072;2119.7824191554423;628.0966881384604;2029.4436254436253;705.8492355992356;1933.8528148315622;634.2468912502826;709.7889048677387;1017.8563646664052;829.2215318173805;1042.7893090075797;648.5859136212624;1109.9139313399778;878.2603512869167;1165.0772636598062;682.4099130843317;1233.4544671521414;787.9570177552823;1282.485257491765;769.1208352885969;1131.590020334741;1285.307661612131;1155.0495699210783;1075.426226675881;1050.522748214697;1226.0419155714853;1273.1245021903624;1118.0239729589182;1298.019396775871;1043.1903944020355;1198.1568066157758;1168.8491773308958;1157.1126751980498;1203.8444012000323;1048.5025541230843;1477.9233604473818;1092.775927808846;1544.2818439716311;1181.1323877068558;1640.1246927740456;1266.757550931236;1545.622794754011;1298.661340789561;1603.2548427672955;1079.8106289308175;1666.3852527998963;1136.9957273256944;1423.958496023138;1233.1812002892264;1890.451095461659;1126.065292992523;2029.788283118125;1310.153419416547;1937.3148121628715;1259.2945247983196;2076.031910306166;1091.8915480810695;1987.5226124885214;1057.4602846648302;1990.9112609329445;1174.2290451895044;2121.3717786988645;1197.7762359584308
5;0.08;687.8493912122816;793.4457384859714;658.8141008358048;634.9704322818369;764.2449273205337;693.4267500124026;854.7347878407367;593.9544812431329;817.665209176788;822.6023751686909;748.0706102267245;576.436505065123;867.9074188034186;712.5070085470085;1146.717132837225;683.1037977931742;1289.0638412984672;662.7678990081154;1066.1720598469033;606.60708072373;1019.8256282794807;723.0005523336094;1248.0646167557932;793.2700534759358;1228.358075466771;596.732014623319;1102.5456485291875;832.5964791952447;1521.597702752976;595.7537202380952;1622.0674826486586;854.0931813918589;1698.9278589241183;751.4361714760716;1443.5729285057098;671.7855171294041;1656.1078078078076;630.5912312312312;1575.1049670855773;745.1915619389587;1456.5965837199494;793.1630816814283;2021.9952550415182;568.117153024911;2009.6966193999176;829.5240957665433;1891.758168693009;714.4349670719351;2123.991672834937;779.4036516160868;2119.720413233948;627.9178109062377;2029.3385853625264;705.9246981788418;1933.8698233746711;634.5528748590756;709.9119670478944;1017.623811401779;829.2117600317839;1042.6519224826734;648.5914793633905;1109.8960411402225;878.244894982497;1165.1884966938933;682.3769441187964;1233.4701836654942;787.8470062983337;1282.4893566132505;769.1032247989381;1131.6403529319903;1285.2060589883893;1155.0197962542816;1076.5682682121267;1048.8066928397832;1225.8753282790744;1273.1312620781923;1118.06018734151;1297.8923045075817;1043.0991919577527;1198.2384679009988;1168.8703229737964;1157.120536258379;1203.6219789132197;1048.45498783455;1477.8136732623034;1092.7425587688142;1544.3807084933846;1181.1811068430786;1640.1066447007138;1266.5632619439868;1545.835054959608;1298.5957489074294;1603.2309582309583;1079.9129969129967;1666.3777864178328;1137.1039398652151;1423.9730866884295;1233.220239390642;1890.4589964344725;1126.0749195582223;2029.8217712531184;1310.0406831702167;1937.2439269800202;1259.3491447462986;2076.120259963476;1091.9787839724997;1987.536478962172;1057.5191435623672;1991.0234673458249;1174.4273846340427;2121.3661388988844;1197.8399304306104
6;0.1;688.3780113885238;793.8956636005256;658.8321891685736;634.9905774666846;764.2099811676082;693.4468728317969;854.6603089533418;593.8721101303069;817.7033565001884;822.6304617208124;748.1295324283559;576.435233785822;868.0102082482646;712.606982441813;1146.7750942103457;683.165210688592;1289.3664984378754;661.7290314828166;1071.537111030391;616.9642813899987;1019.6839654025283;722.8182523841206;1248.0803906836966;792.9385800150263;1228.6995163240629;597.1037216176272;1102.4828476016999;832.7879477838494;1522.1702997930802;596.2053799143448;1622.1913303437966;853.9753363228699;1699.0029114676172;751.3682709447415;1443.5709656513286;671.7408187513502;1656.250705070507;630.4663666366637;1575.440316350929;745.596407332475;1456.5548337524447;793.1754680078234;2019.7545787545787;569.6630036630036;2009.924980526095;829.1484211157049;1892.290452885885;717.5324322224811;2124.0369547782097;779.3864519711271;2120.0785159056763;628.0230583317003;2029.875267038798;705.854248501137;1934.503017801207;633.882955153182;712.095032085947;1019.6133102602927;829.8383739382058;1041.5810697283673;648.6337865458099;1109.8892295387896;878.2183991835544;1165.190309568936;682.3586679413639;1233.0610261312938;781.0182618261825;1285.4154015401539;769.1258407633348;1131.5847020178321;1285.1856151587938;1155.0614269193131;1077.0976437443974;1048.1298501728775;1225.717986823203;1273.2029523951057;1118.162572553897;1297.6779643449418;1042.9750271444082;1198.2535607076707;1168.8965874466787;1157.0900670322972;1204.1753134988935;1048.1854766002787;1477.7187220447283;1092.8533759318423;1544.4496895587467;1181.199962083511;1640.5874064288857;1266.6278071334214;1545.9234449760766;1298.607721956406;1603.0831931202094;1079.839471552315;1666.229510369045;1136.9855562181142;1424.0184138031027;1233.2043642163258;1890.4838822094441;1126.1060289248996;2029.871167410393;1309.973321817571;1937.3315592635213;1259.3738971998464;2076.0869424168695;1091.8703433360367;1987.5507868383402;1057.7046638054362;1991.1534333455297;1174.4608488840101;2121.4130239251663;1197.7679438747975
7;0.12;687.8121657148037;793.7290363520985;658.7326790355829;635.0692390427535;764.2761223678982;693.4291319030591;854.7203808922559;593.9226641414141;817.7590801633354;822.6418977004083;748.2537023549405;576.5651250303472;868.1294478527608;712.5525562372188;1146.8438009438007;683.1874302874303;1291.694498131684;658.3619378946012;1072.1310655937575;615.9725676664228;1019.7333721909201;723.1441616475616;1248.357722101186;792.2445533769063;1228.7458772641253;597.0558934847255;1102.1834035870731;832.4371435655839;1521.9000517379238;595.9669347631814;1622.211170262445;854.0501541047912;1699.1179768649667;751.4444050991501;1443.5829968233454;671.7769342594088;1656.5417270531398;630.3033212560385;1575.4278176575249;745.9085219952144;1456.5323289391085;793.256050777708;2017.449382716049;568.162962962963;2009.270882123341;827.8494074231779;1891.1943194848725;710.2572991091117;2124.0846267553584;779.4162355259915;2120.1982387475537;627.9939986953685;2029.713535185953;705.8742568781971;1934.762014432673;633.7688469215415;712.2582497456025;1019.5662887047536;829.9140606235287;1040.8094345967238;648.6263516219464;1109.8624126729853;878.2182100562997;1165.2867404387498;682.2715517241379;1232.869971264368;763.6146971201589;1284.627275736511;769.185861423221;1131.6370942571784;1285.0237808414759;1155.0217730781242;1077.2677584974329;1047.719048547475;1225.504694139737;1273.2277398952465;1118.1861377956823;1297.5253073029646;1042.686992637342;1198.0663897803788;1168.9193528693527;1157.0650183150183;1204.202826267664;1047.9350789692435;1484.70207852194;1087.4478829869129;1544.4416441216954;1181.164507095733;1640.8655641804476;1266.3149398132523;1546.0420295592503;1298.6158617049352;1603.0532809871004;1079.8290646226708;1666.3696884797544;1137.0977253018477;1423.9967355821545;1233.263112078346;1890.4793244537302;1126.1738486985287;2029.9340057636887;1309.9664265129684;1937.386207558949;1259.3912500600297;2076.13482473329;1091.8959830176354;1987.6427385654588;1057.7478962733985;1991.3009950248754;1174.6446426404561;2121.4162923030844;1197.8263551961663
8;0.13;687.8899200824955;794.9291913723467;658.7589393330655;635.1530288826391;764.2590660705414;693.4565325384997;854.7110899571633;593.9280765772912;817.7037276101339;822.6352536173416;748.2347905282331;576.5785063752277;868.3759151051111;712.7997850762307;1146.8854073027694;683.1901887761654;1291.8336404963754;659.3278658311832;1072.042629524111;617.7098237838978;1019.4086145194274;722.280163599182;1247.898667601683;792.0081813931743;1229.3053659252732;597.8636130074138;1102.4167144221585;832.7450811843361;1522.0489417989415;595.9643801965229;1622.1459997197703;854.019943019943;1699.1559908240692;751.3705076171989;1443.5217624644447;671.8771534374497;1656.7134227377069;630.1541621360396;1575.4906691221606;746.3229588704727;1456.6927685950413;793.5290633608815;2019.9268292682927;570.0365853658536;2009.6743319268633;828.6151898734178;1889.607305936073;708.4019216133942;2124.1356224232354;779.3755461202387;2120.4177446752906;627.861492225271;2030.107305936073;705.8729763387298;1935.2377772660986;633.4574410929465;712.1597462514417;1019.6683967704728;863.2840616966581;1068.1246786632391;648.656380799715;1109.8574672722416;878.2249515503875;1165.3470445736434;682.2075530586766;1233.0919163545566;757.7575757575758;1285.58211143695;769.1801464858968;1131.6223313074645;1283.4345152301335;1155.1349091957336;1077.3030303030303;1047.6085966965793;1225.4253841607565;1273.3069838455476;1118.128668520235;1297.6191947276284;1042.4250015579235;1197.8131738019567;1168.9631395562076;1156.949691301424;1216.232323232323;1055.3531541833427;1481.5063119207414;1090.7762863534674;1544.3899862630853;1181.1697693145752;1641.139823108557;1266.3301785814883;1546.153947023341;1298.601035929714;1603.0201325651983;1079.8510190175307;1666.3804267844002;1137.3261087698174;1423.973043478261;1233.27;1890.4652732418897;1126.166731983453;2029.8694444444443;1310.0307950191568;1937.5359750240152;1259.3718059558116;2076.221007992171;1091.91871907791;1987.6245000571362;1057.825619929151;1991.2305222343389;1174.3713801042045;2121.435561145047;1197.7948856150438
9;0.15;687.5495247623812;796.271052192763;658.0;628.5;764.3143072289157;693.3599899598393;854.7133045839323;593.989937709631;817.7594146761351;822.6441790402409;748.2422473549799;576.608293810045;867.9676405183651;712.4794110881068;1146.8967650470422;683.0415861150491;1292.009352037408;658.2271209084836;1073.5126332869725;614.4656930922578;1020.7982493293802;725.711704080192;1248.3804856064446;791.1039378063208;1229.1518041999407;597.7476338361431;1110.253093975248;831.5752753977969;1522.054107092795;595.8976263900569;1622.1579807602502;854.0598673764827;1699.3891023402025;751.3367679590173;1443.4558052434456;671.9445692883895;1656.9557929637133;629.8848161110087;1575.634636665437;746.5277880240993;1456.561327262693;793.7164735099337;2019.7657657657655;570.1936936936936;2009.925083994567;828.7638859103581;1888.436522445663;706.6533617712776;2124.244674301194;779.4415712350694;2120.5654233274126;627.8108677060719;2030.1563127640416;705.9414779416857;1935.6602653092702;633.0390251426808;712.2708378436892;1019.6666666666666;861.8538435022406;1062.0972078593588;648.6684470556817;1109.8578804468775;878.1239793206745;1165.3544475044691;682.6294865189765;1232.7315816589387;756.5936147186146;1285.426948051948;769.2034611786717;1131.6559089491736;1283.2313093162888;1155.216976564013;1077.4296555750145;1047.3599273529219;1225.3796078431371;1273.3532352941177;1118.122438471836;1297.6152816393778;1042.2860756369917;1197.9038805601824;1168.981695745332;1156.8885215794307;1225.813525410164;1061.1780712284913;1483.0720764496273;1089.0583900226757;1544.4919842062698;1181.1580800152228;1641.1006075058194;1266.0956679725202;1546.5051073183345;1298.540535298681;1600.2523483812129;1084.04049247606;1666.5040683208929;1137.3460426333131;1423.9909321726514;1233.2708015959377;1890.4795206971676;1126.2052287581698;2029.8144028103045;1310.5941647150662;1937.8647679938001;1259.3465077981207;2076.4796774545057;1091.8980603683121;1987.5199583477959;1057.8335068841836;1991.3268976302177;1174.5439071334054;2121.4916621515863;1197.8528685810606
