Frame;Time;X_Arena0_4A_HT2_6;Y_Arena0_4A_HT2_6;X_Arena0_4A_HT2_2;Y_Arena0_4A_HT2_2;X_Arena0_4A_HT2_7;Y_Arena0_4A_HT2_7;X_Arena0_4A_HT2_5;Y_Arena0_4A_HT2_5;X_Arena0_4A_HT2_4;Y_Arena0_4A_HT2_4;X_Arena0_4A_HT2_1;Y_Arena0_4A_HT2_1;X_Arena0_4A_HT2_3;Y_Arena0_4A_HT2_3;X_Arena1_4A_HS2_7;Y_Arena1_4A_HS2_7;X_Arena1_4A_HS2_6;Y_Arena1_4A_HS2_6;X_Arena1_4A_HS2_3;Y_Arena1_4A_HS2_3;X_Arena1_4A_HS2_1;Y_Arena1_4A_HS2_1;X_Arena1_4A_HS2_4;Y_Arena1_4A_HS2_4;X_Arena1_4A_HS2_2;Y_Arena1_4A_HS2_2;X_Arena1_4A_HS2_5;Y_Arena1_4A_HS2_5;X_Arena2_4A_CM1_1;Y_Arena2_4A_CM1_1;X_Arena2_4A_CM1_2;Y_Arena2_4A_CM1_2;X_Arena2_4A_CM1_4;Y_Arena2_4A_CM1_4;X_Arena2_4A_CM1_7;Y_Arena2_4A_CM1_7;X_Arena2_4A_CM1_6;Y_Arena2_4A_CM1_6;X_Arena2_4A_CM1_3;Y_Arena2_4A_CM1_3;X_Arena2_4A_CM1_5;Y_Arena2_4A_CM1_5;X_Arena3_4A_Control1_5;Y_Arena3_4A_Control1_5;X_Arena3_4A_Control1_2;Y_Arena3_4A_Control1_2;X_Arena3_4A_Control1_1;Y_Arena3_4A_Control1_1;X_Arena3_4A_Control1_7;Y_Arena3_4A_Control1_7;X_Arena3_4A_Control1_4;Y_Arena3_4A_Control1_4;X_Arena3_4A_Control1_6;Y_Arena3_4A_Control1_6;X_Arena3_4A_Control1_3;Y_Arena3_4A_Control1_3;X_Arena4_4A_Control2_4;Y_Arena4_4A_Control2_4;X_Arena4_4A_Control2_5;Y_Arena4_4A_Control2_5;X_Arena4_4A_Control2_3;Y_Arena4_4A_Control2_3;X_Arena4_4A_Control2_6;Y_Arena4_4A_Control2_6;X_Arena4_4A_Control2_7;Y_Arena4_4A_Control2_7;X_Arena4_4A_Control2_2;Y_Arena4_4A_Control2_2;X_Arena4_4A_Control2_1;Y_Arena4_4A_Control2_1;X_Arena5_4A_HT1_2;Y_Arena5_4A_HT1_2;X_Arena5_4A_HT1_1;Y_Arena5_4A_HT1_1;X_Arena5_4A_HT1_3;Y_Arena5_4A_HT1_3;X_Arena5_4A_HT1_5;Y_Arena5_4A_HT1_5;X_Arena5_4A_HT1_7;Y_Arena5_4A_HT1_7;X_Arena5_4A_HT1_4;Y_Arena5_4A_HT1_4;X_Arena5_4A_HT1_6;Y_Arena5_4A_HT1_6;X_Arena6_4A_HS1_6;Y_Arena6_4A_HS1_6;X_Arena6_4A_HS1_3;Y_Arena6_4A_HS1_3;X_Arena6_4A_HS1_2;Y_Arena6_4A_HS1_2;X_Arena6_4A_HS1_7;Y_Arena6_4A_HS1_7;X_Arena6_4A_HS1_4;Y_Arena6_4A_HS1_4;X_Arena6_4A_HS1_5;Y_Arena6_4A_HS1_5;X_Arena6_4A_HS1_1;Y_Arena6_4A_HS1_1;X_Arena7_4A_CM2_1;Y_Arena7_4A_CM2_1;X_Arena7_4A_CM2_4;Y_Arena7_4A_CM2_4;X_Arena7_4A_CM2_3;Y_Arena7_4A_CM2_3;X_Arena7_4A_CM2_7;Y_Arena7_4A_CM2_7;X_Arena7_4A_CM2_5;Y_Arena7_4A_CM2_5;X_Arena7_4A_CM2_2;Y_Arena7_4A_CM2_2;X_Arena7_4A_CM2_6;Y_Arena7_4A_CM2_6
0;0.0;551.2306370443108;575.1553537089317;758.3753213367609;500.97686375321337;689.5064267352186;609.3830334190231;607.7644072099517;717.5614623000762;748.0343937608708;732.9854682152275;632.5269490228806;483.7013005076848;852.5249913822819;624.1086694243363;1065.7333660023955;612.7338832625503;975.4397931434175;548.4846417903793;1206.039837398374;700.9819105691056;1110.4398354242546;462.47598812896257;1101.0233434826735;738.2774394664347;1244.273469387755;551.5661224489796;1022.6838046272493;654.7249357326479;1495.1949351451512;501.33642165946054;1618.7088789820748;563.7255502925606;1549.573264781491;730.7352185089974;1500.6846519294163;604.9540430482839;1377.2590775823182;555.1463689670726;1608.684726048362;665.0595653504744;1421.210814785108;666.2570683777823;1821.577403052805;702.9710189768975;2007.6351860453115;499.40981576095373;1884.3437390389338;439.3557231380802;1906.9591690544412;571.5334288443171;1909.402370990237;729.0893875998479;1776.1279251170047;599.6458658346334;2037.0848329048845;609.3830334190231;687.1407806191118;1144.7388066397486;603.0406734455743;1060.2257042840474;803.3309515510631;1181.8900313698152;649.6174719887955;967.5866013071894;728.9057984496123;1056.3800930232558;864.4682152384669;1037.5293122519356;739.1105398457584;911.1413881748073;1215.099397048236;960.3924586033116;1082.1885655946912;927.8275140377743;1242.1088732760863;1081.784126984127;1020.677099818299;1123.5257605064182;1114.3875676355858;1041.2520447967786;1147.7758154335718;1165.8407319013522;1017.3005847953216;1022.1429239766081;1429.8553285194857;970.5101654119935;1594.7849697727745;1092.658745048989;1634.3755399883244;993.9444249854056;1508.0338063702302;1031.6650898770104;1495.3319794784095;1161.0961236995865;1391.8993253762326;1063.2053277979587;1562.075974208018;924.8996355480796;1932.8130530316525;934.2849931706157;1861.8604064117126;1149.0830493499936;1968.5182569974554;1118.8588422391856;1877.2493573264783;1039.2853470437017;1762.056555269923;1077.9640102827764;2008.939940682155;1026.0268578019443;1809.0980194696206;970.3126888217523
1;0.03;550.7915414434426;574.9365390478679;754.2659001733734;504.1144721233689;694.6492611325993;611.2749181791133;607.2953849348492;717.6922597726211;748.0205937875407;733.1411246496195;631.957671957672;484.0554085831863;852.2656991848069;624.3189106870913;1091.5;595.5;975.1223990772779;548.6277277970011;1206.0594791666665;700.9515625;1109.771650150797;462.1967542725836;1100.965257585924;738.1697606799373;1243.9704083084364;551.4296485986627;1024.4781491002573;653.7994858611826;1491.0;498.0;1619.67601010101;561.7545454545455;1555.6221147921701;735.3583108204181;1500.785661818716;604.89819303658;1377.4264800233304;554.7647127442402;1608.8712790624802;664.8239017359152;1421.0562091503268;666.2882008943927;1821.1960103163321;703.1267435128163;2006.197710718002;497.91022083477856;1884.7593810916178;439.1121466861598;1907.0554437328453;571.401341872522;1909.307360144367;729.620778551173;1781.017680407418;596.6191025271452;2032.0602248904133;582.704211930627;687.1165933663184;1144.907687374015;602.5848438647015;1060.6664407928172;803.1014203686914;1182.2105167724387;649.356823466285;967.8525010433434;728.90690290214;1056.1296119895853;864.4372681505034;1037.6493773184948;740.2464274619447;908.6900434917676;1215.0096944635882;960.6260969446358;1081.701543556054;927.9312610158628;1241.9808036183863;1081.7729041758703;1020.7977528089888;1123.6441353070566;1114.1825757575757;1041.2189393939393;1147.9615012106538;1165.9202582728005;1017.3233939393938;1022.0630303030302;1429.785787953795;970.4754022277227;1595.1020202020202;1093.0333864965444;1634.351920913988;993.9127449239329;1507.9823640018153;1031.6544122414575;1495.4138972809667;1161.1006330024456;1391.9372197309417;1063.180075617691;1562.1431539187913;924.8592067988668;1933.2627777777777;933.9938271604938;1862.2239472152144;1148.9653923280935;1968.625039964192;1118.914316772172;1872.8952533089914;1034.7061463563061;1764.9415414517455;1081.2144726022277;2009.0662690523525;1025.9551855533466;1809.2310557954447;970.4421302175938
2;0.07;550.780357757138;575.1206570347437;752.5688667872212;505.1082981715893;694.668057832762;611.1616236895712;607.1931415468;717.5210548259328;747.8309585121601;733.2232331902718;631.729811376363;484.239684644857;852.054019527329;624.2710101286614;1091.2222222222222;595.6581196581196;974.8623530500786;548.6011755993705;1205.8927364425726;700.9940206935994;1109.5651799181212;462.2516698987287;1100.7071179395828;738.2968900764491;1243.9697096594082;551.4392797319933;1024.4781491002573;648.2879177377893;1495.0625424551188;507.23275109170305;1620.2773483251347;559.5847388147107;1555.4372004744957;735.3889916963226;1500.6443592767293;604.8661556603773;1377.1576277116865;554.9156752974108;1608.5589569160998;665.02059712774;1420.8226539892516;666.3090119884249;1818.9218879056045;703.474395280236;2006.5257647636186;498.01325044986095;1884.6388390185516;439.20837821663673;1906.855109645104;571.4355262354162;1909.3800544323483;729.3753240020736;1781.2390710382513;596.4292544886807;2031.6774014436423;582.917268184342;687.0406112334801;1144.9646659324521;601.9991139464823;1060.472266524898;803.0099116958011;1182.2519372859974;649.255621160613;967.9671974712231;728.9369524905684;1055.857088049108;864.1669341894061;1037.5607276618512;740.55653907496;908.0112440191388;1214.835827790096;960.6897172949002;1081.6100772662967;927.8262052454021;1241.8856451528063;1081.7983272842039;1020.7354185284479;1123.7004468275245;1113.9313193906532;1040.8777433514072;1147.745298313878;1165.9403372243837;1017.0886107020127;1022.5665193912616;1429.6723977695167;970.5181226765799;1596.5656207528216;1094.3902972286237;1634.2287884181794;993.880681143942;1507.9155047766587;1031.6746707978311;1495.269200316706;1161.1310732023321;1391.807169778245;1063.198702778508;1561.8956620357244;924.8867781873168;1933.1283037294756;934.1865348226819;1862.4675575056506;1148.6766387448477;1968.5160692607499;1118.815219474794;1872.996251171509;1034.8532750182235;1764.8042731211713;1081.305767219483;2009.0271231290828;1025.9727114859836;1808.9021109976165;970.58316309159
3;0.1;550.8625586242835;574.8359388570435;752.4681857049443;504.92807202856994;694.7504753327328;611.0529370559391;607.0088607594937;717.407911392405;747.698950627903;733.158610012042;631.6850947306098;484.1489046773238;851.9729704966098;624.0686274509803;1091.047619047619;595.5952380952381;974.5825910740373;548.811772468071;1205.8378830666247;700.871509256354;1109.331950207469;462.0626774404892;1100.747832585949;738.0765321375186;1244.0671725688587;551.2886453063518;1017.5886889460155;657.9331619537276;1502.6494418570267;514.3972055888223;1620.3441049057485;559.269406392694;1555.3728107952913;735.270982869174;1500.6317915373625;604.7731146248954;1377.3277680140598;554.6836555360281;1608.5657853021366;664.9475619808509;1420.8799253421817;666.262615788746;1819.5273673606448;702.8931049921647;2003.8287734399016;503.08586945383746;1884.4143203430915;439.07719559947793;1906.8207733037802;571.3233591922177;1909.6349701221095;729.6794621979735;1781.1514711575685;596.369918699187;2032.0306818181818;582.5626893939393;686.9771544378425;1144.8938326194095;601.9267147802617;1060.5468520800327;802.9291400790033;1182.3583105439075;649.1294033069734;967.9300862688713;728.8239577292351;1055.6654423609768;864.0726666666666;1037.6593333333333;740.8158245789562;907.5737868934467;1214.8211663665327;960.5981437872282;1081.5180999181;927.6618618618618;1241.893255162943;1081.7176358738711;1020.6775;1123.6743452380952;1113.2375046142488;1038.9527500922848;1147.7307036766497;1165.9442415388362;1017.1033707865168;1022.2799001248438;1429.598004239698;970.4967168191923;1596.9714374225525;1094.8938661710038;1634.3355920114122;993.8152044698049;1507.8257590533774;1031.5777907808335;1495.172807397775;1161.0314983383903;1391.7481325248264;1063.1947447051587;1561.9320811990133;924.8346613545817;1933.2573045457339;934.0648951221011;1862.481093424676;1148.5109140976558;1968.4577460256162;1118.7793010233636;1880.579970760234;1035.8144736842105;1764.850729517396;1081.2226711560045;2009.099132589839;1025.9011152416356;1808.9196193389412;970.6913926416858
4;0.13;550.7817638266068;574.6114042029367;751.5260871787009;504.78782768664723;695.1679304418158;610.9075422100899;607.1021462848705;717.0671834625322;747.7951717414988;733.1273582200814;631.7665042091271;484.0514695022891;852.0567202105453;624.0056266448861;1091.2592592592591;595.4074074074074;974.5438916994566;548.701939291737;1205.85859375;700.9153125;1109.287409024745;462.0053129548762;1100.831765232975;738.0522700119474;1244.2686988427886;551.2262207169066;1020.3444730077122;659.3110539845759;1504.212772443225;515.5161560737693;1620.3155609586663;559.4250897302304;1555.4797342510276;735.3295096071122;1500.8268084896833;604.8923031466982;1376.4380201489269;553.9880483073649;1608.6688825577714;664.9792339347895;1421.0406520841932;666.2985279955977;1819.020053631806;703.5866270257666;2004.5737435897433;503.8785641025641;1884.570576170054;439.11181552613584;1907.0617645265531;571.4071093226022;1909.988466208013;729.4221637663563;1781.7548152515722;596.2685731132076;2032.0671641791046;582.6590126291619;687.0969019012106;1144.761773235741;601.690304838804;1060.3784447955063;802.8078988941547;1183.189447077409;649.2356547619047;967.7383928571429;728.9221661490683;1055.501488095238;863.8374991668333;1037.3046723988534;741.3307305690181;906.4832166576916;1214.861184301761;960.5569269172098;1081.6495182100277;927.6462518373346;1242.2284434490482;1081.7118327734229;1020.7070022012017;1123.6221666964127;1113.9521016617791;1040.248745519713;1147.6188617886178;1165.9328455284551;1017.132033008252;1022.3993498374593;1429.6298943443132;970.5769111249223;1596.7865245574667;1094.9769384193467;1634.4529166666664;993.846726190476;1507.877299018652;1031.5956976668615;1495.1916305916304;1161.0727994227993;1391.8178304787;1063.224945103206;1561.916571645762;924.8648802736602;1933.0495012929441;934.2276197512621;1865.0939773958817;1148.3658461062082;1968.480531996916;1118.8441917244922;1880.5044130626654;1035.724919093851;1764.8750562809546;1081.3067687227974;2009.1754212905876;1026.0004932182492;1809.0009392076502;970.6826331967213
5;0.17;551.8300290774517;574.4476165300907;751.7765691231294;504.7651294622338;695.4525917870643;610.4434260266169;607.2064022933588;717.0796836014226;748.1841045119705;733.1544659300183;632.246188850967;484.05255972696244;852.228863906407;624.4978521158943;1091.9615384615386;595.4230769230769;974.8471167168315;548.3597056996799;1206.4415070444832;700.8531475911561;1109.9411501454465;461.9125829790408;1101.1879367973258;738.1308872683074;1255.4550827423168;557.5673758865248;1016.2107969151672;660.6889460154242;1505.2407994150622;515.8211065074336;1620.731626030521;559.1217914985674;1555.892297998158;735.3930977654985;1501.279542116193;605.1987539887555;1378.812937062937;553.6680911680911;1609.1246410858782;665.0471808927173;1421.468669047119;666.5266400616116;1819.8214836388556;703.4605105362343;2002.9268585131892;503.4838129496403;1884.9772063492062;439.0895238095238;1907.1272030651342;571.4795019157089;1910.6086926478715;729.8144002211166;1782.3241016478062;596.2680166765932;2033.1376578891027;581.9978591308071;688.2962962962963;1143.2386380908952;601.7921058795971;1060.4864136800186;803.2158282768969;1183.4700854700855;649.7756930663298;967.653977990258;729.3189971196648;1055.2548442000523;863.9695411392405;1037.5305907172994;742.07152194211;906.1438842203547;1215.10146582905;960.6189320388349;1081.9289211242067;926.2890903596252;1242.9443526170799;1081.7992286501376;1021.115262559128;1123.589186276271;1118.46701208981;1039.29896373057;1147.915748224345;1165.8942770838435;1017.2684431285467;1022.2033061929434;1430.1925527992837;970.6428082372149;1596.6860465116279;1094.765596160945;1634.8232359658612;993.8564731337901;1508.3131293188549;1031.7110233629483;1495.6059812268063;1161.1553518154697;1392.168794326241;1063.243439716312;1562.4154113557358;924.8971610660486;1933.4480145308778;934.3129149442565;1863.1906875176103;1148.4318117779655;1968.875568551007;1119.0098765432097;1881.6989247311826;1036.0372661658564;1764.7670193192273;1081.4439589083102;2009.3716446438957;1025.975567190227;1809.57185894028;970.7792840687578
6;0.2;551.1297251995942;574.4252569361739;751.0783792240301;504.95030246141005;695.1563453325198;610.5939088875331;607.2223828647925;716.7737617135207;747.7520178602095;733.2128341633751;631.6866249627643;484.1010574918081;851.973913842197;624.2546155965831;1091.1418439716313;595.3900709219857;974.4716520740634;549.0211951581264;1200.8483290488432;693.7583547557841;1109.6726057906458;461.96985894580547;1100.8582959641255;738.2174887892377;1254.3278370514065;556.2162948593599;1017.5886889460155;652.4215938303342;1515.775030401297;514.6178894743953;1620.435259310825;559.1521058127393;1555.457269273313;735.3137594382724;1501.7815015607032;607.1768796889546;1377.7105053720652;553.4180262634302;1608.644933078394;664.9653919694073;1421.1567328918322;666.4138383002207;1819.1257526234303;703.3625781294799;2004.6742789750188;504.1876273185376;1884.2824074074074;438.6532278806584;1907.198747467305;571.2966169337508;1910.2580214795541;729.8653858982055;1782.0336790123456;596.1247407407408;2032.475257323832;582.1652810768012;688.0830854650009;1143.4416517945667;601.5134741866015;1060.6490309062335;802.4772384882426;1184.032750376629;649.1621313149516;967.8932540397668;729.0606770833333;1055.3475911458331;863.5494110600919;1037.4262327809943;742.0956798800487;906.125855121357;1214.8459889059804;960.5717149116673;1081.8474890764348;926.151732806608;1242.760532634796;1081.8009168303863;1020.7620753477819;1123.6243357812405;1116.3959678332767;1036.9685128553629;1147.482886904762;1165.8166335978835;1017.0570707070707;1022.405303030303;1429.6207040635118;970.7135171837458;1596.5958465460421;1094.7919542373934;1634.464541547278;993.799606017192;1507.8731621250736;1031.6119061621903;1495.2404430929626;1161.1112800463366;1391.7847428622895;1063.1912996487436;1561.9793527321617;924.8217612599634;1933.3405405405406;934.4175831003416;1863.9221722846441;1148.2649438202247;1968.4468181523919;1118.786042597268;1881.6072564324948;1036.0841283607979;1764.7400438298193;1081.339378825663;2009.3079701223014;1025.9248132643847;1809.06776462515;970.7541602333162
7;0.23;552.8247677729543;574.8621574942819;751.1077036568659;505.0510591210876;695.1968628653177;610.644032291028;607.3308744921958;716.6507376523413;747.9147286821706;733.3265575653171;631.7451245124512;484.14903990399034;852.0510269871971;624.603297411808;1091.2721088435374;595.374149659864;974.7062374245473;548.8735268755389;1206.0285473062106;700.9464408210647;1109.725042488731;462.03000073893446;1100.893935969868;738.3971374764594;1254.9742351046698;557.2962962962963;1024.4781491002573;659.3110539845759;1516.0067258541835;514.2316384180791;1620.296191819464;559.1682534085566;1555.59022738268;735.3759071117562;1501.8521033454786;607.4567737661478;1377.9344394981788;553.4021313907999;1608.7142120860713;665.0994072928746;1421.337427996391;666.548268443334;1819.4816333504186;703.4498547753288;2005.947516172342;505.9826681313316;1884.21645021645;438.62990243587257;1906.965651982101;571.3354761454591;1910.6280115428492;730.113415207033;1782.1097744360902;596.0045112781955;2032.7025547445255;581.9963503649635;688.4789237215407;1143.2131859255892;601.5475187265918;1060.7716526217228;802.5001331735251;1184.358170195765;649.45;967.847463768116;729.285657998424;1055.1935907538743;863.3536190861302;1037.412724086804;743.0714711137582;905.5739527496524;1214.7174764321971;961.0058496495044;1081.8036851542693;925.7066716131824;1243.0197372038044;1081.8940018692615;1020.8967525061527;1123.6921784020649;1119.5485725421415;1038.3812725323978;1147.677489177489;1165.758991008991;1017.062468386444;1022.5136570561457;1429.6807740122154;971.0822658234689;1596.8181874960962;1095.015801636375;1634.638619201726;993.8309960445882;1507.9939060349911;1031.6676495642487;1495.4036197121675;1161.21878179968;1391.953266571292;1063.7203624225083;1562.0540279787745;924.8765074770863;1933.5488348721813;934.5982664405502;1862.9799655320983;1148.3476231509405;1968.5531471717761;1118.7974353967322;1882.1702186934112;1036.3643961554535;1764.8084509179182;1081.4826278258229;2009.3950708261686;1025.936543027921;1809.2114621094422;970.8083894355257
8;0.27;601.46529562982;584.9048843187661;750.8513744370243;504.79479215199046;695.473976652903;610.6137024009787;607.3006115223689;716.249651324965;747.947494441594;733.5073256940881;631.8809470292949;484.306211133588;852.207818364918;624.7185754829259;1091.4423076923076;595.4230769230769;975.0282837718614;549.0591104883491;1207.737789203085;697.8920308483291;1109.9047830593809;462.1880645638975;1101.0642250530784;738.5211555959963;1254.1486033519552;556.3214152700186;1017.5886889460155;653.7994858611826;1518.8799019607843;514.2581699346405;1620.451652601969;558.8907055789966;1554.9118905472635;735.6213930348258;1502.1471619176841;608.2183401175938;1378.2864814069;553.1379379782521;1608.9069301814893;665.116579474262;1421.5411011345443;666.6985452773716;1819.5183673469387;703.5179138321995;2009.1676350333548;517.7411233053583;1883.8040752351096;438.267829153605;1906.6523753589138;571.195967110415;1910.60792864222;730.5491906177733;1781.9251515151516;595.749898989899;2033.0929267786764;581.7023439120514;688.8320707070706;1143.2815151515151;601.4561219739292;1060.8771531657355;802.8596848682423;1184.6804536810648;649.6306256860593;968.0145139651177;729.331311550251;1055.3620948281484;863.3304649456339;1037.345940897872;743.2058649289099;905.6810821484992;1214.8663169144077;961.1334887787817;1082.3347983948022;925.6743741639594;1243.4329770652414;1082.147906924961;1021.0814881488147;1123.709090909091;1102.519137091162;1027.973556019485;1147.9866158407453;1165.6244811520542;1017.1329827197595;1022.4377660906586;1429.3539935748308;971.5476348731582;1596.6818266196399;1095.2828414083285;1634.8378053904794;993.8456690077436;1508.322173798204;1031.8113444268356;1495.432765151515;1161.2699592074591;1392.1934180707458;1064.2426840082767;1562.217454757735;925.0242265032108;1933.2608289768484;934.8023400547672;1863.0057655349135;1148.500106769165;1968.7362035225049;1118.9309197651664;1882.7915632754343;1036.5387372484147;1765.0099388379203;1081.4936544342506;2009.5126374528147;1025.940177252585;1809.3531569295258;970.9706575844905
9;0.3;594.8836114676936;569.3508771929825;750.7458483002758;504.85334999219117;695.3917383292384;610.5092649467649;607.1789874912761;716.2480270574972;747.8164762067202;733.5214622775597;631.7432795698925;484.1972819593787;852.153713298791;624.7624761385329;1091.2721088435374;595.374149659864;974.4845885960808;549.561255782525;1213.2493573264783;695.1362467866325;1109.7914438502673;462.13851752822336;1100.9698401980643;738.4532222972466;1254.3614744351962;556.6012683313515;1025.8560411311055;652.4215938303342;1517.8052191464822;514.6322087658592;1624.7684543072892;557.5309754969949;1555.5770426503448;735.409890216652;1502.3236075770426;607.8549618320611;1377.8265865063458;553.4271209084835;1608.729911572472;665.0936178392926;1421.4344256592221;666.623738954985;1819.4622673434856;703.5138183869149;2012.2471976401177;520.9663716814159;1884.764105724459;438.86003834565867;1906.6268559942941;571.0717110808532;1910.7708650431252;731.1065449010655;1781.870120580421;595.5214592274679;2032.707282913165;581.937575030012;688.8672316384179;1143.193553268765;601.2557196640602;1060.844309296264;802.4250591016548;1184.7781155015198;649.4111171268725;967.987727846959;729.2060013046314;1055.2745596868886;863.0966726919729;1037.3987413804646;743.2071342925659;905.4596322941645;1214.839338682227;960.9794310722101;1082.4589867699256;925.5313326879638;1243.366611295681;1082.0689368770763;1020.9771188978735;1123.657262653489;1077.0289203084833;1030.4681876606683;1147.9014841351075;1165.4215284885704;1017.0963187090267;1022.5748865355522;1429.263335546702;971.5535081894643;1596.9938160422669;1095.3849663784822;1634.6479427549195;993.7653548002385;1508.4303571428572;1031.7276455026454;1495.063657151287;1161.4310688205355;1392.014675052411;1064.0255384028967;1562.0705054012344;924.9317129629629;1933.2685340802989;934.8665421724245;1862.433734939759;1148.6940866915938;1968.7076983196562;1119.0529503712387;1883.3262017960908;1036.8651611199155;1764.922680021246;1081.528719933227;2009.5610705596107;1025.9511759935117;1809.1019135486074;970.9962412438065
