Frame;Time;X_Arena0_5A_CMA_5;Y_Arena0_5A_CMA_5;X_Arena0_5A_CMA_2;Y_Arena0_5A_CMA_2;X_Arena0_5A_CMA_4;Y_Arena0_5A_CMA_4;X_Arena0_5A_CMA_3;Y_Arena0_5A_CMA_3;X_Arena0_5A_CMA_1;Y_Arena0_5A_CMA_1;X_Arena0_5A_CMA_6;Y_Arena0_5A_CMA_6;X_Arena0_5A_CMA_7;Y_Arena0_5A_CMA_7;X_Arena1_5A_HSA_6;Y_Arena1_5A_HSA_6;X_Arena1_5A_HSA_1;Y_Arena1_5A_HSA_1;X_Arena1_5A_HSA_7;Y_Arena1_5A_HSA_7;X_Arena1_5A_HSA_2;Y_Arena1_5A_HSA_2;X_Arena1_5A_HSA_3;Y_Arena1_5A_HSA_3;X_Arena1_5A_HSA_5;Y_Arena1_5A_HSA_5;X_Arena1_5A_HSA_4;Y_Arena1_5A_HSA_4;X_Arena2_5A_HTB_4;Y_Arena2_5A_HTB_4;X_Arena2_5A_HTB_2;Y_Arena2_5A_HTB_2;X_Arena2_5A_HTB_6;Y_Arena2_5A_HTB_6;X_Arena2_5A_HTB_5;Y_Arena2_5A_HTB_5;X_Arena2_5A_HTB_7;Y_Arena2_5A_HTB_7;X_Arena2_5A_HTB_3;Y_Arena2_5A_HTB_3;X_Arena2_5A_HTB_1;Y_Arena2_5A_HTB_1;X_Arena3_5A_ControlB_2;Y_Arena3_5A_ControlB_2;X_Arena3_5A_ControlB_6;Y_Arena3_5A_ControlB_6;X_Arena3_5A_ControlB_5;Y_Arena3_5A_ControlB_5;X_Arena3_5A_ControlB_4;Y_Arena3_5A_ControlB_4;X_Arena3_5A_ControlB_1;Y_Arena3_5A_ControlB_1;X_Arena3_5A_ControlB_7;Y_Arena3_5A_ControlB_7;X_Arena3_5A_ControlB_3;Y_Arena3_5A_ControlB_3;X_Arena4_5A_CMB_6;Y_Arena4_5A_CMB_6;X_Arena4_5A_CMB_2;Y_Arena4_5A_CMB_2;X_Arena4_5A_CMB_5;Y_Arena4_5A_CMB_5;X_Arena4_5A_CMB_3;Y_Arena4_5A_CMB_3;X_Arena4_5A_CMB_1;Y_Arena4_5A_CMB_1;X_Arena4_5A_CMB_4;Y_Arena4_5A_CMB_4;X_Arena4_5A_CMB_7;Y_Arena4_5A_CMB_7;X_Arena5_5A_ControlA_5;Y_Arena5_5A_ControlA_5;X_Arena5_5A_ControlA_6;Y_Arena5_5A_ControlA_6;X_Arena5_5A_ControlA_1;Y_Arena5_5A_ControlA_1;X_Arena5_5A_ControlA_2;Y_Arena5_5A_ControlA_2;X_Arena5_5A_ControlA_7;Y_Arena5_5A_ControlA_7;X_Arena5_5A_ControlA_3;Y_Arena5_5A_ControlA_3;X_Arena5_5A_ControlA_4;Y_Arena5_5A_ControlA_4;X_Arena6_5A_HTA_3;Y_Arena6_5A_HTA_3;X_Arena6_5A_HTA_2;Y_Arena6_5A_HTA_2;X_Arena6_5A_HTA_5;Y_Arena6_5A_HTA_5;X_Arena6_5A_HTA_1;Y_Arena6_5A_HTA_1;X_Arena6_5A_HTA_7;Y_Arena6_5A_HTA_7;X_Arena6_5A_HTA_6;Y_Arena6_5A_HTA_6;X_Arena6_5A_HTA_4;Y_Arena6_5A_HTA_4;X_Arena7_5A_HSB_4;Y_Arena7_5A_HSB_4;X_Arena7_5A_HSB_2;Y_Arena7_5A_HSB_2;X_Arena7_5A_HSB_7;Y_Arena7_5A_HSB_7;X_Arena7_5A_HSB_5;Y_Arena7_5A_HSB_5;X_Arena7_5A_HSB_6;Y_Arena7_5A_HSB_6;X_Arena7_5A_HSB_1;Y_Arena7_5A_HSB_1;X_Arena7_5A_HSB_3;Y_Arena7_5A_HSB_3
0;0.0;715.1458834451618;762.541671941596;875.04910824564;580.4677634504224;848.8370117927079;806.4261603375527;941.491002570694;713.4601542416452;753.3188455591823;587.9095229914676;699.3137182334073;674.2775721687639;801.5629820051414;689.2750642673521;1073.2802608477552;655.8886882367694;1160.838316369805;574.8814673452077;1207.0854978354978;689.5419229892914;1263.1160312304096;590.920727189833;1315.468367522841;706.2942021490547;1114.9347168933843;786.708347866527;1234.3134783325095;805.6566155874114;1528.9810965817846;803.7917412250516;1711.4185765983111;683.7824185765983;1513.9479808350443;583.104512188701;1459.371944400064;699.278692016829;1583.802530429212;679.9851057014735;1664.5499567741138;808.7255156230702;1627.311053984576;583.8971722365038;2102.777986476334;638.1882043576259;1884.7095115681234;630.5398457583548;1881.9774499032071;753.1040129754616;2000.5430481002;817.7858120197874;1988.3598971722365;561.4395886889461;1972.8123393316196;703.0951156812339;2079.917737789203;739.3727506426735;710.5581821786103;987.4375061948656;947.4780266038053;1086.5127687040467;683.561545372866;1096.2295035938903;881.0282776349615;1198.8894601542415;869.6767721472302;956.555285092572;778.9514167037531;1213.3087079068387;792.9254498714653;1076.236503856041;1161.3355719427616;1234.4688789395136;1085.1796200345423;1112.0223161530769;1174.47610988887;991.8141817566424;1281.8097686375322;991.5886889460154;1207.184833829365;1119.0982142857142;1319.814910025707;1122.8791773778921;1289.9075110017154;1230.8393376594317;1731.18142317025;1147.1274194458551;1724.8791846109675;1031.5922480620154;1522.4520381613183;1195.1128071697021;1557.853470437018;991.0379177377891;1607.1969987228606;1102.203448275862;1473.5629820051413;1076.236503856041;1632.637369148726;1230.4696161695963;2032.3781552627402;1249.7919246441234;2110.1661589439364;1033.4902998236332;2020.6092544987146;1128.762853470437;1917.6866502578528;1174.7270862634787;1886.1470588235295;1075.9793985161632;1983.4235218508998;980.0199228791773;2129.2236559139783;1173.6592831541218
1;0.02;715.0537112700033;762.1010810350697;874.7537443399511;580.2916853261681;848.8256559452615;806.3420074349442;939.0612680683312;718.3913710030661;753.3120713305899;587.9691929583904;699.1163463907366;674.071384577482;803.4404545760203;690.059242821599;1073.1275097392868;655.7540705224252;1160.5510842479189;574.8194687450294;1207.1010377466073;689.5681947770555;1263.0782569016656;590.8961898243211;1315.4492003221721;706.1327810378552;1114.927832053966;786.6755640846708;1234.4605941566413;805.6600376462885;1529.892345814978;803.7728065345079;1711.1817343621099;682.9883049449215;1514.1313354363826;582.9230809674027;1459.4032585470084;699.0199252136752;1584.1286315901698;680.3794445332906;1664.2933430426601;808.7076278900419;1629.7272981866554;584.4268010922075;2102.488613360324;637.9090334008097;1885.126033263619;630.462653122199;1881.7313697843229;753.119379602068;1999.6038954165342;817.9235206944003;1989.3642228418346;564.9411185829097;1972.77110745614;707.5503837719298;2083.4711308507003;737.3665300079716;709.7254727254726;986.8887733887734;947.4515207528146;1086.4398140368564;683.2993662441628;1095.8193239937734;873.1082094063595;1203.452182323782;869.4213126843657;956.4473451327434;778.7255895966498;1213.3835868047902;794.063277733651;1088.019062748213;1161.0394594827958;1234.3202952985364;1083.3330027392085;1113.1597241900442;1176.1326789642917;991.254526992723;1277.1383721579798;1012.6268923523825;1206.168071748879;1118.9768011958145;1323.781515531411;1114.6232065747317;1289.930679785331;1230.9115980918305;1731.0980057951253;1147.1659564797453;1724.6842196132598;1031.5130639963168;1523.9025703369225;1196.234398518004;1566.441091954023;988.5515445402299;1607.1328451210895;1102.1929080747736;1478.1768427919112;1078.0127201565558;1632.5279257943557;1230.5029932241298;2032.1587982832618;1249.7493774174748;2109.6325382659957;1033.4154362053112;2021.7924637681158;1125.7379710144926;1917.6656007579793;1174.599336767928;1885.881159994715;1075.9353943717797;1983.039364688163;980.252960909153;2129.299705758722;1174.1895754518705
2;0.03;714.843709635753;761.9893653663996;874.7078121897954;580.2868771093905;848.5924191029989;806.2572551553329;936.7905;718.5115;754.0250789196773;587.8440313340349;699.0968236448368;674.2533112582781;802.389345384826;689.4712407559573;1073.1016594408732;655.7613993123038;1160.618505037717;574.8455451811996;1206.9731275014294;689.3246426529445;1263.0103430443028;591.1037752111705;1315.4174633524538;706.0453676342778;1114.8140589569161;786.62259433688;1234.1813437703847;805.5128016960208;1530.0823336968376;803.5119047619047;1710.8746491603633;682.8750297321725;1514.1851968174203;582.7268634840871;1459.4129369138957;699.1690110826939;1583.8669574112957;680.4836590750012;1664.074376170624;808.5288502205303;1629.2974198047418;585.5984658298465;2102.4254921928036;637.4792090970807;1885.0875031304781;630.4629601803156;1881.262828601472;752.9178233438486;2000.853706431026;816.1680576010473;1989.1653294034168;564.9352655422739;1972.912517053206;707.6508640291041;2083.405376344086;737.3111488398414;711.345039862751;987.4239580179634;947.2109265783146;1086.271766482134;683.0529574350469;1095.4385295743505;873.9565348263199;1202.9103606044187;869.2209952885747;956.2419758539456;778.5248082995039;1213.0197714629378;793.8442809598878;1087.5783850061307;1160.7784807402625;1233.5848504411447;1082.396207168359;1112.6925858951176;1175.229593608892;991.5175408127823;1276.4981076653673;1012.459244195899;1205.1653720006905;1118.6731112261925;1324.8340950308304;1113.5465360899527;1289.8110148789697;1230.4826412021614;1730.7116047707873;1146.8540500819624;1724.5412791365254;1031.2139740498335;1522.0395740905058;1195.186808636498;1566.060493170126;988.2444562710662;1607.0050348567001;1101.722050090369;1478.0848021934978;1077.770857814336;1632.5534782903203;1229.5269254216623;2031.837371338084;1249.278595935603;2109.4897497982242;1033.2575733118106;2021.2806414662082;1124.95990836197;1917.5223245924876;1174.4160760689817;1885.65249343832;1075.7945538057743;1982.4891634595908;979.5743028829924;2129.6817281855465;1173.8022203365858
3;0.05;714.9195475613386;762.4213547646383;874.4765254702389;580.3031981240333;848.5801338688085;806.3042570281125;936.7957952973719;718.6038727524204;753.3411014492754;588.4012753623188;699.1619187649329;674.0640813575935;802.179945799458;689.6313008130081;1073.1441522664663;655.8942649636864;1160.6688956111022;574.9116382741602;1207.0022842784535;689.3538347324538;1262.7582329317268;591.1006310958118;1315.3014714401575;706.0105433901055;1114.808275058275;786.6099650349651;1233.9083047805514;805.6170664056126;1530.2885425064944;803.5092717011556;1710.7641989262504;682.5862767260054;1514.1236609955893;582.7974690191136;1459.3280431762314;699.2798974030138;1583.98576;680.8146133333332;1664.097131838997;808.7690407327066;1629.2277428371767;585.646750524109;2102.1034409695735;637.6976014916518;1885.0522984174831;629.9773423762873;1881.949014635177;752.3222380725947;2000.7982011447261;816.3923139820115;1988.740354875468;565.1035324759889;1972.8362862010222;707.7681998864281;2083.4760762818314;737.3305926687221;710.6578514866278;987.473629164799;947.2814304130933;1086.2534611288604;682.8397214454131;1095.3699073312496;873.6817065132722;1202.8768050811912;869.3417298261257;956.3401694159608;778.300971599402;1213.2257100149475;793.9498859048622;1087.5169387396875;1160.7257871321012;1233.0142026009582;1082.4912033779028;1112.6450387051373;1174.8738675958189;991.5263646922183;1276.7804657982292;1012.5061185360626;1204.9879043600563;1120.0902953586499;1324.8416142330223;1113.5817603240037;1289.580217733849;1231.370935396075;1730.7098881126822;1146.7940023854148;1725.076592617715;1031.2022497315018;1521.9063787799637;1194.9956468744558;1566.1446676231467;988.1119679579148;1606.865352076012;1101.7452167122217;1478.160652073884;1077.7913626503648;1632.4545392677283;1229.6305975227983;2031.8419658934433;1249.26527910179;2109.4409289617483;1033.4562295081967;2021.3762216856385;1125.170346096355;1917.4307864638604;1174.2832213182407;1885.834287217946;1075.729425695678;1982.5099507522093;979.6254469405653;2129.6185808651185;1173.6111939768448
4;0.07;714.9850670716274;762.5390618408841;874.3766616691654;580.2649175412294;848.6910582180766;806.2966655945105;936.8702386858497;718.6281351634419;753.4540011514104;588.3889464594128;699.4990393852065;674.5937800192123;802.3154471544716;689.825677506775;1073.0778610694651;655.8797101449275;1160.6853379879403;574.8631122395007;1206.9690280629707;689.281485284052;1262.5709189251395;591.0524195868577;1315.3710220673634;705.9710220673635;1114.8435385949697;786.6397802833188;1233.5064662140314;805.5246524409957;1530.2134659859491;802.4275865078325;1711.3140697728004;681.9221623116273;1514.1861668757842;582.819270179841;1459.378356648979;699.2029801147022;1583.3643263757115;681.5088551549652;1663.6952906942217;809.0853376091217;1629.4410922550458;585.652350024443;2102.431961486026;637.7368353783231;1885.1766199471865;627.9669916717448;1882.9762792456906;751.2941049332684;2000.8451469230351;816.3760252023246;1987.5556081899047;565.3947049844728;1972.8289070480082;707.7618885484053;2083.4830659536537;737.0836639641194;709.9126422947695;986.3981746151145;947.4091648437937;1086.2328790173312;682.7135575942915;1095.2555931112183;873.5238529322394;1203.4660589486477;869.3863585371327;956.2849450302895;778.4034022781774;1213.1810551558751;793.6333158263305;1087.609593837535;1160.3863347726694;1233.1036745406823;1082.4295721673718;1112.680488951575;1175.154360854134;991.5543143073252;1277.0284743118243;1012.5911066532932;1204.537495157452;1119.59981183242;1324.9705776820954;1113.73964836742;1289.6213760577057;1231.945900957137;1730.9116472735568;1146.6806411133925;1725.986101991683;1031.342854016196;1521.9357101449273;1194.8126376811592;1566.10826514882;987.960156527926;1607.0868777108824;1101.7217582702142;1478.1897034864776;1077.7169110459433;1632.6103834083776;1229.6800382043934;2032.0270886344358;1249.1861217133164;2109.657336170677;1033.3153271130027;2021.4729027468447;1125.1118725372623;1917.5081192795983;1174.2073811632713;1885.3255127941277;1079.77087192152;1982.5215359609915;979.5871596911825;2132.6923765668967;1176.9352136096188
5;0.08;715.1755588797473;763.0821075376049;874.549098097356;580.2792685940202;848.6235123834031;806.2966655945105;936.8926525666445;718.5692883895131;754.1553234501348;588.5999550763701;699.2590155945419;673.8846856725146;802.2912979351032;689.6338830785733;1072.9714712471994;655.8669156086631;1160.4658126416784;574.8643049185513;1206.9578066279466;689.3860038719963;1261.451855711887;590.491980777025;1315.3622886263609;706.143965716933;1114.89932730225;786.7194386453259;1233.4737219302438;805.7903328555502;1531.4374169545574;802.4542032066613;1705.3535325065764;678.2978203682826;1514.131820119352;582.4557757885763;1459.340371081254;699.2607698869695;1584.2908015005019;680.905320441697;1663.6549074397485;808.8119105833042;1629.4759641873277;585.8464876033058;2102.311007005993;637.8003714020426;1885.1014470677837;627.3948717948717;1883.3774267851268;750.7277064823955;2000.8969143711295;816.1731795857356;1987.6452706281111;567.5654591674611;1972.748208340387;707.8802550646126;2083.4263206141854;737.1008364844733;709.6389597399349;986.5880470117529;947.3533333333332;1086.3061624649858;682.772117534334;1095.1572447567337;873.9029218843172;1202.865533691115;869.2743784427571;956.4195325294029;778.2986034138772;1213.2212369762801;793.3160832064941;1087.2185016066294;1160.4532507479037;1232.924746134075;1082.5998792438809;1112.6649017695415;1175.1625278301078;991.5238910772392;1276.9216011499973;1012.5994360590479;1204.2109952194696;1120.036179921773;1324.9263217899386;1113.772623628331;1289.4749168330006;1232.7108449767131;1730.7398566672307;1146.7923932058009;1727.073393543029;1031.6351084812623;1521.8701454234388;1194.7051611063587;1565.581725246956;987.7234091431196;1607.1061884669477;1101.8268124280783;1478.047665306651;1077.2446085098115;1632.5835199891399;1229.6928663544422;2031.8873752574054;1249.2598870056497;2109.7997630969685;1033.32391105368;2021.4343278463648;1125.1233424782806;1917.583760532673;1174.3122385245417;1885.2569019447842;1079.7393580851353;1982.364626935087;979.7378247292537;2134.188956903481;1175.9391578556854
6;0.1;714.9770759042282;762.1036254032942;874.7001252191334;579.8508389681942;848.6645783132531;806.304203480589;936.919187018168;719.0422664294571;755.5389510642966;588.8253785385122;699.3300558387958;673.8312697256615;802.4269812704125;689.0924481770312;1073.000448967375;655.8232565100269;1160.5472997844033;574.8946206026187;1207.0884109916367;689.5589691073562;1261.595316948463;590.606995526117;1315.363509991312;706.1383724297712;1114.9789504036908;786.6991349480969;1233.5033884948778;805.8528762805358;1532.9213463850247;798.4313498196806;1704.963228271251;678.3240687679083;1514.1812901887574;582.8443269031321;1460.0059293632378;699.1150296468161;1584.4856962225383;680.7542279121227;1664.0573281907434;808.4166082281439;1629.4545393091325;586.2111809639694;2102.315033676452;637.7000889566654;1885.261449802851;627.1745020725912;1883.7067170721016;750.9719482796405;1999.6404251785418;816.1529092620273;1987.6830891429183;567.3931197338056;1972.8446618316748;707.9813346826334;2083.474146845915;737.1172584166379;709.5735865988632;986.6727988832386;947.355954980682;1086.20785038356;682.7065757479648;1095.2549423829157;874.1319691577697;1202.7050415183867;869.2326587476169;956.1964364276287;778.1475099963649;1213.19520174482;792.631803360923;1086.4900928016052;1160.5801645261479;1232.956895828087;1082.5269810176765;1112.4456881675294;1175.9173525953302;991.5406237751273;1276.2521008403362;1013.598615916955;1203.9173922390626;1120.047619047619;1324.8443109490095;1113.7557748694842;1289.428543072648;1233.0550482995898;1730.7906448683013;1146.838442325159;1727.4526610644257;1031.3798319327732;1521.8937039594841;1194.6498043278084;1566.0613598673299;986.151875033435;1607.1002762253484;1101.807413117492;1478.1436535718915;1076.862893815636;1632.7681922505737;1229.7081814499797;2032.0090832277142;1249.1214089564849;2109.9752237502726;1033.1714691115476;2021.4057746398023;1125.1739854198954;1917.5761803838452;1174.2241257506182;1885.3250441636092;1079.7185079494498;1982.473510824257;979.5948635202366;2135.614457831325;1181.8835341365461
7;0.12;715.1030502190765;762.4071873946747;874.8142743696644;578.6928231089935;848.3837184424475;806.3270218228498;937.242151733159;719.0228907782864;755.3338848444739;588.8673615707037;699.4106690777577;674.5866787221217;802.0847273221814;689.6703386372909;1073.0773871852405;655.8097731239092;1160.4645919339473;574.8931406795808;1206.949218975157;689.8303072223183;1261.226294867298;590.6532795510348;1315.0567816091952;706.3542528735632;1114.8201401050787;786.7729130180968;1233.34549305719;806.3338040323213;1530.5178460390498;791.6077602288273;1704.78421506613;678.4311865056545;1513.8717747832445;582.8826909014938;1460.8363367949498;698.8736509875788;1583.7967365967365;681.0566692566691;1664.132434483161;808.6072491682718;1628.816886654096;585.6751868147217;2101.979126484077;637.7868501135828;1885.167554405722;627.0120225232081;1884.835541213768;750.6454936594201;2002.2826862651114;816.0398892261809;1987.255057026038;567.4303851947493;1972.6678064626433;707.8292585627172;2083.4373025446607;737.087885576426;709.7698376802854;986.3099653248908;947.006671189507;1086.3392130257803;682.4342689120555;1095.241218925421;874.0163304514889;1202.8600504322767;869.1024114100867;956.2173209822084;777.006897993311;1213.6918199554068;793.5732711732711;1085.1925407925407;1160.4418133468405;1232.910261280655;1082.6786486232497;1112.4101588196597;1176.197643097643;991.735465768799;1275.7213796202673;1013.912032355915;1203.418715517703;1119.3514917778134;1324.667967902841;1113.76801850647;1289.249375410914;1233.2955292570678;1730.7711844971907;1146.882238275427;1727.558828017702;1031.392848059413;1521.7642403235122;1194.8339110340842;1572.656018978263;977.6470815403287;1606.7962745098039;1101.7586928104574;1478.8904936131971;1076.5533089415237;1632.537658463833;1229.723476374483;2031.6524981357195;1249.1781719399169;2109.221370654226;1033.1147950683105;2021.2886592018374;1125.2858455354578;1917.40904778845;1174.3123443614372;1885.2094419429661;1079.7928776094966;1982.3110789582472;979.665219787791;2134.9347826086955;1179.0760869565217
8;0.13;714.7779489154152;761.7646429641038;874.6476107983254;578.0238198354266;847.9634371213317;806.1812338654443;936.9712477202016;719.4153524299968;756.0506294915436;589.1353541903063;699.4612977007343;674.2646563139521;802.0910880336659;689.5212787619629;1072.9848054600707;655.761869177502;1160.4539480657127;574.7829358770535;1207.5133807588077;690.5470867208672;1261.2363625710434;590.598289095916;1315.0916222871213;706.2766420431769;1114.947509310987;786.9085777467411;1233.7692542554003;806.6962063964583;1530.5078475336322;791.5129961800365;1704.089225815108;678.6837067847398;1513.878396810408;582.8307103137131;1461.4793669575506;698.7793718877878;1584.515409698117;680.98290733144;1665.6631408589096;807.8464828622622;1628.8820126838107;585.6557948289079;2101.9297393970364;637.802674161131;1885.0983581635755;626.9061518191953;1885.6922853491342;750.0658185198093;2002.109695232027;815.8035998725709;1987.307812668609;567.2223481169742;1972.7586325966852;707.5780386740331;2083.6607153175014;736.9141387877736;709.9647679967509;985.7490608183572;947.0058251329035;1086.301153715643;682.4400554400553;1095.1557119249426;873.8549772013974;1202.5325398235327;869.0680482069371;956.1018518518518;776.6908502135868;1213.7089017500343;801.312090341941;1077.9179499328752;1160.4065813373884;1232.8545178050945;1082.7354260089687;1112.2890975336322;1174.9885668553136;990.7304064482936;1275.7703142536475;1013.7618967452299;1205.623144128209;1116.2105375998285;1324.680196801968;1113.9328557991462;1289.390591450322;1233.4101112629319;1730.6521639042355;1146.7151243093922;1727.8349172826468;1031.3305174234424;1521.957236650979;1194.8173261286386;1573.1319805194805;977.1617965367965;1606.547989623865;1101.4229571984436;1479.5995423340962;1075.8609839816934;1632.472442546268;1229.6381940207443;2031.7603121516165;1249.119817380687;2109.2845354018814;1032.8013423557243;2021.2509939498705;1125.292019590896;1919.4293059125964;1171.793701799486;1885.4135574689078;1080.7346590132568;1982.4842975206611;979.6357438016529;2134.6041666666665;1181.4114583333333
9;0.15;714.8990919554931;761.5626891759389;874.8780743782796;577.6585900068446;850.7123943212633;806.97936938374;936.8479187703355;718.1059688096038;755.9315698366331;589.1511954992967;699.5534027030259;674.2572060758282;802.0594947025265;689.1139635968486;1072.8875916778925;655.7314773237539;1160.4281847133757;574.7322186836518;1207.691599095372;690.7603287550334;1261.1043687893218;590.5494796260364;1314.9603269879378;706.2846853026925;1114.8091665212587;786.850869539929;1240.0595400211832;811.6889090633983;1530.746985438311;791.431718613093;1702.1476521589834;677.2484333419177;1513.8819716690186;582.6810935131462;1461.886404598373;698.6818159676554;1584.30196260238;680.6320506876835;1665.5698625369757;807.7697349341685;1628.550688008986;585.5065992698679;2101.6765901022286;637.5593053595106;1884.9363215937387;626.670376581796;1886.0709613937604;750.3546333275452;2002.0858402898093;815.4787105580931;1987.089619600258;567.206372232968;1972.7055756117127;707.7330811987852;2083.8646950305547;736.8756485645106;709.6662138364779;986.0537358490566;946.8284379923474;1086.2252419536348;682.1984508547008;1094.7760683760682;858.2247939333993;1220.5894493900428;869.0696724301451;956.0589479827825;776.6140955469964;1213.945874721265;802.6849602639076;1077.4665617034038;1160.2889650213592;1232.8477773548195;1082.4995320980722;1112.2081227774659;1174.7110013623978;990.5249772933696;1275.704902454022;1013.685952261166;1205.3396567299005;1115.5684148998353;1324.6498079385403;1113.378787878788;1289.2209686831357;1233.3771639758802;1730.639017954454;1146.79137268399;1727.7905609167672;1031.0774024929633;1521.8098730934914;1194.6252765164745;1576.0298456842463;974.9364648691425;1606.6533410958016;1101.3337861439938;1479.7537814598631;1075.4807004330635;1632.4266801756162;1229.5937858831476;2031.5481551961095;1249.0915530182895;2109.3292617593484;1032.7005785920926;2021.0630148032947;1125.0135936869995;1917.2554344589362;1174.166696444524;1884.3694305694305;1082.5457209457209;1982.4593537764972;979.6515743980243;2138.3849765258215;1178.906103286385
