Frame;Time;X_Arena0_6A_HT2_7;Y_Arena0_6A_HT2_7;X_Arena0_6A_HT2_4;Y_Arena0_6A_HT2_4;X_Arena0_6A_HT2_5;Y_Arena0_6A_HT2_5;X_Arena0_6A_HT2_1;Y_Arena0_6A_HT2_1;X_Arena0_6A_HT2_6;Y_Arena0_6A_HT2_6;X_Arena0_6A_HT2_3;Y_Arena0_6A_HT2_3;X_Arena0_6A_HT2_2;Y_Arena0_6A_HT2_2;X_Arena1_6A_CM2_7;Y_Arena1_6A_CM2_7;X_Arena1_6A_CM2_5;Y_Arena1_6A_CM2_5;X_Arena1_6A_CM2_6;Y_Arena1_6A_CM2_6;X_Arena1_6A_CM2_4;Y_Arena1_6A_CM2_4;X_Arena1_6A_CM2_2;Y_Arena1_6A_CM2_2;X_Arena1_6A_CM2_1;Y_Arena1_6A_CM2_1;X_Arena1_6A_CM2_3;Y_Arena1_6A_CM2_3;X_Arena2_6A_HS1_3;Y_Arena2_6A_HS1_3;X_Arena2_6A_HS1_2;Y_Arena2_6A_HS1_2;X_Arena2_6A_HS1_4;Y_Arena2_6A_HS1_4;X_Arena2_6A_HS1_6;Y_Arena2_6A_HS1_6;X_Arena2_6A_HS1_5;Y_Arena2_6A_HS1_5;X_Arena2_6A_HS1_7;Y_Arena2_6A_HS1_7;X_Arena2_6A_HS1_1;Y_Arena2_6A_HS1_1;X_Arena3_6A_Control2_6;Y_Arena3_6A_Control2_6;X_Arena3_6A_Control2_1;Y_Arena3_6A_Control2_1;X_Arena3_6A_Control2_4;Y_Arena3_6A_Control2_4;X_Arena3_6A_Control2_5;Y_Arena3_6A_Control2_5;X_Arena3_6A_Control2_2;Y_Arena3_6A_Control2_2;X_Arena3_6A_Control2_3;Y_Arena3_6A_Control2_3;X_Arena3_6A_Control2_7;Y_Arena3_6A_Control2_7;X_Arena4_6A_CM1_2;Y_Arena4_6A_CM1_2;X_Arena4_6A_CM1_7;Y_Arena4_6A_CM1_7;X_Arena4_6A_CM1_3;Y_Arena4_6A_CM1_3;X_Arena4_6A_CM1_1;Y_Arena4_6A_CM1_1;X_Arena4_6A_CM1_4;Y_Arena4_6A_CM1_4;X_Arena4_6A_CM1_6;Y_Arena4_6A_CM1_6;X_Arena4_6A_CM1_5;Y_Arena4_6A_CM1_5;X_Arena5_6A_HT1_1;Y_Arena5_6A_HT1_1;X_Arena5_6A_HT1_6;Y_Arena5_6A_HT1_6;X_Arena5_6A_HT1_3;Y_Arena5_6A_HT1_3;X_Arena5_6A_HT1_4;Y_Arena5_6A_HT1_4;X_Arena5_6A_HT1_5;Y_Arena5_6A_HT1_5;X_Arena5_6A_HT1_7;Y_Arena5_6A_HT1_7;X_Arena5_6A_HT1_2;Y_Arena5_6A_HT1_2;X_Arena6_6A_HS2_7;Y_Arena6_6A_HS2_7;X_Arena6_6A_HS2_1;Y_Arena6_6A_HS2_1;X_Arena6_6A_HS2_5;Y_Arena6_6A_HS2_5;X_Arena6_6A_HS2_2;Y_Arena6_6A_HS2_2;X_Arena6_6A_HS2_4;Y_Arena6_6A_HS2_4;X_Arena6_6A_HS2_6;Y_Arena6_6A_HS2_6;X_Arena6_6A_HS2_3;Y_Arena6_6A_HS2_3;X_Arena7_6A_Control1_7;Y_Arena7_6A_Control1_7;X_Arena7_6A_Control1_6;Y_Arena7_6A_Control1_6;X_Arena7_6A_Control1_5;Y_Arena7_6A_Control1_5;X_Arena7_6A_Control1_3;Y_Arena7_6A_Control1_3;X_Arena7_6A_Control1_4;Y_Arena7_6A_Control1_4;X_Arena7_6A_Control1_2;Y_Arena7_6A_Control1_2;X_Arena7_6A_Control1_1;Y_Arena7_6A_Control1_1
0;0.0;710.1089614660153;499.5560131532739;717.0788110291535;690.3443097997892;582.5678382724557;595.6475993567655;699.9144017494533;394.92278454649585;606.3547557840617;475.0642673521851;804.1650830056792;574.507372214941;830.8866237482117;474.3261206485455;1193.706940874036;595.9897172236504;986.6713148128129;600.2471444528519;1043.413881748072;473.3367609254499;1088.0171396337757;689.50603141543;1258.3679541768045;544.0534266017842;1135.740367168321;395.5551286156473;1209.254498714653;651.2699228791773;1552.8042645778937;699.7676240208878;1626.8280733851702;574.817096102048;1468.0018209250297;680.5587638520368;1447.4110279765778;476.47327044025155;1391.751707846517;557.8544340164719;1499.4755784061697;538.9820051413882;1595.39991804958;451.9538345967356;1807.2992292870904;512.970472061657;1943.4870909389904;438.0897878638382;1929.5083361306924;705.5950542687702;1820.7917737789203;658.1799485861183;2043.0108757870635;537.4381479361444;2013.1699805068224;642.1273294346978;1916.0185185185185;559.380032206119;808.645309882747;879.7032663316583;690.7822513234885;951.0237763536732;825.7928457869634;1029.5083200847905;672.7503328894807;841.6135153129161;692.5179667447829;1070.998939850463;591.6313461980243;910.6731564438319;581.2271592031132;1045.7894522855315;1072.7503976050145;873.635606698475;989.3238979581647;1022.01637461934;1260.5340319851537;1013.0141913651;1181.6143958868895;1100.4215938303341;1067.4393481817037;1102.7127846986284;1126.0771708407283;994.8681390915664;1205.7994858611826;893.120822622108;1534.130128405888;1012.813498277482;1489.5600505689001;920.7759692372524;1404.4355062413315;1092.3481276005548;1635.3522572225186;945.5970220086609;1527.6116560877092;1125.3264089247932;1409.3492730425503;991.7966519941309;1664.6402626132876;1084.4542924427317;1931.3521850899742;1043.413881748072;2032.7518001656788;929.1418466832346;1807.6689153439152;960.0775132275131;1975.3031661910584;1119.4781899714635;1815.4645085517138;1080.1509212361448;2016.7806958973217;1054.4503301431857;1929.6246786632391;915.5784061696658
1;0.03;710.1841159866564;499.21795612009237;717.2074407123336;690.3910341179582;582.711739170592;595.7333979865151;700.0057989351045;394.716748378934;607.9383658008658;480.85357142857146;804.1528665901513;574.3736131606274;830.9749760536397;474.17828065134097;1200.2994858611826;616.3759640102828;984.7524340770791;599.3846855983772;1042.7438618136953;479.12646514497226;1088.0353157411055;689.2981488775108;1258.4959262654038;543.9965373255932;1135.1112961421038;396.3021371079655;1198.5;624.0;1552.9382538645764;699.708208142826;1626.9409372776252;574.6746975703975;1468.1582318025617;680.4917213370821;1447.6738624682139;476.35903262457396;1391.7985739750445;557.7578940667175;1500.629880029164;549.6087359978789;1595.6088879673785;451.617941806621;1806.938973440764;511.9085347657416;1944.3521353300052;438.2135330005546;1929.6096828046745;705.4894268224818;1825.5373201948125;662.819345339223;2043.167466871519;537.0698418795212;2013.3073572872918;642.1326022709596;1916.258890238963;558.8832725799919;808.7750041813011;879.6150694096002;690.9966104842828;951.170125829967;825.8350526371474;1029.3307940538539;672.8731351592072;841.6675016700067;692.8957984132305;1071.0274332327633;591.829646272612;910.8858163382878;581.4510420305041;1045.7943299569215;1072.9646117118382;873.7718017132426;989.4392939293929;1022.1119111911191;1260.7549195966203;1013.0649223221586;1185.8998894127233;1108.815784878645;1067.2307594776214;1102.6932293647774;1126.244571654165;994.9761810764574;1207.394145099703;902.9457643897609;1534.1339838421989;1013.2776728569929;1489.7706121586646;920.8125495167169;1404.5340712556208;1092.5639916983744;1635.3934542867307;945.5975334993477;1527.6495742910186;1125.3454324307022;1409.5499198075381;991.8596631916599;1664.847143890094;1084.5841648590022;1937.0663504432773;1042.3506126828165;2032.9110433346038;929.190367263947;1808.1525006650702;960.4983373237562;1975.5332112083586;1119.5563471063165;1815.793455132438;1080.3020764546188;2016.8571110616515;1054.4887602937904;1914.733702823964;918.7890384446204
2;0.07;710.1689554723263;499.4232529850507;717.205643738977;690.4152116402116;582.7440096216116;595.8454066056064;700.0613938343573;394.83698335171465;607.9555303398714;480.9000378235262;804.4117032392894;574.368531045482;831.0590982575893;474.2686066702592;1203.3761370204738;626.9853670408567;984.8110014582696;599.4808559704276;1042.6788005923001;479.036771964462;1087.845785695294;689.7045555260125;1258.448516312923;544.0352216623403;1135.2070455300764;396.23440788744875;1196.0;623.0;1552.5245181965845;699.6259712893454;1626.9406525169236;574.7221458746882;1468.1347174523885;680.5263815173275;1447.6834967320262;476.5614379084967;1391.7286141321629;557.8124403739745;1500.695921460104;549.7598339592805;1595.4004253275707;451.8254784935172;1805.1307352128244;511.4405196241017;1944.2500139051112;438.1522331609099;1929.5873413493655;705.5163103985748;1825.467869094209;662.871249503715;2043.1613356317434;537.1848943369724;2013.2997041880737;642.1644869998443;1916.1865767501604;559.215960179833;808.8652509005613;879.6690123146519;691.0447795931666;951.2090490155007;826.4699354979774;1029.5400677817863;672.8254659078227;841.7299966521593;692.406053324179;1071.3860281496738;591.7107699384738;910.8323270657237;581.3909207012655;1045.8290375014512;1073.0696151853422;873.8984032782253;989.4270080321285;1022.1918674698795;1260.7259586537937;1013.0400916380298;1185.9037620297463;1108.8519101778943;1067.237966884867;1102.829739442947;1126.228565784275;994.9338864743843;1207.412314225053;902.9253361641896;1534.1365189507437;1013.2207853650843;1489.7716323296354;920.8377707342842;1404.5792064871125;1092.651549377353;1635.3832296296296;945.5788444444445;1527.6611538461539;1125.3478846153846;1409.5686864633494;991.8859684323166;1664.8554783615573;1084.565349544073;1937.001596806387;1042.216139150271;2032.915173698067;929.4886662813843;1808.344545149379;960.6102047667001;1975.608884367582;1119.6159376059682;1815.7171872708607;1080.2857457105147;2016.8147901399068;1054.434821230291;1914.6363636363637;918.8146684233641
3;0.1;710.2061504879301;499.3074922958398;717.2701340055725;690.4595993100703;582.7494668521094;595.8414000927213;700.0049656629687;394.7067617538299;607.9070158317068;480.82661027976576;804.4474976549136;574.2409645202229;831.0507702451597;474.13960318887484;1203.40707856598;626.9474294431731;984.8438349646545;599.2978860793909;1042.7040934224642;478.9163984484608;1086.3096820734786;694.3295718039883;1258.549913327215;544.0105536861425;1135.0456544735816;396.3666833695228;1196.0;623.0;1552.2425751458052;699.1979362943023;1626.9417989417989;574.6371591371591;1468.187753826929;680.4197125898157;1447.7499864476608;476.4973166368515;1391.7458015267175;557.733651399491;1500.999063670412;549.5010700909577;1595.606368282912;451.57853294653955;1805.0983146067415;511.2691672174488;1946.5885907232985;438.3760440732184;1929.6015677118078;705.4092172559483;1825.6429138321994;662.7295351473923;2043.2064038780456;536.9108942467151;2013.4036312849162;642.0921011793916;1916.3162289234758;558.9768968871596;809.0558842039018;879.6559261590098;691.0786972323176;951.2636753331469;827.6245495894618;1028.790359737728;672.9222296768422;841.8477021133848;692.3322443833104;1071.5118065107747;591.7746446584135;910.9335167354424;581.5244893221912;1045.7360724233984;1073.1485087966882;873.9196537774013;989.4935529364359;1022.186158960411;1260.7922106179285;1013.1889686684073;1186.1637788778878;1109.2514733616217;1067.1710727969348;1102.6526819923372;1126.2929253043762;994.9828232971372;1207.4239784717795;902.9530486509454;1534.076080568467;1013.7146978682481;1489.8597883597884;920.8155026455025;1404.6370164466064;1092.8197822561963;1635.6923029745476;945.1308800981293;1527.7000769526742;1125.3772604848018;1409.6407988205333;991.8801769199839;1664.88369903686;1084.5960605402272;1937.1758080036223;1042.3802569762834;2033.0123147969982;929.6345327432492;1808.676368817423;960.701947214872;1975.6328796804116;1119.6423589951926;1815.8499379607326;1080.3234800379535;2016.8532238982548;1054.4305678793257;1914.8246262093228;918.7855760773966
4;0.13;710.5769504924831;499.57205806117156;717.2567370237621;690.4635603345281;582.729459196441;595.8661661800825;699.8507336193653;394.6091424333915;607.8935501355013;480.85235772357726;804.353453053985;574.2956989247311;831.1101548024625;474.1065088757396;1203.4346258441042;626.979130381642;984.9768949865191;599.2074331934064;1042.5997506234414;478.69563591022444;1086.7779824965453;693.5674292440758;1257.8651591289781;543.5077051926298;1135.029364148942;396.3604644671467;1196.5;623.0;1551.904942450914;699.4060031595576;1626.856509779951;574.6260187449062;1468.1842433697348;680.392511700468;1448.2085564576496;476.7492946392583;1391.6620175773787;557.641638007897;1501.804393218074;551.0024221164286;1595.5686274509803;451.5857497928749;1804.910722222222;511.21372222222215;1946.7916592301742;438.33928252721756;1929.5878626208737;705.3887406913415;1825.5816494028413;662.790796400068;2043.2397727997954;536.8264726530091;2013.3237202032042;641.9965611567018;1916.3752122241087;559.000161694559;809.1597633136095;879.7469469973562;691.0935141179759;951.2673096635914;828.1008957133716;1025.5592450415866;672.9856799239245;841.9527884991888;692.0592527729129;1071.736719206071;591.7637290270858;910.9886044780392;581.5773861455243;1045.7959634735066;1073.1748363704853;873.9498516739652;989.5145782889426;1022.2304782082324;1260.8368168952752;1013.0709231439146;1186.652044654775;1109.8467419002548;1067.1919327946646;1102.783185840708;1126.3503630363036;994.9553135313531;1207.4376017555035;902.9161180717774;1534.011621088544;1013.6851111466497;1489.8680103687243;920.7947944770672;1404.7237017696546;1092.9306643458078;1636.5641516660282;944.6589429337419;1527.6829581168622;1125.341671477134;1409.6509661835748;991.8639291465379;1664.8654868545625;1084.4761488602433;1937.1536485097636;1042.1751170492178;2033.0715905409781;929.8499514091351;1808.600785428939;960.5992958223305;1975.8274889988998;1119.4875550055003;1815.8478815722306;1080.3148836870123;2016.8040435458786;1054.363178552914;1914.8424783407718;918.8676818062484
5;0.17;710.8124100954623;499.6388126062508;717.2955774173535;690.4616679961002;582.7810966009076;595.814346577753;699.7082139446036;394.51984505995966;607.9463682892301;480.8034411412392;804.7297008547007;573.9797570850202;831.1320630355323;473.99604529929894;1202.8772493573265;616.3759640102828;985.0148155822627;598.9377676474651;1042.6628731032183;478.4839503084876;1073.7292166952543;713.1895940537449;1264.7510062202705;545.1746249542626;1134.7906206121875;396.5636618927267;1198.5809768637532;620.6722365038561;1551.4929776561787;699.3954400364796;1626.8737003058104;574.5929153924567;1468.153545766948;680.3573883161512;1447.9828444604402;477.6225181452822;1391.5932063492062;557.5650158730158;1502.1729783037474;550.660157790927;1595.667011304108;451.5624483043838;1804.9171636845592;511.19488623812674;1947.8203515263644;438.41221091581866;1929.5944157072138;705.3925134879581;1825.631899762953;662.7694999435602;2043.3438139059301;536.701495398773;2013.4109175377469;642.0195896244676;1916.4081599741976;558.9702467343977;809.1963009667927;879.6824716267339;691.1100558659218;951.2486499068901;828.3771667662882;1024.7682141196785;672.9905033238366;841.9827383945031;692.1558047185237;1071.6346647979442;591.7171804144423;911.0591814476779;581.6588351316858;1045.7845457709711;1073.2181081590352;873.8924062558883;989.5396873424104;1022.1532526475038;1260.8511031409628;1013.16807955657;1186.8933731938216;1110.3861484803188;1067.2579661016948;1096.6489265536723;1126.3014114232951;994.8473816119244;1207.4700382490437;902.9443972234027;1533.7882163034706;1013.9380683346784;1489.8471074380166;920.7735749099385;1404.6933542647828;1093.0277923135066;1636.3645191409898;944.8085278555866;1527.707434514638;1125.363893168978;1409.6780081873699;991.8841688477282;1664.8833333333332;1084.601376811594;1937.214990138067;1042.4219216680754;2033.133563615429;929.6618051557601;1808.6912473687782;960.6835064846879;1975.826987720381;1119.51183371064;1815.8444057213387;1080.3760255572497;2016.9719825997195;1054.3810366438101;1914.8985622298667;918.8043574137779
6;0.2;710.9893918429201;500.00938920735325;717.2538226299694;690.4500731285733;582.7241075567918;595.8146963375057;699.3034050754899;394.3230538601563;607.8553026581518;480.77293815839744;804.7523776980465;573.7921863431858;831.1479555236729;473.97877809660446;1203.4813720966004;626.9948007998769;991.019765951288;600.8630442873093;1042.5036154649947;478.4542528735632;1070.1609090909092;717.7887878787878;1263.9441067560958;545.7092153985886;1134.6881865810376;396.60464199200044;1190.8476863753212;632.7017994858612;1551.0801477377654;699.4109418282549;1626.7909526723786;574.5431966544268;1468.0109496736154;680.158454411455;1448.0119985673352;477.39792263610315;1391.3669201520913;557.3757287705956;1501.5889843055968;550.6379429473892;1595.6123165943377;451.56444168905415;1804.7066047129108;510.99380462440536;1947.9445585215606;438.3771389459274;1929.5186733556297;705.3064659977703;1825.6324166244865;662.7597997862887;2043.2943350538455;536.3603517491875;2013.2502716969414;641.968948920975;1916.430548849187;558.8751810719459;809.2338208102201;879.7022608841821;691.0347708391673;951.2202931018388;828.494271465157;1024.1335759536325;673.1092997198879;842.0466106442576;692.0662212845757;1071.6444561650258;591.6266022877508;911.2530321319767;581.7415808759379;1045.7382655731983;1073.1994995987347;873.868007364396;989.5130689272378;1022.1245837117772;1260.9426546742982;1013.1523575906241;1187.225634262748;1110.618311981914;1067.317182756527;1097.3874924104432;1126.412569924317;994.7739387956565;1207.4013605442176;902.9369331065759;1533.9687834081674;1013.9239362839426;1489.8870916587377;920.7035098847658;1404.5991862830572;1093.0692240627725;1636.7535148261757;944.4633819018405;1527.61429758936;1125.3083956774728;1409.6506688176378;991.8735632183908;1664.8229820385197;1084.6238909326985;1937.1562288422479;1042.3751974723539;2033.244738893219;930.0533255391009;1808.5921855921856;960.5630172296837;1976.8666376748567;1120.232079437559;1815.8330073172497;1080.3636890531043;2016.7434647762516;1054.2552060256978;1915.0086237240407;918.8002463921154
7;0.23;711.1512293590125;500.09090307422474;717.2632487714172;690.5212290255456;582.7620241411328;595.8336583101207;699.1987530904008;394.2172417499731;607.9204470742932;480.7600810870041;804.8447080396538;573.6336026588734;834.9136077874671;475.00757114851615;1202.017994858612;611.2204370179949;994.9925815352602;602.5871443434205;1042.479635921312;478.3659242481439;1070.346094516898;717.2787827794137;1267.6069822581962;542.217970730112;1134.6512811810624;396.7435375304033;1198.5809768637532;636.9980719794345;1550.9379342074992;699.4851161720726;1626.826035925699;574.5349561134925;1467.8787831104116;680.3064253868345;1448.0467153284671;477.8552919708029;1391.360826697004;557.3997598280874;1501.7126333632466;550.7283876757404;1595.6315354412068;451.6099745126403;1804.5871484630477;510.86652496184865;1948.4279338739077;438.3301904582312;1929.5173124025828;705.2987085281674;1825.8038853431865;662.6502631284291;2043.378249235474;536.1784531090724;2013.3760086902541;641.9750931098696;1916.4972148219908;558.990150964721;809.2745098039215;879.6032245874795;691.1728619340414;951.2547978386435;828.6974692991383;1023.4496234479951;673.1688063063062;842.1497184684684;691.9109468497008;1071.7139504869176;591.641932700604;911.3777969513948;581.9163011054571;1045.6622214423583;1073.2563521299708;873.8569944271276;989.5131199757318;1022.1823651347388;1261.0013681387838;1013.2699611448585;1187.2235384027513;1110.8840911985733;1065.1433313805896;1091.485256785784;1126.4929392446631;994.7797044334975;1207.4527458492976;902.981978146729;1533.8779395900754;1014.1258360302048;1490.0264626175674;920.8115734098517;1404.6013823546493;1093.1705872103155;1636.5403322594907;944.5741267134102;1527.632719601074;1125.3972637770105;1409.6622948614474;991.8882163034706;1664.9863488624053;1084.5381726254964;1937.2039156288565;1042.5049927072814;2033.3889432804644;930.3046798511847;1808.6766463000677;960.6137813985064;1977.2523474178402;1120.4019219483566;1815.8309869323514;1080.4174427839143;2016.8701078127306;1054.2374833850245;1915.142392260334;918.8829375549691
8;0.27;711.2363925307906;500.262746656072;717.2980527222148;690.5063363800945;582.6424513364999;595.8757567290676;698.9918316563885;394.049064156659;607.8245642880631;480.70311301107085;804.9880439156175;573.5006035523367;835.0282623394185;475.0143340094658;1199.4402313624678;618.9537275064267;994.8498081063372;601.782411307685;1043.4825749505403;478.7356566732613;1070.4542381695267;717.7770410816432;1270.582974046834;541.4268323611464;1134.4050331576263;396.7659695063198;1190.8476863753212;643.8721079691517;1550.6227096057746;699.4449379974088;1626.8514973757333;574.2714829679942;1467.6334023025092;680.1801156560028;1448.1794454490657;477.50494273658825;1391.312052730697;557.3834902699309;1501.4066627242262;550.7110191208358;1595.5876253261913;451.63397884905913;1804.2723258096173;510.65630792716166;1948.8814714772652;438.2661907518168;1929.4501758499414;705.2121922626026;1825.789711040588;662.561884082178;2043.3638273491215;536.0325311942959;2013.2449201178842;641.9271754304327;1916.5112824219063;558.8928772183409;809.3403596821413;879.6068172312839;691.1066124964976;951.2205566451853;828.7057249866237;1023.2880551096843;673.194693256718;842.1730043377837;691.7500586029066;1071.7298992030003;591.588448901954;911.458643149461;582.0276155071695;1045.4862807576562;1073.2534884820964;873.8813679579963;989.4947671773093;1022.1069821527883;1261.0153804050356;1013.3213464696223;1187.5679370606822;1111.2139033984652;1065.3687610099823;1092.5327852808769;1126.5256486042692;994.6437438423645;1207.408358082308;903.005798331212;1534.0321486268174;1014.2301561658588;1489.96267388765;920.7839014548157;1404.610056320037;1093.2311443999304;1636.7411367831453;944.4279167462288;1527.5145371078806;1125.3418770721753;1409.6040404040405;991.8846464646465;1664.939955469367;1084.546577605401;1937.1430098452881;1042.4527144866386;2033.4019953051643;930.245239958268;1808.6791207295491;960.5847965155846;1977.434484285082;1120.6094141950714;1815.823730991647;1080.5423002784323;2016.757723938653;1054.1329925168554;1915.1320028011203;918.9238445378152
9;0.3;711.275902019199;500.3635220125785;717.2548371457534;690.5506192428048;582.6290105400009;595.8622370803733;698.7353551912568;393.78519125683056;607.6901200065757;480.63521288837745;836.7695473251028;580.934472934473;835.1779856310153;475.03795580859423;1196.862467866324;613.7982005141389;994.8347863993025;601.9516129032259;1040.1436084142395;481.9916204345816;1071.0112933903947;718.477294341417;1270.309337251061;541.2010284035259;1134.2836456558773;396.666893810335;1190.8476863753212;641.2943444730076;1550.6806689342402;701.3614512471655;1626.8781911013857;574.0793477128269;1467.4128410914927;680.0662921348314;1448.2202108855975;477.5387334674224;1391.3950408035153;557.4432517263025;1501.2790014684288;550.7339207048458;1595.5444832545716;451.6923498390521;1803.9704627852418;509.67706333973126;1948.822106414463;438.08383195007394;1929.4075623222352;705.0548770286097;1826.045472061657;662.1745664739884;2043.3993919817594;535.7399455316993;2013.2284327540315;642.0494754971035;1916.6423619411905;558.8351263048847;809.359891598916;879.5427975818219;691.0863955119214;951.2532024310425;829.2051586516261;1023.1062735008906;673.1627593186034;842.2180243998424;691.8145024307386;1071.7026298834417;591.5341636395087;911.4948394164792;582.1705550608489;1045.5356485604036;1073.1952394446018;873.8496269009162;989.48716393774;1022.1091570648878;1261.0413521496555;1013.3165408598621;1187.3747122026093;1111.091007930417;1065.226761678543;1093.8266033254156;1126.6073796861663;994.6121725428403;1207.3960186361712;902.9971057461527;1534.0097896046295;1014.2006057655904;1489.9903805272108;920.774606717687;1404.5226862368222;1093.2806802958821;1636.7566615424032;944.2886881885728;1527.4850398724082;1125.3192344497609;1409.595718901454;991.8804523424878;1664.9431580465987;1084.56849166847;1937.1583432086222;1042.34715873822;2033.456147245693;930.1849086264492;1808.6670754974105;960.5446306895611;1978.1031497238394;1120.8426630840422;1815.923801490229;1080.8937157317587;2016.7731615196624;1053.9308301858846;1915.2121370196487;919.0044340114763
