Mussel_ID;Time_Machine;Rep;Sensor_ID;Line_ID;Gt1_1;Window6(min);Gt1;Window1(min);Gt4;Window4(min);Gt5;Window5(min);Gt2;Window2(min);Gt3;Window3(min);Beaker_ID;Group;File_name;P_Status;Status;Length(mm);Intensity;Note
G65;14:55-15:25;1;B;1;0.149;0-30;0.143;0-30;0.154;5-30;0.176;10-30;0.0635;0-5;0.0634;0-10;1;CM;00000007.DAT;infected;infected;31,2;8;
B50;14:55-15:25;1;B;2;0.595;0-30;0.599;0-30;0.608;5-30;0.602;10-30;0.572 ;0-5;0.602;0-10;2;CM;00000007.DAT;uninfected;uninfected;33,9;0;
G21;14:55-15:25;1;B;4;0.263;0-30;0.264;0-30;0.221;5-30;0.192;10-30;0.477 ;0-5;0.408;0-10;3;HS;00000007.DAT;infected;infected;34;15;
B22;14:55-15:25;1;B;7;0.736;0-30;0.735;0-30;0.836;5-30;0.883;10-30;0.226 ;0-5;0.435;0-10;4;HS;00000007.DAT;uninfected;uninfected;30;0;
G83;14:55-15:25;1;A;1;0.561;0-30;0.548 ;0-30;0.571 ;5-30;0.635;10-30;0.422 ;0-5;0.369;0-10;5;HT;00000007.DAT;infected;infected;34;6;
B86;14:55-15:25;1;A;3;0.313;0-30;0.312;0-30;0.361;5-30;0.445;10-30;0.0599 ;0-5;0.0412;0-10;6;HT;00000007.DAT;uninfected;uninfected;30,1;0;
G59;14:55-15:25;1;A;4;0.594;0-30;0.588;0-30;0.668;5-30;0.689;10-30;0.184;0-5;0.382;0-10;7;Control;00000007.DAT;infected;infected;33;26;
B39;14:55-15:25;1;A;7;0.468;0-30;0.457;0-30;0.547;5-30;0.663;10-30;0.00337;0-5;0.0435;0-10;8;Control;00000007.DAT;uninfected;uninfected;31,9;0;
Y7;16:35-17:05;2;B;1;0.615;0-30;0.722;0-30;0.785;5-30;0.780;10-30;0.413 ;0-5;0.609;0-10;1;CM;00000008.DAT;infected;infected;31,2;9;
P40;16:35-17:05;2;B;2;0.513;0-30;0.453;0-30;0.514;5-30;0.555;10-30;0.146;0-5;0.248;0-10;2;CM;00000008.DAT;uninfected;uninfected;28,8;0;
Y28;16:35-17:05;2;B;4;0.395;0-30;0.392;0-30;0.465;5-30;0.576;10-30;0.00605;0-5;0.0143;0-10;3;HS;00000008.DAT;infected;infected;33,2;4;
P8;16:35-17:05;2;B;7;0.472;0-30;0.459;0-30;0.524;5-30;0.595;10-30;0.120 ;0-5;0.178;0-10;4;HS;00000008.DAT;uninfected;uninfected;34,2;0;
Y51;16:35-17:05;2;A;1;0.619;0-30;0.605;0-30;0.577;5-30;0.578;10-30;0.734 ;0-5;0.653 ;0-10;5;HT;00000008.DAT;infected;infected;34;4;
P37;16:35-17:05;2;A;3;0.355;0-30;0.348;0-30;0.412;5-30;0.513;10-30;0.00290;0-5;0.00668;0-10;6;HT;00000008.DAT;uninfected;uninfected;33;0;
Y32;16:35-17:05;2;A;4;0.413;0-30;0.410;0-30;0.489;5-30;0.611;10-30;0.00198;0-5;0.00258;0-10;7;Control;00000008.DAT;infected;infected;31,8;8;
P67;16:35-17:05;2;A;7;0.868;0-30;0.869;0-30;0.918;5-30;0.913;10-30;0.618  ;0-5;0.778;0-10;8;Control;00000008.DAT;uninfected;uninfected;32,9;0;
Y34;10:50-11:20;3;B;1;0.250;0-30;0.0952;0-30;0.0912;5-30;0.0852;10-30;0.117 ;0-5;0.116;0-10;1;CM;00000009.DAT;infected;infected;31,2;120;
B65;10:50-11:20;3;B;2;0.606;0-30;0.563;0-30;0.565;5-30;0.557;10-30;0.543 ;0-5;0.570;0-10;2;CM;00000009.DAT;uninfected;uninfected;33,5;0;
Y59;10:50-11:20;3;B;4;0.126;0-30;0.135 ;0-30;0.147;5-30;0.0950;10-30;0.0777;0-5;0.218;0-10;3;HS;00000009.DAT;infected;infected;33,3;6;
B35;10:50-11:20;3;B;7;0.242;0-30;0.206;0-30;0.123;5-30;0.0287;10-30;0.627 ;0-5;0.564;0-10;4;HS;00000009.DAT;uninfected;uninfected;28,2;0;
Y56;10:50-11:20;3;A;1;0.691;0-30;0.681;0-30;0.782 ;5-30;0.847 ;10-30; 0.164;0-5;0.344;0-10;5;HT;00000009.DAT;infected;infected;32;31;
B37;10:50-11:20;3;A;3;0.469;0-30;0.463;0-30;0.432 ;5-30;0.363;10-30;0.618;0-5;0.661;0-10;6;HT;00000009.DAT;uninfected;uninfected;32;0;
Y31;10:50-11:20;3;A;4;0.451;0-30;0.429;0-30;0.463;5-30;0.476;10-30;0.262;0-5;0.338;0-10;7;Control;00000009.DAT;infected;infected;29;8;
B12;10:50-11:20;3;A;7;0.573;0-30;0.590;0-30;0.563;5-30;0.541;10-30;0.733;0-5;0.692;0-10;8;Control;00000009.DAT;uninfected;uninfected;32,1;0;
G29;12:55-13:25;4;B;8;0.572;0-30;0.539;0-30;0.620;5-30;0.704;10-30;0.120 ;0-5;0.202;0-10;1;CM;00000010.DAT;infected;infected;34;11;
P63;12:55-13:25;4;B;2;0.469;0-30;0.469;0-30;0.504 ;5-30;0.539;10-30;0.289 ;0-5;0.328;0-10;2;CM;00000010.DAT;uninfected;uninfected;29,3;0;
G64;12:55-13:25;4;B;4;0.503;0-30;0.506;0-30;0.599;5-30;0.733;10-30;0.0282;0-5;0.0468;0-10;3;HS;00000010.DAT;infected;infected;32,4;46;
P27;12:55-13:25;4;B;7;0.585;0-30;0.583;0-30;0.675;5-30;0.769;10-30;0.111 ;0-5;0.204;0-10;4;HS;00000010.DAT;uninfected;uninfected;34;0;
G30;12:55-13:25;4;A;1;0.433;0-30;0.414;0-30;0.494;5-30;0.614;10-30;0.0121;0-5;0.0144;0-10;5;HT;00000010.DAT;infected;infected;31;20;
P10;12:55-13:25;4;A;3;0.569;0-30;0.625;0-30;0.616;5-30;0.556;10-30;0.682 ;0-5;0.769;0-10;6;HT;00000010.DAT;uninfected;uninfected;30;0;
G86;12:55-13:25;4;A;4;0.476;0-30;0.451;0-30;0.471;5-30;0.431;10-30;0.365;0-5;0.497;0-10;7;Control;00000010.DAT;infected;infected;31;17;
P62;12:55-13:25;4;A;7;0.793;0-30;0.796;0-30;0.806;5-30;0.775;10-30;0.760;0-5;0.845;0-10;8;Control;00000010.DAT;uninfected;uninfected;34;0;
Y19;14:50-15:20;5;B;8;0.641;0-30;0.635;0-30;0.726;5-30;0.771;10-30;0.183 ;0-5;0.364;0-10;1;CM;00000011.DAT;infected;infected;32,8;31;
P28;14:50-15:20;5;B;2;0.455;0-30;0.486;0-30;0.502;5-30;0.522;10-30;0.401;0-5;0.411;0-10;2;CM;00000011.DAT;uninfected;uninfected;30;0;
Y38;14:50-15:20;5;B;4;0.359;0-30;0.362;0-30;0.376;5-30;0.422;10-30;0.279 ;0-5;0.237;0-10;3;HS;00000011.DAT;infected;infected;32,2;9;
P58;14:50-15:20;5;B;7;0.466;0-30;0.453;0-30;0.540;5-30;0.670;10-30;0.00854;0-5;0.0139;0-10;4;HS;00000011.DAT;uninfected;uninfected;34,6;0;
Y58;14:50-15:20;5;A;1;0.511;0-30;0.478;0-30;0.514;5-30;0.561;10-30;0.308 ;0-5;0.317;0-10;5;HT;00000011.DAT;infected;infected;32,4;10;
P21;14:50-15:20;5;A;3;0.430;0-30;0.408;0-30;0.468;5-30;0.512;10-30;0.106;0-5;0.199;0-10;6;HT;00000011.DAT;uninfected;uninfected;34,8;0;
Y17;14:50-15:20;5;A;4;0.675;0-30;0.676;0-30;0.738;5-30;0.758;10-30;0.358 ;0-5;0.507;0-10;7;Control;00000011.DAT;infected;infected;29,1;30;
P35;14:50-15:20;5;A;7;0.429;0-30;0.430;0-30;0.367;5-30;0.277;10-30;0.754;0-5;0.742;0-10;8;Control;00000011.DAT;uninfected;uninfected;30,8;0;
Y12;16:15-16:45;6;B;8;0.433;0-30;0.434;0-25;0.401;5-30;0.325;10-30;0.569 ;0-5;0.605;0-10;1;CM;00000012.DAT;infected;infected;34,8;401;25min
B96;16:15-16:45;6;B;2;0.443;0-30;0.421;0-25;0.519;5-30;0.659;10-30;0.0173;0-5;0.0502;0-10;2;CM;00000012.DAT;uninfected;uninfected;34,9;0;25min
Y39;16:15-16:45;6;B;4;0.762;0-30;0.762 ;0-25;0.881;5-30;0.934 ;10-30;0.268 ;0-5;0.492;0-10;3;HS;00000012.DAT;infected;infected;30;5;25min
B99;16:15-16:45;6;B;7;0.694;0-30;0.663;0-25;0.771;5-30;0.770;10-30;0.218 ;0-5;0.495;0-10;4;HS;00000012.DAT;uninfected;uninfected;31;0;25min
Y36;16:15-16:45;6;A;1;0.657;0-30;0.674;0-30;0.682;5-30;0.621;10-30;0.635;0-5;0.773;0-10;5;HT;00000012.DAT;infected;infected;31,1;4;
B21;16:15-16:45;6;A;3;0.387;0-30;0.350;0-30;0.421;5-30;0.493 ;10-30;0.0116;0-5;0.0801;0-10;6;HT;00000012.DAT;uninfected;uninfected;32,1;0;
Y20;16:15-16:45;6;A;4;0.684;0-30;0.696;0-30;0.781;5-30;0.832;10-30;0.290 ;0-5;0.439;0-10;7;Control;00000012.DAT;infected;infected;34,3;4;
B60;16:15-16:45;6;A;7;0.579;0-30;0.673;0-30;0.671;5-30;0.657;10-30;0.681 ;0-5;0.702;0-10;8;Control;00000012.DAT;uninfected;uninfected;32,1;0;
G61;11:15-11:45;7;B;8;0.547;0-30;0.560;0-30;0.497;5-30;0.439;10-30;0.879 ;0-5;0.805;0-10;1;CM;00000013.DAT;infected;infected;34,7;13;
P7;11:15-11:45;7;B;2;0.245;0-30;0.240;0-30;0.258;5-30;0.304;10-30;0.140 ;0-5;0.108;0-10;2;CM;00000013.DAT;uninfected;uninfected;30,8;0;
G62;11:15-11:45;7;B;4;0.407;0-30;0.403;0-30;0.481;5-30;0.599;10-30;0.00486;0-5;0.00781;0-10;3;HS;00000013.DAT;infected;infected;32,3;7;
P38;11:15-11:45;7;B;7;0.615;0-30;0.610;0-30;0.714;5-30;0.800;10-30; 0.0844 ;0-5;0.228;0-10;4;HS;00000013.DAT;uninfected;uninfected;34,6;0;
G13;11:15-11:45;7;A;1;0.678;0-30;0.667;0-30;0.771;5-30;0.819 ;10-30;0.139 ;0-5;0.358 ;0-10;5;HT;00000013.DAT;infected;infected;32,9;14;
P70;11:15-11:45;7;A;3;0.463;0-30;0.427;0-30;0.512;5-30;0.604;10-30;0.0114;0-5;0.0782;0-10;6;HT;00000013.DAT;uninfected;uninfected;34;0;
G82;11:15-11:45;7;A;4;0.683;0-30;0.705;0-30;0.763;5-30;0.748;10-30;0.412 ;0-5;0.618;0-10;7;Control;00000013.DAT;infected;infected;29,5;18;
P88;11:15-11:45;7;A;7;0.714;0-30;0.704;0-30;0.805;5-30;0.826;10-30;0.201;0-5;0.461;0-10;8;Control;00000013.DAT;uninfected;uninfected;33,5;0;
G69;12:35-13:05;8;B;8;0.523;0-30;0.532;0-30;0.614;5-30;0.689;10-30;0.112 ;0-5;0.214;0-10;1;CM;00000014.DAT;infected;infected;34,9;16;
B49;12:35-13:05;8;B;2;0.136;0-30;0.111;0-30;0.133;5-30;0.165;10-30;0.00157;0-5;0.00214;0-10;2;CM;00000014.DAT;uninfected;uninfected;32,1;0;
G76;12:35-13:05;8;B;4;0.278;0-30;0.236;0-30;0.271;5-30;0.323;10-30;0.0543 ;0-5;0.0566 ;0-10;3;HS;00000014.DAT;infected;infected;33,3;6;
