Year;Month;Day;Hour;Minute;Second;Ch1;Ch2;Ch3;Ch4;Ch5;Ch6;Ch7;Ch8;batt_mV
2025;7;1;14;55;0;1618;0;1429;2242;42;250;2698;105;5503
2025;7;1;14;55;10;1618;0;1401;2239;42;251;2699;104;5503
2025;7;1;14;55;20;1617;1;1407;2209;42;250;2697;104;5503
2025;7;1;14;55;30;1647;0;1407;2053;42;251;2698;104;5503
2025;7;1;14;55;40;1647;1;1417;1925;42;251;2697;104;5503
2025;7;1;14;55;50;1650;0;1419;1907;43;250;2697;104;5503
2025;7;1;14;56;0;1648;0;1423;1891;40;251;2696;104;5503
2025;7;1;14;56;10;1647;0;1424;1893;42;251;2694;105;5503
2025;7;1;14;56;20;1625;0;1423;1892;43;252;2697;104;5503
2025;7;1;14;56;30;1591;1;1423;2256;42;251;2695;104;5503
2025;7;1;14;56;40;1555;0;1423;2258;42;251;2694;104;5503
2025;7;1;14;56;50;1551;0;1423;2248;42;251;2694;104;5503
2025;7;1;14;57;0;1525;0;1423;2256;42;251;2694;104;5503
2025;7;1;14;57;10;1508;0;1423;2253;42;252;2693;104;5503
2025;7;1;14;57;20;1499;1;1424;2247;42;251;2692;104;5503
2025;7;1;14;57;30;1497;0;1423;2239;43;252;2692;104;5503
2025;7;1;14;57;40;1486;0;1423;2246;42;251;2692;104;5503
2025;7;1;14;57;50;1444;0;1423;2244;42;252;2692;104;5503
2025;7;1;14;58;0;1450;0;1423;2267;42;251;2692;104;5503
2025;7;1;14;58;10;1482;0;1437;2268;42;252;2692;104;5503
2025;7;1;14;58;20;1482;0;1448;2265;42;252;2690;104;5503
2025;7;1;14;58;30;1497;0;1447;2258;43;252;2692;104;5503
2025;7;1;14;58;40;1497;0;1448;2071;43;253;2690;104;5503
2025;7;1;14;58;50;1496;0;1447;1926;42;253;2690;104;5503
2025;7;1;14;59;0;1494;0;1447;1904;42;253;2690;104;5503
2025;7;1;14;59;10;1474;0;1446;1872;42;253;2690;104;5503
2025;7;1;14;59;20;1460;0;1445;1835;42;252;2688;104;5503
2025;7;1;14;59;30;1710;1;1447;2054;42;253;2688;103;5503
2025;7;1;14;59;40;1750;0;1446;1936;42;253;2688;103;5503
2025;7;1;14;59;50;1756;0;1446;1931;43;253;2688;104;5503
2025;7;1;15;0;0;1752;0;1447;1918;43;253;2688;104;5503
2025;7;1;15;0;10;1749;2;1447;1893;42;252;2687;104;5503
2025;7;1;15;0;20;1747;0;1445;1851;42;253;2686;103;5503
2025;7;1;15;0;30;1742;0;1445;1827;43;253;2686;105;5503
2025;7;1;15;0;40;1739;0;1445;1874;42;253;2686;104;5503
2025;7;1;15;0;50;1735;1;1446;1859;43;254;2686;104;5503
2025;7;1;15;1;0;1730;0;1458;1841;43;255;2684;104;5503
