Year,Month,Day,Hour,Minute,Second,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,batt_mV
2025,07,15,13,50,00,1813,0,3675,1752,41,257,2409,173,5512
2025,07,15,13,50,10,1748,0,3690,1687,41,258,2483,173,5512
2025,07,15,13,50,20,1689,0,3689,1603,41,257,2475,172,5512
2025,07,15,13,50,30,1580,1,3686,1507,41,257,2451,173,5512
2025,07,15,13,50,40,1546,0,3661,1413,40,255,2427,173,5512
2025,07,15,13,50,50,1532,0,3664,1309,41,257,2419,172,5512
2025,07,15,13,51,00,1473,1,3647,1250,41,258,2404,173,5512
2025,07,15,13,51,10,1422,0,3656,1221,41,257,2416,173,5512
2025,07,15,13,51,20,1388,0,3643,1239,42,257,2413,173,5512
2025,07,15,13,51,30,1366,0,3577,1408,41,257,2371,173,5512
2025,07,15,13,51,40,1329,0,3519,1423,42,257,2369,173,5512
2025,07,15,13,51,50,1308,0,3473,1420,41,257,2505,173,5512
2025,07,15,13,52,00,1306,2,3448,1332,41,257,2500,173,5512
2025,07,15,13,52,10,1303,0,3415,1328,41,257,2496,173,5512
2025,07,15,13,52,20,1296,1,3403,1314,41,257,2495,173,5512
2025,07,15,13,52,30,1293,0,3345,1270,41,251,2492,173,5512
2025,07,15,13,52,40,1289,0,3346,1275,40,262,2493,173,5512
2025,07,15,13,52,50,1292,1,3332,1249,40,247,2492,173,5512
2025,07,15,13,53,00,1292,0,3389,1214,42,257,2491,173,5512
2025,07,15,13,53,10,1291,1,3373,1187,41,251,2501,173,5507
2025,07,15,13,53,20,1290,0,3323,1178,41,250,2499,173,5512
2025,07,15,13,53,30,1289,2,3362,1185,40,246,2498,174,5512
2025,07,15,13,53,40,1288,0,3363,1182,41,238,2495,173,5512
2025,07,15,13,53,50,1288,0,3274,1166,42,247,2494,173,5512
2025,07,15,13,54,00,1288,0,3258,1167,41,251,2493,174,5512
2025,07,15,13,54,10,1286,1,3280,1165,40,251,2495,173,5512
2025,07,15,13,54,20,1288,0,3275,1166,42,251,2495,173,5512
2025,07,15,13,54,30,1287,1,3272,1173,40,251,2497,173,5512
2025,07,15,13,54,40,1287,1,3334,1194,40,251,2494,173,5512
2025,07,15,13,54,50,1286,1,3369,1194,40,251,2482,173,5512
2025,07,15,13,55,00,1285,2,3374,1192,41,253,2472,174,5512
2025,07,15,13,55,10,1284,1,3376,1180,41,253,2453,173,5512
2025,07,15,13,55,20,1285,0,3375,1234,41,253,2365,174,5512
2025,07,15,13,55,30,1283,0,3368,1156,41,253,2493,173,5512
2025,07,15,13,55,40,1283,0,3308,1123,42,253,2487,173,5512
2025,07,15,13,55,50,1282,1,3310,1132,42,253,2453,173,5512
2025,07,15,13,56,00,1284,1,3365,1188,41,253,2370,173,5512
2025,07,15,13,56,10,1282,0,3363,1196,42,254,2382,173,5517
2025,07,15,13,56,20,1285,0,3252,1195,41,255,2374,173,5512
2025,07,15,13,56,30,1294,0,3242,1194,41,254,2500,173,5512
2025,07,15,13,56,40,1295,1,3214,1191,41,254,2496,173,5512
2025,07,15,13,56,50,1294,1,3229,1187,42,254,2491,173,5512
2025,07,15,13,57,00,1294,0,3243,1202,41,255,2489,173,5512
2025,07,15,13,57,10,1294,0,3231,1208,40,255,2484,174,5512
2025,07,15,13,57,20,1294,3,3219,1216,41,255,2440,173,5517
2025,07,15,13,57,30,1293,0,3268,1219,42,255,2401,173,5512
2025,07,15,13,57,40,1294,0,3292,1229,41,255,2375,173,5512
2025,07,15,13,57,50,1294,0,3307,1260,41,255,2491,173,5512
2025,07,15,13,58,00,1313,0,3321,1264,41,255,2482,173,5512
2025,07,15,13,58,10,1312,0,3317,1264,42,255,2478,173,5512
2025,07,15,13,58,20,1311,1,3281,1264,41,255,2449,174,5512
2025,07,15,13,58,30,1310,0,3275,1264,40,255,2382,173,5512
2025,07,15,13,58,40,1311,0,3197,1263,42,255,2323,173,5517
2025,07,15,13,58,50,1417,0,3198,1263,41,255,2314,173,5512
2025,07,15,13,59,00,1413,0,3199,1262,42,255,2281,173,5512
2025,07,15,13,59,10,1410,0,3224,1267,41,254,2243,173,5512
2025,07,15,13,59,20,1406,1,3223,1271,41,255,2238,173,5512
2025,07,15,13,59,30,1401,0,3185,1284,41,256,2498,173,5512
2025,07,15,13,59,40,1400,1,3173,1297,42,255,2491,173,5512
2025,07,15,13,59,50,1397,0,3176,1302,43,256,2485,173,5512
2025,07,15,14,00,00,1401,0,3149,1318,41,251,2481,175,5512
2025,07,15,14,00,10,1402,1,3190,1364,41,256,2476,173,5512
2025,07,15,14,00,20,1415,0,3287,1397,41,257,2485,174,5512
2025,07,15,14,00,30,1415,1,3309,1470,41,249,2483,173,5512
2025,07,15,14,00,40,1411,1,3314,1469,41,245,2459,173,5512
2025,07,15,14,00,50,1404,0,3312,1471,41,235,2369,174,5512
2025,07,15,14,01,00,1398,0,3291,1471,40,251,2325,174,5512
2025,07,15,14,01,10,1399,0,3289,1478,41,244,2286,174,5512
2025,07,15,14,01,20,1400,0,3276,1485,41,249,2256,173,5512
2025,07,15,14,01,30,1402,0,3288,1485,41,249,2236,173,5512
2025,07,15,14,01,40,1401,0,3305,1499,41,250,2201,173,5512
2025,07,15,14,01,50,1400,0,3304,1508,41,249,2187,174,5512
2025,07,15,14,02,00,1398,0,3310,1539,41,250,2181,174,5512
2025,07,15,14,02,10,1396,0,3313,1551,41,250,2140,174,5517
2025,07,15,14,02,20,1396,1,3318,1550,42,251,2145,173,5512
2025,07,15,14,02,30,1393,1,3318,1550,42,250,2138,173,5512
2025,07,15,14,02,40,1392,0,3309,1550,41,251,2121,174,5517
2025,07,15,14,02,50,1385,0,3380,1548,41,251,2093,174,5517
2025,07,15,14,03,00,1379,0,3417,1550,42,253,2085,174,5517
2025,07,15,14,03,10,1374,1,3453,1579,41,253,2083,173,5517
2025,07,15,14,03,20,1372,0,3449,1577,41,252,2489,173,5517
2025,07,15,14,03,30,1367,0,3333,1576,42,253,2485,174,5517
2025,07,15,14,03,40,1365,1,3269,1571,41,253,2476,173,5512
2025,07,15,14,03,50,1363,1,3238,1568,41,253,2471,173,5512
2025,07,15,14,04,00,1361,3,3204,1559,40,253,2466,173,5512
2025,07,15,14,04,10,1365,0,3238,1552,42,254,2465,173,5517
2025,07,15,14,04,20,1364,0,3238,1548,42,254,2461,173,5512
2025,07,15,14,04,30,1365,0,3235,1576,42,254,2429,173,5517
2025,07,15,14,04,40,1364,0,3215,1586,41,254,2443,172,5517
2025,07,15,14,04,50,1363,1,3233,1585,41,254,2396,173,5517
2025,07,15,14,05,00,1363,0,3232,1583,41,253,2323,173,5512
2025,07,15,14,05,10,1361,0,3228,1581,41,254,2299,173,5517
2025,07,15,14,05,20,1362,1,3157,1578,42,252,2263,173,5517
2025,07,15,14,05,30,1362,0,3134,1576,41,255,2243,173,5512
2025,07,15,14,05,40,1360,1,3127,1576,41,255,2224,173,5512
2025,07,15,14,05,50,1361,0,3085,1574,41,255,2225,173,5517
2025,07,15,14,06,00,1360,0,3112,1613,41,255,2247,173,5517
2025,07,15,14,06,10,1360,0,3224,1612,41,255,2246,173,5517
2025,07,15,14,06,20,1360,1,3301,1613,41,255,2230,173,5517
2025,07,15,14,06,30,1359,1,3300,1613,42,255,2215,173,5512
2025,07,15,14,06,40,1359,0,3300,1616,41,255,2214,174,5512
2025,07,15,14,06,50,1373,1,3291,1615,42,255,2187,173,5517
2025,07,15,14,07,00,1387,0,3234,1615,42,255,2145,174,5517
2025,07,15,14,07,10,1420,0,3236,1613,41,255,2121,173,5517
2025,07,15,14,07,20,1432,0,3223,1597,41,255,2119,174,5517
2025,07,15,14,07,30,1445,1,3204,1605,41,255,2118,173,5517
2025,07,15,14,07,40,1445,1,3193,1601,41,255,2116,173,5512
2025,07,15,14,07,50,1445,0,3204,1599,41,253,2123,173,5512
2025,07,15,14,08,00,1443,2,3203,1591,41,256,2129,173,5517
2025,07,15,14,08,10,1443,0,3207,1587,42,256,2128,173,5517
2025,07,15,14,08,20,1442,0,3224,1599,40,253,2126,173,5517
2025,07,15,14,08,30,1440,0,3223,1597,42,249,2483,174,5512
2025,07,15,14,08,40,1440,0,3270,1597,40,239,2461,173,5512
2025,07,15,14,08,50,1442,0,3282,1595,41,245,2451,174,5512
2025,07,15,14,09,00,1441,1,3331,1593,41,239,2449,174,5517
2025,07,15,14,09,10,1441,1,3359,1595,41,249,2448,174,5517
2025,07,15,14,09,20,1445,0,3363,1601,41,247,2444,173,5512
2025,07,15,14,09,30,1444,0,3363,1601,41,247,2399,173,5517
2025,07,15,14,09,40,1443,0,3369,1629,42,248,2367,173,5517
2025,07,15,14,09,50,1443,0,3367,1628,40,250,2302,174,5512
2025,07,15,14,10,00,1443,0,3360,1628,41,249,2276,173,5517
2025,07,15,14,10,10,1442,1,3360,1626,41,250,2269,173,5517
2025,07,15,14,10,20,1442,0,3362,1625,40,250,2245,173,5512
2025,07,15,14,10,30,1451,0,3354,1625,41,251,2239,174,5512
2025,07,15,14,10,40,1450,1,3336,1630,41,250,2233,173,5517
2025,07,15,14,10,50,1449,1,3270,1641,41,251,2227,174,5517
2025,07,15,14,11,00,1447,0,3291,1648,40,251,2225,173,5517
2025,07,15,14,11,10,1447,0,3289,1647,42,251,2208,174,5517
2025,07,15,14,11,20,1447,0,3277,1646,40,251,2139,173,5517
2025,07,15,14,11,30,1447,0,3258,1646,41,252,2112,173,5517
2025,07,15,14,11,40,1447,0,3254,1645,41,252,2065,173,5517
2025,07,15,14,11,50,1448,1,3239,1636,42,252,2063,173,5517
2025,07,15,14,12,00,1448,0,3247,1623,41,252,2063,174,5517
2025,07,15,14,12,10,1461,0,3238,1621,41,252,2063,173,5517
2025,07,15,14,12,20,1461,0,3200,1617,41,252,2059,174,5512
2025,07,15,14,12,30,1460,0,3197,1592,41,253,2057,173,5517
2025,07,15,14,12,40,1459,1,3225,1580,41,253,2063,173,5517
2025,07,15,14,12,50,1459,1,3224,1581,40,253,2454,174,5517
2025,07,15,14,13,00,1459,0,3211,1581,41,253,2407,172,5517
2025,07,15,14,13,10,1461,0,3144,1583,41,253,2383,174,5517
2025,07,15,14,13,20,1889,0,3114,1584,41,253,2353,173,5517
2025,07,15,14,13,30,1890,0,3100,1583,41,253,2283,173,5517
2025,07,15,14,13,40,1886,0,3107,1584,41,253,2305,173,5512
2025,07,15,14,13,50,1880,0,3095,1584,41,254,2284,173,5517
2025,07,15,14,14,00,1874,0,3055,1583,41,253,2427,174,5517
2025,07,15,14,14,10,1874,1,3087,1587,40,254,2415,174,5512
2025,07,15,14,14,20,1870,0,3160,1586,41,254,2392,173,5512
2025,07,15,14,14,30,1867,0,3160,1592,41,253,2337,174,5517
2025,07,15,14,14,40,1865,1,3169,1593,41,254,2234,173,5517
2025,07,15,14,14,50,1863,0,3178,1593,41,254,2180,173,5512
2025,07,15,14,15,00,1859,1,3181,1592,41,253,2182,173,5517
2025,07,15,14,15,10,1854,1,3180,1592,41,256,2127,173,5517
2025,07,15,14,15,20,1811,0,3184,1592,42,253,2120,173,5512
2025,07,15,14,15,30,1692,1,3186,1590,41,244,2074,174,5517
2025,07,15,14,15,40,1615,0,3192,1588,41,253,2120,174,5512
2025,07,15,14,15,50,1573,0,3197,1584,41,251,2117,174,5517
2025,07,15,14,16,00,1564,0,3201,1582,41,247,2117,174,5517
2025,07,15,14,16,10,1560,0,3209,1576,41,251,2124,174,5517
2025,07,15,14,16,20,1554,0,3206,1570,41,249,2125,175,5517
2025,07,15,14,16,30,1545,0,3198,1560,41,231,2110,175,5517
2025,07,15,14,16,40,1530,0,3182,1567,41,247,2098,175,5517
2025,07,15,14,16,50,1538,0,3191,1668,40,248,2163,174,5517
2025,07,15,14,17,00,1537,1,3183,1668,41,248,2158,173,5517
2025,07,15,14,17,10,1534,0,3178,1665,41,248,2155,171,5517
2025,07,15,14,17,20,1550,1,3175,1659,42,249,2151,174,5512
2025,07,15,14,17,30,1572,0,3188,1646,41,249,2144,174,5517
2025,07,15,14,17,40,1832,0,3211,1626,41,249,2129,174,5517
2025,07,15,14,17,50,1822,0,3203,1607,41,249,2095,174,5517
2025,07,15,14,18,00,1812,0,3219,1597,41,249,2053,173,5517
2025,07,15,14,18,10,1804,0,3217,1591,41,250,2014,173,5517
2025,07,15,14,18,20,1799,0,3214,1594,41,251,1988,174,5517
2025,07,15,14,18,30,1796,0,3213,1592,41,251,1967,173,5517
2025,07,15,14,18,40,1795,0,3212,1590,41,251,1978,174,5517
2025,07,15,14,18,50,1798,0,3210,1587,43,251,2408,174,5517
2025,07,15,14,19,00,1814,0,3214,1585,41,251,2412,173,5517
2025,07,15,14,19,10,1812,0,3220,1588,41,251,2392,173,5517
2025,07,15,14,19,20,1810,0,3219,1588,41,251,2380,174,5517
2025,07,15,14,19,30,1810,1,3218,1592,41,251,2365,173,5517
2025,07,15,14,19,40,1809,0,3203,1592,42,252,2304,174,5517
2025,07,15,14,19,50,1808,1,3204,1591,41,252,2253,174,5517
2025,07,15,14,20,00,1823,0,3211,1589,41,253,2267,173,5517
