Year,Month,Day,Hour,Minute,Second,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,batt_mV
2025,07,01,14,55,00,2492,3546,46,2540,4,3655,1840,3681,4632
2025,07,01,14,55,10,2491,3544,46,2542,5,3656,1828,3680,4632
2025,07,01,14,55,20,2492,3541,46,2543,4,3655,1815,3679,4632
2025,07,01,14,55,30,2490,3548,45,2542,5,3653,1806,3681,4632
2025,07,01,14,55,40,2491,3555,46,2539,3,3656,1803,3680,4632
2025,07,01,14,55,50,2490,3582,45,2537,4,3656,1799,3680,4632
2025,07,01,14,56,00,2490,3580,45,2534,4,3655,1793,3680,4632
2025,07,01,14,56,10,2491,3578,45,2532,3,3653,1787,3679,4632
2025,07,01,14,56,20,2490,3580,45,2531,5,3655,1775,3680,4632
2025,07,01,14,56,30,2492,3580,46,2527,4,3655,1759,3680,4632
2025,07,01,14,56,40,2492,3581,45,2526,4,3654,1758,3681,4627
2025,07,01,14,56,50,2492,3577,46,2525,5,3654,1757,3679,4632
2025,07,01,14,57,00,2489,3578,46,2522,4,3656,1757,3679,4632
2025,07,01,14,57,10,2490,3600,45,2512,4,3653,1754,3679,4632
2025,07,01,14,57,20,2490,3600,44,2512,4,3655,1755,3680,4632
2025,07,01,14,57,30,2490,3597,45,2509,4,3656,1752,3681,4632
2025,07,01,14,57,40,2490,3598,45,2510,4,3655,1750,3680,4627
2025,07,01,14,57,50,2489,3599,46,2509,4,3655,1746,3679,4632
2025,07,01,14,58,00,2490,3598,46,2507,2,3656,1746,3680,4632
2025,07,01,14,58,10,2491,3600,45,2504,5,3655,1740,3681,4627
2025,07,01,14,58,20,2489,3600,45,2504,4,3656,1719,3680,4632
2025,07,01,14,58,30,2490,3601,44,2504,4,3656,1718,3680,4632
2025,07,01,14,58,40,2490,3600,46,2502,4,3656,1722,3680,4632
2025,07,01,14,58,50,2492,3556,46,2502,4,3655,1721,3680,4632
2025,07,01,14,59,00,2489,3528,45,2502,4,3656,1707,3679,4632
2025,07,01,14,59,10,2489,3521,45,2499,3,3656,1719,3681,4632
2025,07,01,14,59,20,2492,3524,45,2500,4,3655,1745,3680,4632
2025,07,01,14,59,30,2489,3525,45,2496,4,3654,1745,3680,4632
2025,07,01,14,59,40,2491,3523,46,2497,5,3655,1742,3680,4627
2025,07,01,14,59,50,2490,3523,45,2495,5,3656,1737,3679,4632
2025,07,01,15,00,00,2491,3524,45,2496,4,3655,1735,3681,4632
2025,07,01,15,00,10,2492,3523,47,2489,5,3656,1727,3680,4632
2025,07,01,15,00,20,2489,3523,46,2480,4,3656,1711,3680,4632
2025,07,01,15,00,30,2492,3521,44,2486,5,3656,1694,3680,4632
2025,07,01,15,00,40,2489,3524,45,2485,4,3656,1693,3681,4632
2025,07,01,15,00,50,2490,3520,46,2488,5,3655,1682,3682,4632
2025,07,01,15,01,00,2492,3517,45,2485,3,3656,1674,3681,4632
2025,07,01,15,01,10,2490,3523,45,2486,4,3655,1672,3680,4632
2025,07,01,15,01,20,2491,3523,46,2488,5,3656,1667,3681,4632
2025,07,01,15,01,30,2490,3522,45,2495,4,3654,1655,3681,4632
2025,07,01,15,01,40,2489,3521,45,2551,4,3656,1627,3681,4632
2025,07,01,15,01,50,2490,3547,45,2548,5,3656,1604,3681,4632
2025,07,01,15,02,00,2492,3546,46,2547,4,3655,1579,3679,4632
2025,07,01,15,02,10,2490,3547,46,2546,4,3656,1584,3680,4632
2025,07,01,15,02,20,2490,3545,45,2547,5,3656,1589,3681,4632
2025,07,01,15,02,30,2490,3543,45,2545,4,3656,1592,3680,4632
2025,07,01,15,02,40,2490,3541,46,2549,4,3654,1590,3680,4627
2025,07,01,15,02,50,2490,3542,45,2548,4,3654,1591,3679,4632
2025,07,01,15,03,00,2490,3550,46,2548,4,3656,1592,3681,4632
2025,07,01,15,03,10,2490,3550,45,2546,4,3656,1592,3681,4632
2025,07,01,15,03,20,2490,3549,45,2545,4,3655,1593,3680,4632
2025,07,01,15,03,30,2490,3547,45,2543,5,3655,1591,3680,4632
2025,07,01,15,03,40,2491,3547,46,2545,4,3656,1590,3681,4632
2025,07,01,15,03,50,2490,3547,45,2547,4,3655,1586,3680,4632
2025,07,01,15,04,00,2491,3546,45,2547,5,3655,1588,3680,4632
2025,07,01,15,04,10,2491,3548,46,2547,4,3655,1592,3681,4632
2025,07,01,15,04,20,2491,3546,46,2546,5,3655,1590,3680,4632
2025,07,01,15,04,30,2492,3510,46,2544,5,3656,1590,3681,4632
2025,07,01,15,04,40,2490,3483,46,2546,5,3656,1589,3680,4632
2025,07,01,15,04,50,2490,3483,44,2544,5,3656,1581,3681,4632
2025,07,01,15,05,00,2490,3480,46,2545,5,3655,1577,3680,4632
2025,07,01,15,05,10,2490,3479,46,2544,4,3656,1575,3680,4632
2025,07,01,15,05,20,2490,3483,45,2543,4,3656,1576,3681,4632
2025,07,01,15,05,30,2490,3480,45,2544,4,3656,1573,3680,4632
2025,07,01,15,05,40,2490,3475,47,2545,4,3655,1576,3679,4632
2025,07,01,15,05,50,2490,3455,46,2545,4,3655,1577,3680,4632
2025,07,01,15,06,00,2490,3463,46,2546,4,3656,1577,3680,4632
2025,07,01,15,06,10,2490,3467,46,2546,4,3655,1575,3681,4632
2025,07,01,15,06,20,2491,3849,44,2546,4,3655,1574,3681,4632
2025,07,01,15,06,30,2490,3716,45,2544,4,3656,1569,3680,4632
2025,07,01,15,06,40,2492,3627,45,2545,4,3657,1564,3680,4642
2025,07,01,15,06,50,2490,3635,46,2543,4,3656,1561,3680,4632
2025,07,01,15,07,00,2490,3638,44,2546,4,3656,1554,3680,4632
2025,07,01,15,07,10,2490,3635,45,2543,4,3655,1537,3679,4632
2025,07,01,15,07,20,2491,3632,44,2546,5,3654,1547,3681,4632
2025,07,01,15,07,30,2492,3587,46,2544,4,3655,1544,3679,4632
2025,07,01,15,07,40,2491,3529,45,2545,4,3655,1544,3680,4632
2025,07,01,15,07,50,2491,3493,47,2545,3,3655,1542,3680,4632
2025,07,01,15,08,00,2493,3458,45,2545,4,3655,1538,3679,4632
2025,07,01,15,08,10,2492,3430,45,2543,5,3654,1536,3680,4632
2025,07,01,15,08,20,2493,3416,45,2545,4,3655,1537,3680,4632
2025,07,01,15,08,30,2479,3409,45,2545,4,3655,1533,3681,4632
2025,07,01,15,08,40,2457,3410,46,2543,4,3654,1531,3680,4632
2025,07,01,15,08,50,2475,3421,45,2545,4,3655,1521,3679,4632
2025,07,01,15,09,00,2479,3423,45,2544,4,3655,1520,3679,4632
2025,07,01,15,09,10,2485,3419,46,2544,4,3656,1534,3680,4632
2025,07,01,15,09,20,2489,3418,46,2544,4,3656,1542,3680,4632
2025,07,01,15,09,30,2490,3421,46,2542,4,3655,1545,3679,4632
2025,07,01,15,09,40,2490,3418,44,2544,4,3656,1545,3679,4632
2025,07,01,15,09,50,2488,3432,46,2544,4,3654,1547,3680,4632
2025,07,01,15,10,00,2490,3431,46,2544,5,3656,1545,3680,4618
2025,07,01,15,10,10,2491,3617,46,2544,4,3654,1545,3680,4632
2025,07,01,15,10,20,2489,3783,45,2544,5,3656,1543,3680,4632
