Mussel_ID;id;Rep;Length(mm);Time_Machine;Time_real;Sensor_ID;Line_ID;Beaker_ID;Group;P_Status;Status;Intensity;Note
G65;Mussel_1;1;31.2;8:45-9:15;10:45-11:15;A;A1;1;CM;infected;infected;8;
P88;Mussel_2;1;33.5;8:45-9:15;10:45-11:15;A;A2;2;CM;uninfected;uninfected;0;
G48;Mussel_3;1;34.4;8:45-9:15;10:45-11:15;A;A3;3;HT;infected;infected;5;
P41;Mussel_4;1;28.9;8:45-9:15;10:45-11:15;A;A4;4;HT;uninfected;uninfected;0;
G84;Mussel_5;1;33.3;8:45-9:15;10:45-11:15;A;A5;5;HS;infected;infected;13;
P5;Mussel_6;1;33.5;8:45-9:15;10:45-11:15;A;A6;6;HS;uninfected;uninfected;0;
G51;Mussel_7;1;34;8:45-9:15;10:45-11:15;A;A7;7;Control;infected;infected;16;
P64;Mussel_8;1;30.6;8:45-9:15;10:45-11:15;A;A8;8;Control;uninfected;uninfected;0;
G18;Mussel_11;2;33;9:36-10:06;11:36-12:06;B;B1;9;CM;infected;infected;11;
P7;Mussel_12;2;30.8;9:36-10:06;11:36-12:06;B;B2;10;CM;uninfected;uninfected;0;
G52;Mussel_13;2;31.5;9:36-10:06;11:36-12:06;B;B3;11;HT;infected;infected;8;
P38;Mussel_14;2;34.6;9:36-10:06;11:36-12:06;B;B4;12;HT;uninfected;uninfected;0;
G35;Mussel_15;2;34.2;9:36-10:06;11:36-12:06;B;B5;13;HS;infected;infected;30;
P33;Mussel_16;2;29.8;9:36-10:06;11:36-12:06;B;B6;14;HS;uninfected;uninfected;0;
G43;Mussel_17;2;33.1;9:36-10:06;11:36-12:06;B;B7;15;Control;infected;infected;26;
P4;Mussel_18;2;28.9;9:36-10:06;11:36-12:06;B;B8;16;Control;uninfected;uninfected;0;
G23;Mussel_21;3;30;10:11-10:41;12:11-12:41;C;C1;17;CM;infected;infected;23;
B91;Mussel_22;3;30.8;10:11-10:41;12:11-12:41;C;C2;18;CM;uninfected;uninfected;0;
G12;Mussel_23;3;33.4;10:11-10:41;12:11-12:41;C;C3;19;HS;infected;infected;37;
B38;Mussel_24;3;30.9;10:11-10:41;12:11-12:41;C;C4;20;HS;uninfected;uninfected;0;
G68;Mussel_25;3;32.1;10:11-10:41;12:11-12:41;C;C5;21;HT;infected;infected;4;
B18;Mussel_26;3;30.2;10:11-10:41;12:11-12:41;C;C6;22;HT;uninfected;uninfected;0;
G86;Mussel_27;3;31;10:11-10:41;12:11-12:41;C;C7;23;Control;infected;infected;17;
B56;Mussel_28;3;34.6;10:11-10:41;12:11-12:41;C;C8;24;Control;uninfected;uninfected;0;
Y41;Mussel_31;4;30;10:48-11:18;12:48-13:18;A;A1;1;CM;infected;infected;6;
B61;Mussel_32;4;34.9;10:48-11:18;12:48-13:18;A;A2;2;CM;uninfected;uninfected;0;
Y82;Mussel_33;4;32.4;10:48-11:18;12:48-13:18;A;A3;3;HS;infected;infected;13;
B73;Mussel_34;4;34.4;10:48-11:18;12:48-13:18;A;A4;4;HS;uninfected;uninfected;0;
Y32;Mussel_35;4;31.8;10:48-11:18;12:48-13:18;A;A5;5;HT;infected;infected;8;
B87;Mussel_36;4;34.9;10:48-11:18;12:48-13:18;A;A6;6;HT;uninfected;uninfected;0;
Y17;Mussel_37;4;29.1;10:48-11:18;12:48-13:18;A;A7;7;Control;infected;infected;30;
B35;Mussel_38;4;28.2;10:48-11:18;12:48-13:18;A;A8;8;Control;uninfected;uninfected;0;
G49;Mussel_41;5;33.7;11:15-11:45;13:15-13:45;B;B1;9;CM;infected;infected;6;
P62;Mussel_42;5;34;11:15-11:45;13:15-13:45;B;B2;10;CM;uninfected;uninfected;0;
G30;Mussel_43;5;31;11:15-11:45;13:15-13:45;B;B3;11;HS;infected;infected;20;
P16;Mussel_44;5;35;11:15-11:45;13:15-13:45;B;B4;12;HS;uninfected;uninfected;0;
G13;Mussel_45;5;32.9;11:15-11:45;13:15-13:45;B;B5;13;HT;infected;infected;14;
P40;Mussel_46;5;28.8;11:15-11:45;13:15-13:45;B;B6;14;HT;uninfected;uninfected;0;
G27;Mussel_47;5;28.1;11:15-11:45;13:15-13:45;B;B7;15;Control;infected;infected;7;
P58;Mussel_48;5;34.6;11:15-11:45;13:15-13:45;B;B8;16;Control;uninfected;uninfected;0;
G29;Mussel_51;6;34;11:51-12:21;13:51-14:21;C;C1;17;CM;infected;infected;11;
P51;Mussel_52;6;31;11:51-12:21;13:51-14:21;C;C2;18;CM;uninfected;uninfected;0;
G50;Mussel_53;6;32.3;11:51-12:21;13:51-14:21;C;C3;19;HS;infected;infected;8;
P67;Mussel_54;6;32.9;11:51-12:21;13:51-14:21;C;C4;20;HS;uninfected;uninfected;0;
G70;Mussel_55;6;30;11:51-12:21;13:51-14:21;C;C5;21;HT;infected;infected;8;
P60;Mussel_56;6;29.3;11:51-12:21;13:51-14:21;C;C6;22;HT;uninfected;uninfected;0;
G76;Mussel_57;6;33.3;11:51-12:21;13:51-14:21;C;C7;23;Control;infected;infected;6;
P82;Mussel_58;6;30.4;11:51-12:21;13:51-14:21;C;C8;24;Control;uninfected;uninfected;0;
G81;Mussel_61;7;30;12:24-12:54;14:24-14:54;A;A1;1;CM;infected;infected;18;
B78;Mussel_62;7;34.2;12:24-12:54;14:24-14:54;A;A2;2;CM;uninfected;uninfected;0;
G59;Mussel_63;7;33;12:24-12:54;14:24-14:54;A;A3;3;HS;infected;infected;26;
B44;Mussel_64;7;30.8;12:24-12:54;14:24-14:54;A;A4;4;HS;uninfected;uninfected;0;
G9;Mussel_65;7;31;12:24-12:54;14:24-14:54;A;A5;5;HT;infected;infected;4;
B70;Mussel_66;7;30.9;12:24-12:54;14:24-14:54;A;A6;6;HT;uninfected;uninfected;0;
G16;Mussel_67;7;33.5;12:24-12:54;14:24-14:54;A;A7;7;Control;infected;infected;6;
