------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
Pulse version,V2.3
------------------------------,--------------------
Device,Mussel
Rate_Hz,10
UTC,2.00
Day light saving time,No
Window_Sec,10
Recording mode,Continuos
Record[min],NA
Sleep[min],NA
S1,Mussel_151
S2,Mussel_152
S3,Mussel_153
S4,Mussel_154
S5,Mussel_155
S6,Mussel_156
S7,Mussel_157
S8,Mussel_158
S9,Mussel_159
S10,Mussel_160
------------------------------,--------------------
Time,Mussel_151,Mussel_152,Mussel_153,Mussel_154,Mussel_155,Mussel_156,Mussel_157,Mussel_158,Mussel_159,Mussel_160
2025-06-27 08:50:12.702,1430,1152,1458,1517,1440,1485,1673,1584,1494,1409
2025-06-27 08:50:12.801,1483,1251,1469,1510,1483,1495,1893,1526,1505,1435
2025-06-27 08:50:12.901,1581,1329,1421,1531,1542,1523,2129,1525,1511,1456
2025-06-27 08:50:13.001,1488,1450,1354,1518,1598,1549,2206,1511,1521,1468
2025-06-27 08:50:13.101,1461,1533,1374,1549,1595,1466,1969,1461,1523,1461
2025-06-27 08:50:13.201,1437,1651,1506,1552,1524,1440,1693,1299,1520,1456
2025-06-27 08:50:13.300,1301,1776,1520,1543,1474,1445,1509,747,1521,1457
2025-06-27 08:50:13.400,1339,1873,1608,1515,1515,1414,1460,0,1531,1462
2025-06-27 08:50:13.500,1572,1883,1549,1488,1552,1424,1431,0,1526,1466
2025-06-27 08:50:13.600,1648,1917,1520,1517,1594,1442,1445,0,1507,1446
2025-06-27 08:50:13.700,1588,1949,1503,1367,1584,1445,1443,0,1519,1456
2025-06-27 08:50:13.799,1583,1964,1445,1189,1524,1446,1433,0,1520,1456
2025-06-27 08:50:13.899,1622,2035,1438,1003,1509,1459,1597,0,1517,1454
2025-06-27 08:50:13.998,1746,2133,1472,934,1525,1465,1669,94,1520,1456
2025-06-27 08:50:14.098,1899,2114,1466,975,1533,1510,1726,441,1521,1463
2025-06-27 08:50:14.198,2037,2071,1468,1034,1568,1564,1669,830,1522,1461
2025-06-27 08:50:14.298,2005,1955,1441,1123,1545,1558,1709,1244,1522,1460
2025-06-27 08:50:14.398,1917,1708,1472,1223,1553,1567,1694,1634,1524,1457
2025-06-27 08:50:14.498,1709,1501,1392,1316,1549,1622,1621,2026,1533,1473
2025-06-27 08:50:14.598,1432,1361,1417,1408,1535,1680,1600,2423,1521,1458
2025-06-27 08:50:14.698,1162,1231,1389,1515,1545,1664,1659,2849,1508,1444
2025-06-27 08:50:14.798,1057,1277,1414,1662,1543,1646,1557,3287,1509,1449
2025-06-27 08:50:14.898,1104,1303,1545,1714,1495,1587,1423,3362,1511,1453
2025-06-27 08:50:14.998,924,1339,1609,1807,1527,1559,1291,3282,1521,1461
2025-06-27 08:50:15.098,1008,1392,1569,1876,1565,1532,1197,3117,1517,1457
2025-06-27 08:50:15.198,1126,1402,1525,1942,1554,1499,1217,2954,1515,1455
2025-06-27 08:50:15.298,1136,1424,1493,1929,1552,1523,1258,2875,1520,1457
2025-06-27 08:50:15.398,1227,1460,1474,1927,1499,1526,1200,2746,1521,1465
2025-06-27 08:50:15.498,1242,1478,1383,1863,1507,1499,1127,2558,1531,1470
2025-06-27 08:50:15.598,1301,1394,1365,1791,1517,1475,1102,2375,1521,1464
2025-06-27 08:50:15.698,1369,1342,1392,1723,1568,1495,1104,2353,1521,1458
2025-06-27 08:50:15.797,1398,1200,1424,1728,1595,1522,1251,2358,1518,1453
2025-06-27 08:50:15.897,1413,1153,1515,1747,1579,1520,1426,2019,1518,1455
2025-06-27 08:50:15.997,1518,1063,1436,1697,1575,1493,1552,1386,1511,1447
2025-06-27 08:50:16.097,1568,1107,1444,1616,1507,1482,1872,827,1521,1457
2025-06-27 08:50:16.197,1568,1154,1470,1507,1552,1487,2060,511,1533,1473
2025-06-27 08:50:16.297,1616,1221,1447,1453,1522,1465,2099,503,1527,1461
2025-06-27 08:50:16.397,1616,1335,1467,1455,1488,1475,2045,659,1511,1452
2025-06-27 08:50:16.497,1646,1441,1439,1473,1494,1509,2092,931,1520,1455
2025-06-27 08:50:16.597,1664,1519,1488,1469,1532,1493,2019,1251,1513,1453
2025-06-27 08:50:16.697,1604,1600,1398,1485,1520,1491,1904,1456,1523,1459
2025-06-27 08:50:16.796,1526,1648,1462,1452,1494,1508,1799,1610,1520,1456
2025-06-27 08:50:16.896,1481,1776,1502,1465,1504,1500,1616,1707,1509,1447
2025-06-27 08:50:16.996,1478,1936,1521,1453,1488,1501,1402,1744,1511,1445
2025-06-27 08:50:17.096,1520,2132,1610,1498,1507,1529,1392,1773,1521,1461
2025-06-27 08:50:17.196,1328,2117,1570,1584,1585,1515,1318,1813,1522,1460
2025-06-27 08:50:17.296,1398,1994,1482,1535,1535,1529,1280,1813,1523,1461
2025-06-27 08:50:17.396,1372,1936,1603,1535,1520,1520,1251,1795,1520,1457
2025-06-27 08:50:17.496,1407,1899,1571,1509,1553,1504,1306,1794,1523,1458
2025-06-27 08:50:17.596,1548,1839,1550,1488,1535,1518,1334,1755,1524,1470
2025-06-27 08:50:17.696,1458,1923,1535,1484,1527,1535,1341,1735,1531,1470
2025-06-27 08:50:17.796,1525,2021,1456,1470,1550,1497,1159,1677,1513,1447
2025-06-27 08:50:17.896,1499,2003,1450,1520,1447,1494,976,1617,1520,1458
2025-06-27 08:50:17.996,1473,1899,1433,1567,1435,1511,910,1535,1517,1456
2025-06-27 08:50:18.096,1533,1728,1501,1552,1454,1527,1009,1504,1520,1456
2025-06-27 08:50:18.196,1533,1522,1471,1485,1441,1515,1095,1521,1519,1456
2025-06-27 08:50:18.296,1525,1393,1467,1490,1500,1510,1143,1514,1518,1458
2025-06-27 08:50:18.395,1555,1314,1396,1456,1552,1502,1284,1498,1530,1472
2025-06-27 08:50:18.495,1554,1291,1503,1469,1567,1488,1479,1514,1523,1461
2025-06-27 08:50:18.595,1600,1319,1443,1456,1566,1488,1564,1330,1518,1451
2025-06-27 08:50:18.695,1598,1359,1446,1510,1587,1505,1648,786,1521,1461
2025-06-27 08:50:18.795,1487,1392,1517,1550,1629,1531,1825,0,1520,1455
2025-06-27 08:50:18.895,1371,1424,1493,1549,1589,1518,1999,0,1510,1446
2025-06-27 08:50:18.995,1415,1414,1550,1504,1542,1510,2224,0,1520,1467
2025-06-27 08:50:19.095,1549,1424,1574,1488,1553,1502,2423,0,1535,1476
2025-06-27 08:50:19.195,1625,1421,1466,1408,1515,1488,2213,0,1532,1467
2025-06-27 08:50:19.295,1569,1421,1587,1200,1557,1488,1858,0,1531,1467
2025-06-27 08:50:19.394,1508,1268,1535,988,1584,1491,1616,35,1513,1453
2025-06-27 08:50:19.494,1435,1123,1342,915,1563,1495,1466,459,1514,1451
2025-06-27 08:50:19.594,1520,1034,1387,963,1501,1511,1392,950,1521,1459
2025-06-27 08:50:19.694,1488,947,1440,991,1497,1499,1360,1351,1522,1462
2025-06-27 08:50:19.793,1501,927,1525,1091,1520,1503,1357,1740,1532,1458
2025-06-27 08:50:19.893,1495,986,1519,1178,1534,1549,1342,2085,1527,1463
2025-06-27 08:50:19.993,1457,1071,1501,1295,1514,1535,1439,2465,1509,1443
2025-06-27 08:50:20.093,1391,1142,1459,1385,1523,1483,1517,2978,1495,1438
2025-06-27 08:50:20.193,1347,1234,1421,1516,1473,1462,1520,3344,1502,1441
2025-06-27 08:50:20.292,1467,1346,1404,1584,1491,1459,1570,3362,1507,1449
