------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
Pulse version,V2.3
------------------------------,--------------------
Device,Mussel3
Rate_Hz,10
UTC,2.00
Day light saving time,No
Window_Sec,10
Recording mode,Continuos
Record[min],NA
Sleep[min],NA
S1,Mussel_261
S2,Mussel_262
S3,Mussel_263
S4,Mussel_264
S5,Mussel_265
S6,Mussel_266
S7,Mussel_267
S8,Mussel_268
S9,Mussel_269
S10,Mussel_270
------------------------------,--------------------
Time,Mussel_261,Mussel_262,Mussel_263,Mussel_264,Mussel_265,Mussel_266,Mussel_267,Mussel_268,Mussel_269,Mussel_270
2025-07-01 08:25:51.395,1264,1801,1494,1487,1450,1953,1451,2597,1582,1488
2025-07-01 08:25:51.494,1104,1720,1553,1471,1348,2103,1460,2837,1597,1516
2025-07-01 08:25:51.594,905,1626,1589,1437,1265,2192,1427,2832,1615,1549
2025-07-01 08:25:51.694,822,1487,1407,1457,1282,2029,1375,2624,1605,1535
2025-07-01 08:25:51.795,720,1343,1425,1446,1351,1630,1337,2267,1613,1543
2025-07-01 08:25:51.895,679,1310,1493,1479,1346,1447,1401,1819,1603,1529
2025-07-01 08:25:51.996,703,1347,1412,1474,1387,1303,1483,1296,1600,1527
2025-07-01 08:25:52.097,816,1345,1456,1474,1407,1344,1553,813,1607,1525
2025-07-01 08:25:52.197,893,1424,1380,1473,1424,1358,1563,485,1599,1521
2025-07-01 08:25:52.298,993,1520,1058,1502,1453,1115,1619,282,1597,1526
2025-07-01 08:25:52.398,1075,1543,798,1555,1523,959,1651,234,1603,1533
2025-07-01 08:25:52.499,1199,1544,720,1569,1603,1018,1652,372,1599,1526
2025-07-01 08:25:52.599,1358,1598,647,1541,1611,1163,1712,560,1585,1518
2025-07-01 08:25:52.699,1524,1599,728,1553,1568,1257,1733,763,1588,1519
2025-07-01 08:25:52.799,1664,1520,861,1563,1535,1461,1773,1018,1585,1518
2025-07-01 08:25:52.899,1749,1499,1323,1570,1593,1611,1782,1223,1589,1520
2025-07-01 08:25:52.999,1865,1520,1787,1552,1565,1622,1772,1403,1596,1523
2025-07-01 08:25:53.100,1936,1584,2146,1559,1570,1456,1795,1566,1594,1524
2025-07-01 08:25:53.201,2126,1535,2403,1552,1646,1152,1802,1728,1598,1521
2025-07-01 08:25:53.301,2242,1506,2470,1561,1655,716,1844,1727,1594,1520
2025-07-01 08:25:53.401,2367,1584,2139,1543,1649,607,1910,1695,1589,1520
2025-07-01 08:25:53.501,2377,1500,1613,1572,1602,627,1933,1706,1599,1523
2025-07-01 08:25:53.602,2317,1474,1136,1526,1488,788,1915,1715,1595,1525
2025-07-01 08:25:53.703,2234,1475,893,1504,1498,957,1915,1721,1602,1532
2025-07-01 08:25:53.804,2234,1425,1088,1497,1531,1211,1934,1702,1606,1535
2025-07-01 08:25:53.904,2167,1466,1363,1520,1563,1206,1897,1626,1600,1529
2025-07-01 08:25:54.005,2032,1487,1582,1520,1631,1189,1935,1408,1596,1520
2025-07-01 08:25:54.105,1858,1459,1766,1562,1520,1344,1904,1252,1591,1522
2025-07-01 08:25:54.205,1654,1484,1875,1552,1549,1595,1834,1170,1600,1531
2025-07-01 08:25:54.305,1555,1549,1899,1558,1573,1861,1794,1237,1597,1523
2025-07-01 08:25:54.406,1527,1520,1919,1457,1485,2091,1737,1392,1598,1522
2025-07-01 08:25:54.507,1503,1472,1979,1339,1450,2155,1683,1469,1589,1522
2025-07-01 08:25:54.608,1411,1456,1887,1200,1514,1984,1584,1589,1597,1522
2025-07-01 08:25:54.709,1488,1427,1840,1242,1600,1858,1598,1904,1587,1517
2025-07-01 08:25:54.810,1433,1215,1737,1198,1552,1543,1585,2047,1591,1523
2025-07-01 08:25:54.911,1360,1040,1576,1183,1529,1301,1569,2027,1596,1523
2025-07-01 08:25:55.012,1457,1125,1643,1323,1597,1391,1703,2097,1592,1518
2025-07-01 08:25:55.112,1390,1088,1499,1344,1535,1525,1620,2011,1594,1521
2025-07-01 08:25:55.213,1309,1153,1484,1410,1494,1727,1588,1977,1591,1518
2025-07-01 08:25:55.314,1286,1278,1487,1506,1580,1733,1613,1927,1600,1525
2025-07-01 08:25:55.415,1435,1455,1490,1642,1715,1709,1666,1857,1606,1543
2025-07-01 08:25:55.515,1447,1527,1478,1739,1765,1753,1678,1837,1603,1535
2025-07-01 08:25:55.616,1611,1603,1531,1763,1687,1830,1662,1862,1599,1530
2025-07-01 08:25:55.716,1651,1618,1567,1758,1526,1930,1665,1838,1600,1526
2025-07-01 08:25:55.817,1605,1637,1515,1794,1488,2102,1659,1761,1589,1520
2025-07-01 08:25:55.918,1493,1633,1523,1862,1506,2400,1683,1680,1590,1520
2025-07-01 08:25:56.018,1483,1658,1471,1920,1571,2352,1671,1627,1597,1524
2025-07-01 08:25:56.119,1451,1734,1502,1869,1581,2260,1683,1396,1591,1521
2025-07-01 08:25:56.220,1403,1747,1508,1798,1552,1999,1707,1085,1601,1531
2025-07-01 08:25:56.321,1341,1776,1590,1665,1503,1673,1702,898,1609,1531
2025-07-01 08:25:56.422,1381,1859,1679,1550,1472,1459,1680,899,1597,1523
2025-07-01 08:25:56.523,1344,1911,1641,1518,1533,1394,1661,1020,1593,1521
2025-07-01 08:25:56.624,1179,1879,1547,1449,1648,1437,1713,1156,1600,1525
2025-07-01 08:25:56.724,976,1860,1459,1422,1639,1601,1706,1323,1600,1527
2025-07-01 08:25:56.824,1079,1771,1439,1397,1566,1565,1610,1501,1603,1533
2025-07-01 08:25:56.924,969,1621,1347,1436,1581,1543,1488,1647,1601,1532
2025-07-01 08:25:57.024,791,1472,1037,1456,1513,1469,1360,1722,1603,1529
2025-07-01 08:25:57.124,740,1389,811,1492,1373,1463,1282,2000,1600,1518
2025-07-01 08:25:57.225,803,1306,720,1497,1005,1581,1323,2259,1600,1527
2025-07-01 08:25:57.326,817,1327,795,1505,688,1850,1371,2411,1600,1523
2025-07-01 08:25:57.426,831,1343,978,1518,490,2137,1397,2339,1594,1520
2025-07-01 08:25:57.527,972,1382,1039,1549,406,2315,1474,2251,1594,1520
2025-07-01 08:25:57.627,1131,1442,1072,1535,425,2277,1535,2117,1586,1515
2025-07-01 08:25:57.727,1254,1563,1134,1535,431,2027,1588,1974,1584,1511
2025-07-01 08:25:57.827,1349,1583,1433,1583,672,1657,1622,1879,1594,1521
2025-07-01 08:25:57.928,1551,1599,1998,1581,945,1349,1669,1815,1603,1530
2025-07-01 08:25:58.028,1739,1555,2586,1586,1108,1298,1712,1776,1598,1526
2025-07-01 08:25:58.128,1896,1567,3038,1584,1389,1482,1742,1749,1593,1520
2025-07-01 08:25:58.228,1982,1554,3156,1549,1524,1700,1747,1783,1591,1520
2025-07-01 08:25:58.328,1957,1534,2885,1583,1723,1408,1808,1776,1595,1529
2025-07-01 08:25:58.429,2065,1531,2323,1552,1869,1114,1822,1715,1599,1520
2025-07-01 08:25:58.529,2324,1543,1642,1535,2160,997,1918,1649,1597,1520
2025-07-01 08:25:58.629,2475,1510,1147,1499,2614,1095,1936,1664,1600,1527
2025-07-01 08:25:58.729,2468,1533,950,1515,3089,1245,1902,1680,1598,1524
2025-07-01 08:25:58.829,2402,1552,887,1531,3498,1403,1886,1707,1595,1523
2025-07-01 08:25:58.930,2320,1513,989,1527,3632,1496,1915,1719,1595,1521
2025-07-01 08:25:59.032,2192,1519,1068,1527,3268,1513,1968,1658,1597,1523
2025-07-01 08:25:59.132,2155,1515,1071,1521,2672,1488,1963,1333,1597,1525
2025-07-01 08:25:59.232,2081,1488,1107,1517,2157,1379,1946,945,1596,1523
2025-07-01 08:25:59.333,1826,1458,1255,1516,1729,1083,1970,624,1603,1526
2025-07-01 08:25:59.432,1765,1471,1349,1552,1334,933,1871,582,1596,1520
2025-07-01 08:25:59.532,1601,1474,1422,1533,1008,1086,1790,642,1594,1520
2025-07-01 08:25:59.632,1461,1474,1505,1554,996,1431,1763,830,1603,1520
2025-07-01 08:25:59.732,1374,1473,1531,1546,935,1533,1698,1034,1600,1535
2025-07-01 08:25:59.832,1370,1527,1574,1528,1032,1333,1680,1252,1600,1528
2025-07-01 08:25:59.933,1350,1444,1591,1449,1169,1122,1676,1387,1596,1522
2025-07-01 08:26:00.032,1387,1328,1534,1360,1207,1119,1651,1505,1599,1525
2025-07-01 08:26:00.140,1433,1211,1408,1295,1264,1265,1639,1626,1595,1520
2025-07-01 08:26:00.233,1442,1094,1449,1253,1328,1511,1616,1721,1587,1519
2025-07-01 08:26:00.338,1426,1068,1495,1238,1344,1818,1600,1916,1602,1529
2025-07-01 08:26:00.439,1361,1079,1535,1296,1379,2034,1614,2102,1600,1535
2025-07-01 08:26:00.540,1369,1191,1584,1338,1552,2176,1594,2134,1598,1531
2025-07-01 08:26:00.640,1405,1301,1552,1353,1476,2019,1617,2064,1591,1523
2025-07-01 08:26:00.740,1459,1378,1515,1379,1479,1534,1644,1971,1594,1522
