Mussel_ID;Rep;ArenaID;Byssus;Byssus_Threads;Start_Time;Aggregated;Type;Amax (%);k;Time;Cluster_Score;Group;Byssus_Threads;Length(mm);P_Status;Status;Intensity;Notes
G25;1;CM1;4;4;23;yes;transient;NA;NA;15:18-17:18;;CM;4;35.3;infected;infected;6;
G31;1;CM1;4;0;23;yes;transient;NA;NA;15:18-17:18;;CM;0;35;infected;infected;26;
G38;1;CM1;4;0;23;yes;transient;NA;NA;15:18-17:18;;CM;0;35.5;infected;infected;30;
G67;1;CM1;4;0;23;yes;transient;NA;NA;15:18-17:18;;CM;0;33.5;infected;infected;8;
G95;1;CM1;4;0;23;yes;transient;NA;NA;15:18-17:18;;CM;0;27.5;infected;infected;23;
Y4;1;CM1;4;0;23;yes;transient;NA;NA;15:18-17:18;;CM;0;29.3;infected;infected;9;
Y42;1;CM1;4;0;23;yes;transient;NA;NA;15:18-17:18;;CM;0;27.6;infected;infected;17;
B25;1;CM2;8;4;1;yes;sustained;80,57;36,29;15:18-17:18;;CM;4;36.3;uninfected;uninfected;0;
B36;1;CM2;8;0;1;yes;sustained;80,57;36,29;15:18-17:18;;CM;0;37.2;uninfected;uninfected;0;
B87;1;CM2;8;2;1;yes;sustained;80,57;36,29;15:18-17:18;;CM;2;34.9;uninfected;uninfected;0;
B94;1;CM2;8;1;1;yes;sustained;80,57;36,29;15:18-17:18;;CM;1;35.4;uninfected;uninfected;0;
P57;1;CM2;8;0;1;yes;sustained;80,57;36,29;15:18-17:18;;CM;0;30;uninfected;uninfected;0;
P59;1;CM2;8;0;1;yes;sustained;80,57;36,29;15:18-17:18;;CM;0;38.1;uninfected;uninfected;0;
P93;1;CM2;8;1;1;yes;sustained;80,57;36,29;15:18-17:18;;CM;1;38.1;uninfected;uninfected;0;
G51;1;Control1;2;1;NA;no;NA;NA;NA;15:18-17:18;;Control;1;34;infected;infected;16;
G62;1;Control1;2;0;NA;no;NA;NA;NA;15:18-17:18;;Control;0;32.3;infected;infected;7;
G76;1;Control1;2;0;NA;no;NA;NA;NA;15:18-17:18;;Control;0;33.3;infected;infected;6;
G81;1;Control1;2;0;NA;no;NA;NA;NA;15:18-17:18;;Control;0;30;infected;infected;18;
Y14;1;Control1;2;0;NA;no;NA;NA;NA;15:18-17:18;;Control;0;34.6;infected;infected;4;
Y49;1;Control1;2;1;NA;no;NA;NA;NA;15:18-17:18;;Control;1;32.4;infected;infected;2;
Y91;1;Control1;2;0;NA;no;NA;NA;NA;15:18-17:18;;Control;0;30.7;infected;infected;18;
B52;1;Control2;8;0;NA;no;NA;NA;NA;15:18-17:18;;Control;0;35.7;uninfected;uninfected;0;
B61;1;Control2;8;0;NA;no;NA;NA;NA;15:18-17:18;;Control;0;34.9;uninfected;uninfected;0;
B93;1;Control2;8;0;NA;no;NA;NA;NA;15:18-17:18;;Control;0;34.9;uninfected;uninfected;0;
P34;1;Control2;8;2;NA;no;NA;NA;NA;15:18-17:18;;Control;2;36.9;uninfected;uninfected;0;
P38;1;Control2;8;6;NA;no;NA;NA;NA;15:18-17:18;;Control;6;34.6;uninfected;uninfected;0;
P42;1;Control2;8;0;NA;no;NA;NA;NA;15:18-17:18;;Control;0;35.9;uninfected;uninfected;0;
P79;1;Control2;8;0;NA;no;NA;NA;NA;15:18-17:18;;Control;0;37.5;uninfected;uninfected;0;
G18;1;HS1;2;0;24;yes;transient;NA;NA;15:18-17:18;;HS;0;33;infected;infected;11;
G45;1;HS1;2;0;24;yes;transient;NA;NA;15:18-17:18;;HS;0;36.5;infected;infected;3;
G52;1;HS1;2;1;24;yes;transient;NA;NA;15:18-17:18;;HS;1;31.5;infected;infected;8;
G56;1;HS1;2;0;24;yes;transient;NA;NA;15:18-17:18;;HS;0;36.9;infected;infected;38;
G85;1;HS1;2;1;24;yes;transient;NA;NA;15:18-17:18;;HS;1;35.5;infected;infected;18;
